NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),5.662,2.691,4.554,3.756,3.847
2,Aircraft Departure,number,10.156,4.497,5.964,4.563,5.144
3,Aircraft Hours,number,11365:51,5335:59,7011:52,5765:45,6623:25
4,Passenger Carried,number,688.220,292.413,577.044,490.262,527.271
5,Freight Carried,ton,4.266,2.295,3.035,1.485,1.573
6,Passenger KM,(000),385.601,173.972,440.609,395.917,391.970
7,Available Seat KM,(000),629.601,267.028,540.441,450.864,465.100
8,Passenger L/F,(%),"61,25","65,15","81,53","87,81","84,28"
9a,Ton KM Performed - Passenger,(000),34.719,15.657,40.214,35.660,35.279
9b,Ton KM Performed - Freight,(000),2.918,1.412,2.249,1.179,1.197
9c,Ton KM Performed - Mail,(000),-,-,-,-,-
9d,Ton KM Performed - Total,(000),37.637,17.069,42.463,36.839,36.476
10,Available Ton KM,(000),77.099,26.707,57.547,47.575,49.187
11,Weight L/F,(%),"48,82","63,91","73,79","77,43",74
