NO,DESCRIPTION,Unit,2020,2021,2022,2023,2024
1,Aircraft KM,(000),13.685,8.910,10.570,5.298,4.775
2,Aircraft Departure,number,15.155,9.319,11.773,6.910,5.272
3,Aircraft Hours,number,23609:06,15376:03,18030:39,9676:41,8326:45:00
4,Passenger Carried,number,1.590.429,1.115.978,1.597.953,916.301,718.756
5,Freight Carried,ton,19.747,15.074,16.057,5.986,4.436
6,Passenger KM,(000),1.473.604,1.080.770,1.477.317,747.026,687.634
7,Available Seat KM,(000),2.435.339,1.699.438,1.982.424,930.196,816.453
8,Passenger L/F,(%),"60,51","63,60","74,52","80,31","84,22"
9a,Ton KM Performed - Passenger,(000),132.624,97.269,133.198,67.233,61.883
9b,Ton KM Performed - Freight,(000),19.184,14.771,15.163,4.853,4.327
9c,Ton KM Performed - Mail,(000),-,-,-,-,0
9d,Ton KM Performed - Total,(000),151.809,112.040,148.361,72.086,66.21
10,Available Ton KM,(000),246.751,169.835,206.979,97.400,85.934
11,Weight L/F,(%),"61,52","65,97","71,68","74,01",77
