NO,OPERATOR,2019 (Penumpang),2019 (%),2020 (Penumpang),2020 (%),2021 (Penumpang),2021 (%),2022 (Penumpang),2022 (%),2023 (Penumpang),2023 (%),2024 (Penumpang),2024 (%)
1,PT. GARUDA INDONESIA (Persero) Tbk.,15.542.662,"19,56%",4.619.487,"13,05%",3.490.812,"10,46%",4.646.651,"8,24%",6.314.490,"9,57%",8.665.055,"13,16%"
2,PT. INDONESIA AIRASIA,2.887.581,"3,63%",1.113.480,"3,15%",637.453,"1,91%",1.676.437,"2,97%",2.017.452,"3,06%",1.796.152,"2,73%"
3,PT. LION MENTARI AIRLINES,23.737.227,"29,87%",12.516.590,"35,36%",9.893.130,"29,65%",18.731.962,"33,20%",18.287.883,"27,73%",15.684.878,"23,83%"
4,PT. SRIWIJAYA AIR,5.473.880,"6,89%",1.590.429,"4,49%",1.115.978,"3,34%",1.597.953,"2,83%",916.301,"1,39%",718.756,"1,09%"
5,PT. TRAVEL EXPRESS AVIATION SERVICES,341.676,"0,43%",65.912,"0,19%",-,"0,00%",-,"0,00%",-,"0,00%",-,"0,00%"
6,PT. WINGS ABADI AIRLINES,5.709.457,"7,18%",2.816.896,"7,96%",2.621.559,"7,86%",3.920.529,"6,95%",3.293.337,"4,99%",2.548.023,"3,87%"
7,PT. TRIGANA AIR SERVICE,661.364,"0,83%",236.951,"0,67%",120.737,"0,36%",234.784,"0,42%",330.433,"0,50%",458.675,"0,70%"
8,PT. TRANSNUSA AVIATION MANDIRI,599.781,"0,75%",197.524,"0,56%",-,"0,00%",145.593,"0,26%",779.425,"1,18%",559.666,"0,85%"
9,PT. ASI PUJIASTUTI,15.661,"0,02%",3.740,"0,01%",9.463,"0,03%",12.429,"0,02%",15.592,"0,02%",8.498,"0,01%"
10,PT. CITILINK INDONESIA,11.860.912,"14,93%",5.421.720,"15,32%",7.524.408,"22,55%",9.159.775,"16,24%",11.228.261,"17,03%",11.778.454,"17,89%"
11,PT. BATIK AIR INDONESIA,10.518.452,"13,24%",6.123.017,"17,30%",7.260.547,"21,76%",9.882.953,"17,52%",10.735.964,"16,28%",9.593.017,"14,57%"
12,PT. NAM AIR,2.117.906,"2,67%",688.220,"1,94%",292.413,"0,88%",577.044,"1,02%",490.262,"0,74%",527.271,"0,80%"
13,PT. SUPER AIR JET,-,"0,00%",-,"0,00%",398.483,"1,19%",5.661.936,"10,04%",10.216.538,"15,49%",10.771.878,"16,37%"
14,PT. PELITA AIR SERVICE,-,"0,00%",-,"0,00%",-,"0,00%",167.188,"0,30%",1.324.243,"2,01%",2.675.846,"4,07%"
15,PT. BBN AIRLINES INDONESIA,-,"0,00%",-,"0,00%",-,"0,00%",-,"0,00%",-,"0,00%",34.423,"0,05%"
-,TOTAL,79.466.559,"100,00%",35.393.966,"100,00%",33.364.983,"100,00%",56.415.234,"100,00%",65.950.181,"100,00%",65.820.592,"100,00%"
