NO,RUTE (PP),Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,TOTAL 2020,TOTAL 2019,TOTAL 2018
1,Jakarta (CGK)-Makassar (UPG),231865,237258,188899,31636,6104,43398,84865,129679,114075,142963,186393,181917,1579052.0,3607498.0,2886112.0
2,Jakarta (CGK)-Denpasar (DPS),363789,302423,190792,20611,4312,12063,36954,78726,69444,100595,157146,212308,1549163.0,4770798.0,4384437.0
3,Jakarta (CGK)-Surabaya (SUB),317744,317469,228231,34134,5501,29074,57971,87848,78568,96027,136246,158874,1547687.0,4897494.0,3881026.0
4,Jakarta (CGK)-Medan (KNO),282851,245737,197729,37248,6548,43793,91128,105574,87139,102708,142434,201912,1544801.0,3652145.0,2646545.0
5,Jakarta (CGK)-Pontianak (PNK),159707,142332,93587,17357,2314,24157,56333,85012,64516,68446,83515,97146,894422.0,2018665.0,1547583.0
6,Makassar (UPG)-Surabaya (SUB),103030,91842,93538,27254,1927,27241,51858,70929,64264,73893,86482,83670,775928.0,1638498.0,1197422.0
7,Jakarta (CGK)-Palembang (PLM),140391,141887,101683,13239,3361,17050,33918,47791,41981,48378,71159,80865,741703.0,2297283.0,1727699.0
8,Jakarta (CGK)-Padang Pariaman (PDG),129371,123930,108084,25177,2011,14792,35642,52920,35272,45564,72130,83286,728179.0,2325143.0,1474814.0
9,Jakarta (CGK)-Pekanbaru (PKU),133492,120110,98568,20050,2984,19921,44014,52209,39509,49460,66585,78497,725399.0,1779541.0,1363231.0
10,Jakarta (CGK)-Semarang (SRG),146047,143365,89284,16254,1518,11582,29163,34086,29271,40119,52909,53375,646973.0,2406834.0,1736634.0
11,Jakarta (CGK)-Batam (BTH),101015,92928,72224,19762,3552,22207,47063,50013,40958,48778,59445,62822,620767.0,1428194.0,1092488.0
12,Jakarta (CGK)-Balikpapan (BPN),102589,112512,79768,17352,5148,17891,40870,43328,37147,37815,51094,58974,604488.0,1819144.0,1248451.0
13,Surabaya (SUB)-Balikpapan (BPN),85368,74835,71871,21543,2792,23302,34722,44458,37747,46676,61178,64731,569223.0,1555264.0,903314.0
14,Surabaya (SUB)-Denpasar (DPS),133703,106868,78592,16584,77,1439,14872,28381,22599,31968,53426,63855,552364.0,1546206.0,1378603.0
15,Jakarta (CGK)-Bandar Lampung (TKG),116352,115530,75193,14851,1151,7019,19384,28312,25044,29642,40938,49734,523150.0,1934826.0,1411348.0
16,Jakarta (CGK)-Banjarmasin (BDJ),97185,98353,68720,14121,2434,11815,25897,33627,29400,37460,48675,48942,516629.0,1469101.0,1193323.0
17,Surabaya (SUB)-Banjarmasin (BDJ),86874,74849,64385,18827,1553,15749,26080,36747,33593,40531,45904,45109,490201.0,1115952.0,935362.0
18,Makassar (UPG)-Kendari (KDI),65623,67009,52618,12821,1232,16257,28663,39420,40712,46208,54874,62821,488258.0,1097280.0,738478.0
19,Jakarta (CGK)-Yogyakarta (JOG),167101,173858,116007,,,,437,968,338,,,,458709.0,2699603.0,2190207.0
20,Jakarta (CGK)-Jambi (DJB),86746,80862,68850,13179,1099,10195,24619,33242,26127,28901,40076,43236,457132.0,1354332.0,1029017.0
21,Jakarta (CGK)-Pangkal Pinang (PGK),95975,79428,57353,7565,885,8493,23569,32472,26566,26684,37686,42356,439032.0,1384559.0,968014.0
22,"Jakarta (CGK)-Praya, Lombok (LOP)",64591,67032,51959,14095,98,7572,19306,28090,24434,28682,39277,53697,398833.0,905950.0,706626.0
23,Medan (KNO)-Batam (BTH),56660,49922,50930,14122,219,13085,26342,32635,29661,31630,36875,43475,385556.0,858970.0,566057.0
24,Jakarta (CGK)-Yogyakarta (YIA),5239,6183,9984,15656,2593,13445,30838,43038,34329,46589,71609,91430,370933.0,,78720.0
25,"Surabaya (SUB)-Praya, Lombok (LOP)",64125,54036,50338,15447,431,6983,18008,26019,25619,31498,36675,35706,364885.0,963399.0,688617.0
26,Jakarta (CGK)-Manado (MDC),64793,57641,53319,7790,1240,6782,12593,13967,21737,23514,30939,36349,330664.0,965085.0,724908.0
27,Jakarta (CGK)-Bengkulu (BKS),52549,51658,45946,6787,308,6090,18162,27181,22563,24552,30271,30207,316274.0,842606.0,581787.0
