NO,RUTE,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,TOTAL 2020,TOTAL 2019,TOTAL 2018
1,Jakarta (CGK)-SINGAPURA (SIN),334069,169342.0,73928.0,2604.0,1431.0,2748.0,4055.0,3888.0,3995.0,4711.0,6487.0,10859.0,618117.0,4194638.0,4077673.0
2,Jakarta (CGK)-Kuala Lumpur (KUL),229241,166788.0,82853.0,3975.0,1609.0,2802.0,4522.0,3954.0,3435.0,2911.0,4232.0,3984.0,510306.0,2687401.0,2780466.0
3,SINGAPURA (SIN)-Denpasar (DPS),196727,154187.0,79990.0,,,,,,,,,,430904.0,2099927.0,2331418.0
4,Kuala Lumpur (KUL)-Denpasar (DPS),167640,133430.0,66531.0,,,,,,,,,,367601.0,1586456.0,1748830.0
5,Jakarta (CGK)-Jeddah (JED),110475,88154.0,17150.0,258.0,525.0,133.0,861.0,207.0,1142.0,4442.0,5610.0,4910.0,233867.0,966624.0,922599.0
6,Perth (PER)-Denpasar (DPS),84106,92678.0,34716.0,514.0,146.0,,,,,,,,212160.0,871527.0,897937.0
7,Melbourne (MEL)-Denpasar (DPS),67526,90269.0,32628.0,,,,,,,,,,190423.0,664257.0,783863.0
8,Sydney (SYD)-Denpasar (DPS),65106,69940.0,32919.0,,,,,,,,,,167965.0,597822.0,696039.0
9,Denpasar (DPS)-Doha (DOH),56208,52010.0,40168.0,2773.0,,,2414.0,841.0,216.0,,,,154630.0,589370.0,702440.0
10,Jakarta (CGK)-Dubai (DXB),43233,37552.0,21908.0,331.0,,1009.0,3517.0,6368.0,6477.0,8740.0,9432.0,15385.0,153952.0,461276.0,459159.0
11,Kuala Lumpur (KUL)-Medan (KNO),78394,40580.0,21648.0,,699.0,2190.0,2171.0,2006.0,1743.0,2015.0,1223.0,1183.0,153852.0,863310.0,901289.0
12,Surabaya (SUB)-Kuala Lumpur (KUL),60341,43713.0,23066.0,2005.0,639.0,1997.0,2896.0,2552.0,2131.0,3887.0,1681.0,1797.0,146705.0,725590.0,814789.0
13,Jakarta (CGK)-Incheon (ICN),42487,34252.0,8509.0,5341.0,4115.0,4645.0,6145.0,5245.0,5112.0,5628.0,6367.0,7754.0,135600.0,486049.0,490451.0
14,Surabaya (SUB)-SINGAPURA (SIN),71105,40868.0,13414.0,,,,151.0,244.0,483.0,1010.0,1113.0,1273.0,129661.0,729273.0,818325.0
15,Jakarta (CGK)-Doha (DOH),34352,28567.0,,4424.0,1917.0,4547.0,7905.0,9178.0,5372.0,9409.0,9794.0,13901.0,129366.0,363267.0,400515.0
16,Jakarta (CGK)-Hongkong (HKG),57831,21904.0,11716.0,2990.0,1653.0,3696.0,4763.0,3333.0,4238.0,4616.0,4835.0,4579.0,126154.0,901449.0,812903.0
17,Jakarta (CGK)-Taipei (TPE),36291,27349.0,15746.0,4239.0,3024.0,3474.0,4734.0,4365.0,5143.0,6742.0,7043.0,4933.0,123083.0,352151.0,377408.0
18,Penang (PEN)-Medan (KNO),58034,35468.0,19006.0,,,149.0,731.0,678.0,400.0,359.0,466.0,471.0,115762.0,667630.0,683479.0
19,Jakarta (CGK)-Narita (NRT),32799,26655.0,14468.0,5275.0,2470.0,3243.0,3534.0,4158.0,3408.0,4325.0,5922.0,7394.0,113651.0,398556.0,361083.0
20,Denpasar (DPS)-Brisbane (BNE),34541,48027.0,19370.0,,,,,,,,,,101938.0,423436.0,426618.0
21,Jakarta (CGK)-Haneda (HND),36738,31030.0,15050.0,2415.0,552.0,834.0,1459.0,1116.0,1086.0,1119.0,1772.0,1938.0,95109.0,437318.0,430261.0
22,Jakarta (CGK)-Bangkok-Don Mueang (DMK),49723,29841.0,11406.0,,754.0,,,,,,,,91724.0,482088.0,578483.0
23,Jakarta (CGK)-Abu Dhabi (AUH),33635,19037.0,13519.0,446.0,699.0,1306.0,2585.0,3090.0,2832.0,3534.0,4305.0,6352.0,91340.0,322501.0,352519.0
24,Dubai (DXB)-Denpasar (DPS),36776,31445.0,22015.0,,,,,,,,,,90236.0,513119.0,363204.0
25,Hongkong (HKG)-Denpasar (DPS),55944,22710.0,10217.0,,,,,,,,,,88871.0,627347.0,666396.0
26,Incheon (ICN)-Denpasar (DPS),41024,30179.0,11491.0,1637.0,,,,,,,,,84331.0,295418.0,392536.0
27,Jakarta (CGK)-Istanbul (IST),20193,18065.0,6672.0,,,162.0,2801.0,4757.0,3429.0,5497.0,7561.0,12571.0,81708.0,237042.0,230938.0
28,Jakarta (CGK)-Bangkok (BKK),38723,25452.0,8014.0,436.0,170.0,110.0,216.0,118.0,380.0,555.0,528.0,541.0,75243.0,496081.0,463781.0
29,Kuala Lumpur (KUL)-Bandung (BDO),30865,27946.0,14148.0,,,,,,,,,,72959.0,338101.0,366181.0
30,Denpasar (DPS)-Adelaide (ADL),20564,34165.0,9282.0,,,,,,,,,,64011.0,125118.0,196236.0
31,Manila (MNL)-Denpasar (DPS),28272,23329.0,11792.0,,,,,,,,,,63393.0,258132.0,338317.0
32,Taipei (TPE)-Denpasar (DPS),32626,24923.0,5813.0,,,,,,,,,,63362.0,184344.0,193870.0
33,Jakarta (CGK)-Penang (PEN),30464,22084.0,8637.0,,,,,,,,,,61185.0,266331.0,364917.0
34,Surabaya (SUB)-Jeddah (JED),26465,26604.0,5650.0,,,,,,,,,,58719.0,75698.0,141422.0
35,SINGAPURA (SIN)-Medan (KNO),32457,15799.0,6287.0,,,89.0,156.0,120.0,230.0,243.0,303.0,638.0,56322.0,357673.0,337564.0
36,Jakarta (CGK)-Medinah (MED),28215,24762.0,3271.0,,,,,,,,,,56248.0,172502.0,225818.0
37,Padang Pariaman (PDG)-Kuala Lumpur (KUL),24850,20085.0,8958.0,,,,,,59.0,,,,53952.0,242657.0,296370.0
38,Jakarta (CGK)-Sydney (SYD),20517,15939.0,10712.0,1075.0,318.0,488.0,729.0,377.0,488.0,428.0,429.0,619.0,52119.0,180531.0,242829.0
39,Pekanbaru (PKU)-Kuala Lumpur (KUL),24915,14928.0,7137.0,,,,,,,,,,46980.0,173166.0,207370.0
40,Denpasar (DPS)-Bangkok-Don Mueang (DMK),19949,15140.0,8287.0,,,,,,,,,,43376.0,263045.0,260527.0
41,Denpasar (DPS)-Guangzhou (CAN),41111,1523.0,,,,,,,,,,,42634.0,331847.0,417004.0
42,Kuala Lumpur (KUL)-Yogyakarta (JOG),18372,16318.0,7574.0,,,,,,,,,,42264.0,242680.0,223260.0
43,Kuala Lumpur (KUL)-Banda Aceh (BTJ),19404,15329.0,7517.0,,,,,,,,,,42250.0,148736.0,243229.0
44,Istanbul (IST)-Denpasar (DPS),17132,15420.0,9423.0,,,126.0,,,,,,,42101.0,,83615.0
45,Jakarta (CGK)-Manila (MNL),16284,13973.0,6543.0,,,502.0,218.0,532.0,488.0,459.0,1017.0,1672.0,41688.0,203769.0,201485.0
46,Denpasar (DPS)-Bangkok (BKK),17127,15888.0,7272.0,,,,,,,,,,40287.0,287097.0,245243.0
47,"Praya, Lombok (LOP)-Kuala Lumpur (KUL)",13551,10890.0,6248.0,,,,1363.0,1370.0,1460.0,1315.0,1145.0,794.0,38136.0,222609.0,163807.0
48,Narita (NRT)-Denpasar (DPS),14623,12938.0,9442.0,,,,,,,,,,37003.0,320673.0,194723.0
