NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
1,Jakarta (CGK) - Denpasar (DPS),107991.0,76081.0,129566.0,145001.0,134284.0,224916.0,48418.0,57157.0,132029.0,261814.0,312199.0,373333.0,2002789.0,1549163.0,4384437.0
2,Jakarta (CGK) - Makassar (UPG),132428.0,117623.0,158762.0,156018.0,124032.0,181164.0,66758.0,88453.0,136606.0,185092.0,206239.0,197107.0,1750282.0,1579052.0,2886112.0
3,Jakarta (CGK) - Medan (KNO),167440.0,110650.0,138147.0,140087.0,133816.0,174006.0,59480.0,75485.0,109426.0,160101.0,202457.0,264694.0,1735789.0,1544801.0,2646246.0
4,Jakarta (CGK) - Surabaya (SUB),96750.0,81057.0,112994.0,126968.0,108625.0,139563.0,35913.0,58657.0,92568.0,132295.0,157680.0,180349.0,1323419.0,1547687.0,3881026.0
5,Makassar (UPG) - Surabaya (SUB),71064.0,57461.0,70670.0,89711.0,83084.0,115223.0,31721.0,39539.0,55130.0,81187.0,91060.0,82935.0,868785.0,775928.0,1197422.0
6,Jakarta (CGK) - Pontianak (PNK),57571.0,48480.0,69529.0,68766.0,56976.0,71569.0,32344.0,51846.0,55370.0,81584.0,95875.0,118917.0,808827.0,894422.0,1547583.0
7,Jakarta (CGK) - Pekanbaru (PKU),60368.0,49249.0,62521.0,65993.0,58284.0,74867.0,23029.0,29668.0,50055.0,65641.0,85646.0,103569.0,728890.0,725399.0,1363231.0
8,Jakarta (CGK) - Batam (BTH),53261.0,53746.0,65466.0,61586.0,47169.0,66613.0,26512.0,38754.0,53632.0,75308.0,87414.0,93533.0,722994.0,620767.0,1092488.0
9,Jakarta (CGK) - Yogyakarta (YIA),44334.0,37765.0,53022.0,63486.0,52399.0,76166.0,16982.0,24865.0,47120.0,73889.0,94903.0,113898.0,698829.0,370933.0,78720.0
10,Jakarta (CGK) - Padang Pariaman (PDG),56740.0,40153.0,53017.0,62080.0,75834.0,91811.0,20843.0,26201.0,35015.0,56202.0,72784.0,96705.0,687385.0,728179.0,1474814.0
11,Jakarta (CGK) - Palembang (PLM),47931.0,41198.0,53859.0,58471.0,55403.0,72889.0,20402.0,25566.0,40986.0,66773.0,90627.0,105764.0,679869.0,741703.0,1727699.0
12,Jakarta (CGK) - Balikpapan (BPN),45075.0,36493.0,49598.0,54640.0,51449.0,65217.0,26515.0,39626.0,52357.0,71281.0,84700.0,90906.0,667857.0,604488.0,1248451.0
13,Surabaya (SUB) - Balikpapan (BPN),44623.0,32130.0,42731.0,51472.0,51473.0,72642.0,20869.0,24889.0,28210.0,47393.0,55810.0,48798.0,521040.0,569223.0,903314.0
14,Jakarta (CGK) - Banjarmasin (BDJ),33195.0,35898.0,45136.0,44202.0,42914.0,58524.0,18957.0,21806.0,34245.0,48795.0,60589.0,69216.0,513477.0,516629.0,1193323.0
15,Surabaya (SUB) - Denpasar (DPS),22328.0,19335.0,32930.0,44170.0,39359.0,74394.0,7375.0,10685.0,30057.0,56782.0,72583.0,86384.0,496382.0,552364.0,1378603.0
16,Jakarta (CGK) - Semarang (SRG),34448.0,29180.0,45310.0,48862.0,40679.0,51091.0,10232.0,18889.0,33364.0,48381.0,55170.0,62756.0,478362.0,646973.0,1736634.0
17,Makassar (UPG) - Kendari (KDI),46354.0,34069.0,45231.0,47955.0,41010.0,56847.0,15233.0,15574.0,24244.0,41004.0,54625.0,52016.0,474162.0,488258.0,738478.0
18,"Jakarta (CGK) - Praya, Lombok (LOP)",33997.0,25626.0,37995.0,39868.0,35760.0,50625.0,16153.0,20456.0,30238.0,44251.0,65212.0,70732.0,470913.0,398833.0,706626.0
19,Surabaya (SUB) - Banjarmasin (BDJ),31682.0,28659.0,39688.0,46113.0,47176.0,65671.0,15560.0,15466.0,21848.0,34726.0,49333.0,55115.0,451037.0,490201.0,935362.0
20,Jakarta (CGK) - Pangkal Pinang (PGK),26478.0,24457.0,34318.0,43550.0,39785.0,51229.0,12210.0,17036.0,25245.0,39687.0,47663.0,61934.0,423592.0,439032.0,968014.0
21,Jakarta (CGK) - Jambi (DJB),29352.0,29344.0,39192.0,40638.0,34500.0,48412.0,11466.0,12757.0,23613.0,35722.0,51432.0,58475.0,414903.0,457132.0,1029017.0
22,Medan (KNO) - Batam (BTH),43618.0,34926.0,39526.0,37043.0,28473.0,43373.0,20501.0,13323.0,20489.0,26234.0,40103.0,45429.0,393038.0,385556.0,566057.0
23,Jakarta (CGK) - Bandar Lampung (TKG),31686.0,24915.0,33891.0,39584.0,43008.0,52565.0,10412.0,9238.0,18283.0,27692.0,44535.0,54935.0,390744.0,523150.0,1411348.0
24,Jakarta (CGK) - Manado (MDC),27504.0,22442.0,30328.0,35736.0,27657.0,38794.0,12890.0,17028.0,25910.0,31934.0,38843.0,43129.0,352195.0,330664.0,724908.0
25,"Surabaya (SUB) - Praya, Lombok (LOP)",26358.0,21778.0,29585.0,29696.0,26557.0,43342.0,9818.0,10728.0,16159.0,27882.0,38609.0,33592.0,314104.0,364885.0,688617.0
26,Makassar (UPG) - Balikpapan (BPN),29149.0,25915.0,28888.0,29928.0,29183.0,40467.0,16393.0,12023.0,15404.0,25507.0,29680.0,28321.0,310858.0,310041.0,433255.0
27,Makassar (UPG) - Manado (MDC),24213.0,21625.0,23341.0,23732.0,19972.0,31586.0,9643.0,10699.0,17799.0,34101.0,36339.0,28741.0,281791.0,266729.0,343117.0
28,Makassar (UPG) - Jayapura (DJJ),27482.0,20659.0,23182.0,22904.0,19597.0,30327.0,15260.0,12442.0,23695.0,30344.0,24705.0,26170.0,276767.0,194319.0,424045.0
29,Jakarta (CGK) - Bengkulu (BKS),22556.0,21454.0,22559.0,25043.0,20711.0,28897.0,6335.0,8734.0,16138.0,27890.0,36254.0,39781.0,276352.0,316274.0,581787.0
30,Surabaya (SUB) - Kupang (KOE),23217.0,13472.0,18062.0,20715.0,20687.0,34639.0,9159.0,14402.0,18198.0,28989.0,37041.0,36192.0,274773.0,292954.0,537465.0
31,Jakarta (CGK) - Solo (SOC),15254.0,15653.0,18304.0,21164.0,18636.0,26121.0,4914.0,8412.0,18698.0,30277.0,39436.0,46110.0,262979.0,298253.0,894545.0
32,Tarakan (TRK) - Balikpapan (BPN),23841.0,23581.0,26293.0,29695.0,24863.0,35848.0,11232.0,10353.0,15391.0,26933.0,20825.0,13979.0,262834.0,295371.0,401646.0
33,Surabaya (SUB) - Batam (BTH),19421.0,19009.0,23785.0,25057.0,18043.0,27452.0,7314.0,8981.0,15610.0,25280.0,32213.0,30204.0,252369.0,281398.0,394712.0
34,Medan (KNO) - Jakarta-HLP (HLP),20677.0,21492.0,29429.0,30577.0,24334.0,31951.0,10408.0,9449.0,13581.0,18537.0,14455.0,20964.0,245854.0,208025.0,490481.0
35,Yogyakarta (YIA) - Balikpapan (BPN),20315.0,15770.0,17261.0,19560.0,17924.0,25272.0,6474.0,12487.0,15973.0,24026.0,31163.0,30753.0,236978.0,144689.0,3407.0
36,Makassar (UPG) - Sorong (SOQ),19164.0,16248.0,19285.0,21233.0,14428.0,25732.0,13159.0,17397.0,21069.0,24898.0,20176.0,20638.0,233427.0,180422.0,302621.0
37,Timika (TIM) - Jayapura (DJJ),16197.0,12875.0,16595.0,17841.0,16075.0,24654.0,13539.0,10242.0,21563.0,27851.0,26330.0,27110.0,230872.0,120392.0,231857.0
38,Makassar (UPG) - Ambon (AMQ),20620.0,15667.0,19271.0,19206.0,14967.0,22435.0,8415.0,9872.0,11737.0,22125.0,32141.0,33428.0,229884.0,216419.0,369976.0
39,Pekanbaru (PKU) - Batam (BTH),20781.0,16937.0,19995.0,20274.0,17213.0,25822.0,12682.0,6080.0,11163.0,17147.0,30130.0,29723.0,227947.0,237794.0,387030.0
40,Makassar (UPG) - Denpasar (DPS),13954.0,11527.0,18664.0,19918.0,13244.0,21886.0,5939.0,4370.0,9083.0,27792.0,38051.0,40908.0,225336.0,193203.0,434356.0
