NO,RUTE,Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
53,Jakarta (CGK) - Penang (PEN),0,0,0,0,0,0,0,0,0,0,0,0,0,61185,361400.0
54,Surabaya (SUB) - Jeddah (JED),0,0,0,0,0,0,0,0,0,0,0,0,0,58719,141422.0
55,Jakarta (CGK) - Medinah (MED),0,0,0,0,0,0,0,0,0,0,0,0,0,56248,225818.0
56,Padang Pariaman (PDG) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,53952,296370.0
57,Pekanbaru (PKU) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,46980,207370.0
58,Denpasar (DPS) - Bangkok-Don Mueang (DMK),0,0,0,0,0,0,0,0,0,0,0,0,0,43376,260527.0
59,Denpasar (DPS) - Guangzhou (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,42634,417004.0
60,Kuala Lumpur (KUL) - Banda Aceh (BTJ),0,0,0,0,0,0,0,0,0,0,0,0,0,42250,243229.0
61,Istanbul (IST) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,42101,83615.0
62,Denpasar (DPS) - Bangkok (BKK),0,0,0,0,0,0,0,0,0,0,0,0,0,40287,245243.0
63,Narita (NRT) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,37003,194723.0
64,Oblast Moskwa (SVO) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,35548,79195.0
65,Jakarta (CGK) - Muscat (MCT),0,0,0,0,0,0,0,0,0,0,0,0,0,34700,182976.0
66,Ho Chi Minh City (SGN) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,33871,70202.0
67,Singapura (SIN) - Bandung (BDO),0,0,0,0,0,0,0,0,0,0,0,0,0,33287,246491.0
68,Beijing (PEK) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,28003,301062.0
69,DARWIN (DRW) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,26290,93953.0
70,Pudong (PVG) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,24705,254065.0
71,Jakarta (CGK) - Riyadh (RUH),0,0,0,0,0,0,0,0,0,0,0,0,0,24632,99859.0
72,Palembang (PLM) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,24362,148630.0
73,Pontianak (PNK) - KUCHING (KCH),0,0,0,0,0,0,0,0,0,0,0,0,0,22193,122393.0
74,Osaka (KIX) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,21804,122090.0
75,Semarang (SRG) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,21225,111144.0
76,Makassar (UPG) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,20784,105979.0
77,Medan (KNO) - Bangkok-Don Mueang (DMK),0,0,0,0,0,0,0,0,0,0,0,0,0,20038,114601.0
78,Denpasar (DPS) - Cairns (CNS),0,0,0,0,0,0,0,0,0,0,0,0,0,19709,66612.0
79,Denpasar (DPS) - Auckland (AKL),0,0,0,0,0,0,0,0,0,0,0,0,0,18665,131183.0
80,Jakarta (CGK) - Pudong (PVG),0,0,0,0,0,0,0,0,0,0,0,0,0,18292,71929.0
81,Denpasar (DPS) - DILI (DIL),0,0,0,0,0,0,0,0,0,0,0,0,0,18115,119346.0
82,Surabaya (SUB) - Medinah (MED),0,0,0,0,0,0,0,0,0,0,0,0,0,17696,34033.0
83,Pontianak (PNK) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,17101,97800.0
84,Semarang (SRG) - Singapura (SIN),0,0,0,0,0,0,0,0,0,0,0,0,0,15626,108939.0
85,Shenzhen (SZX) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,14976,169912.0
86,Jakarta (CGK) - Ho Chi Minh City (SGN),0,0,0,0,0,0,0,0,0,0,0,0,0,13773,106389.0
87,Surabaya (SUB) - Penang (PEN),0,0,0,0,0,0,0,0,0,0,0,0,0,12884,90686.0
88,Surabaya (SUB) - Johor Baru (JHB),0,0,0,0,0,0,0,0,0,0,0,0,0,12559,73764.0
89,Singapura (SIN) - Palembang (PLM),0,0,0,0,0,0,0,0,0,0,0,0,0,12493,68701.0
90,Medan (KNO) - Jeddah (JED),0,0,0,0,0,0,0,0,0,0,0,0,0,11500,58118.0
91,"Perth (PER) - Praya, Lombok (LOP)",0,0,0,0,0,0,0,0,0,0,0,0,0,10992,32889.0
92,Hangzhou (HGH) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,10445,98983.0
93,Singapura (SIN) - Pekanbaru (PKU),0,0,0,0,0,0,0,0,0,0,0,0,0,10350,56377.0
94,Medinah (MED) - Medan (KNO),0,0,0,0,0,0,0,0,0,0,0,0,0,9776,32268.0
95,Hanoi (HAN) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,8971,0.0
96,Jakarta (CGK) - Xiamen (XMN),0,0,0,0,0,0,0,0,0,0,0,0,0,7762,97757.0
97,Jakarta (CGK) - Johor Baru (JHB),0,0,0,0,0,0,0,0,0,0,0,0,0,7688,45733.0
98,Jakarta (CGK) - Beijing (PEK),0,0,0,0,0,0,0,0,0,0,0,0,0,7143,94597.0
99,Subang (SZB) - Batam (BTH),0,0,0,0,0,0,0,0,0,0,0,0,0,6546,30504.0
100,Makassar (UPG) - Jeddah (JED),0,0,0,0,0,0,0,0,0,0,0,0,0,6105,0.0
101,Singapura (SIN) - Balikpapan (BPN),0,0,0,0,0,0,0,0,0,0,0,0,0,6069,36302.0
102,Denpasar (DPS) - Changsha (CSX),0,0,0,0,0,0,0,0,0,0,0,0,0,5959,56357.0
103,Kuala Lumpur (KUL) - Siborong-borong (DTB),0,0,0,0,0,0,0,0,0,0,0,0,0,5833,23201.0
104,Makassar (UPG) - Singapura (SIN),0,0,0,0,0,0,0,0,0,0,0,0,0,5802,38495.0
105,Nanjing (NKG) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,5791,69616.0
106,Wuhan (WUH) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,5693,71710.0
107,Penang (PEN) - Banda Aceh (BTJ),0,0,0,0,0,0,0,0,0,0,0,0,0,5667,35191.0
108,"Singapura (SIN) - Praya, Lombok (LOP)",0,0,0,0,0,0,0,0,0,0,0,0,0,5656,32725.0
109,Solo (SOC) - Jeddah (JED),0,0,0,0,0,0,0,0,0,0,0,0,0,5507,20504.0
110,Solo (SOC) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,5446,6689.0
111,Denpasar (DPS) - Zhengshou (CGO),0,0,0,0,0,0,0,0,0,0,0,0,0,5394,63273.0
112,Manado (MDC) - Changsha (CSX),0,0,0,0,0,0,0,0,0,0,0,0,0,5309,41597.0
113,Solo (SOC) - Medinah (MED),0,0,0,0,0,0,0,0,0,0,0,0,0,4335,15725.0
114,Pekanbaru (PKU) - Malaka (MKZ),0,0,0,0,0,0,0,0,0,0,0,0,0,4240,26545.0
115,Jakarta (CGK) - Haikou (HAK),0,0,0,0,0,0,0,0,0,0,0,0,0,3776,61167.0
116,Jakarta (CGK) - Tashkent (TAS),0,0,0,0,0,0,0,0,0,0,0,0,0,3139,3224.0
117,Xian (XIY) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,3112,44955.0
118,Jakarta (CGK) - Kunming (KMG),0,0,0,0,0,0,0,0,0,0,0,0,0,2907,29813.0
119,Nanchang (KHN) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,2860,35770.0
120,Fuzhou (FOC) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,2824,40774.0
121,Jeddah (JED) - Balikpapan (BPN),0,0,0,0,0,0,0,0,0,0,0,0,0,2583,0.0
122,Pudong (PVG) - Manado (MDC),0,0,0,0,0,0,0,0,0,0,0,0,0,2457,37824.0
123,Shenzhen (SZX) - Batam (BTH),0,0,0,0,0,0,0,0,0,0,0,0,0,2209,0.0
124,Tawau (TWU) - Tarakan (TRK),0,0,0,0,0,0,0,0,0,0,0,0,0,2151,11165.0
125,Subang (SZB) - Pekanbaru (PKU),0,0,0,0,0,0,0,0,0,0,0,0,0,2095,7040.0
126,Xian (XIY) - Batam (BTH),0,0,0,0,0,0,0,0,0,0,0,0,0,1776,0.0
127,Port Hedland (PHE) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,1671,8891.0
128,Medinah (MED) - Balikpapan (BPN),0,0,0,0,0,0,0,0,0,0,0,0,0,1283,0.0
129,Jakarta (CGK) - Nanning (NNG),0,0,0,0,0,0,0,0,0,0,0,0,0,1049,14668.0
130,Yogyakarta (YIA) - Kuala Lumpur (KUL),0,0,0,0,0,0,0,0,0,0,0,0,0,772,0.0
131,Jakarta (CGK) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,673,0.0
132,Yogyakarta (YIA) - Singapura (SIN),0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.0
133,Xiamen (XMN) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,35016.0
134,Jakarta (CGK) - Chengdu (CTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
135,Haneda (HND) - Denpasar (DPS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
