NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
53,Jakarta (CGK) - Penang (PEN),151,0,0,4500207,0.0,"0,0"
54,Surabaya (SUB) - Jeddah (JED),0,0,0,0,0.0,"0,0"
55,Jakarta (CGK) - Medinah (MED),0,0,0,0,0.0,"0,0"
56,Padang Pariaman (PDG) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
57,Pekanbaru (PKU) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
58,Denpasar (DPS) - Bangkok-Don Mueang (DMK),0,0,0,0,0.0,"0,0"
59,Denpasar (DPS) - Guangzhou (CAN),0,0,0,0,0.0,"0,0"
60,Kuala Lumpur (KUL) - Banda Aceh (BTJ),0,0,0,0,0.0,"0,0"
61,Istanbul (IST) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
62,Denpasar (DPS) - Bangkok (BKK),0,0,0,0,0.0,"0,0"
63,Narita (NRT) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
64,Oblast Moskwa (SVO) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
65,Jakarta (CGK) - Muscat (MCT),2,0,578,14250,0.0,"0,0"
66,Ho Chi Minh City (SGN) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
67,Singapura (SIN) - Bandung (BDO),0,0,0,0,0.0,"0,0"
68,Beijing (PEK) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
69,DARWIN (DRW) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
70,Pudong (PVG) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
71,Jakarta (CGK) - Riyadh (RUH),0,0,0,0,0.0,"0,0"
72,Palembang (PLM) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
73,Pontianak (PNK) - KUCHING (KCH),0,0,0,0,0.0,"0,0"
74,Osaka (KIX) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
75,Semarang (SRG) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
76,Makassar (UPG) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
77,Medan (KNO) - Bangkok-Don Mueang (DMK),0,0,0,0,0.0,"0,0"
78,Denpasar (DPS) - Cairns (CNS),0,0,0,0,0.0,"0,0"
79,Denpasar (DPS) - Auckland (AKL),0,0,0,0,0.0,"0,0"
80,Jakarta (CGK) - Pudong (PVG),748,0,145595,19826615,6417.0,"0,0"
81,Denpasar (DPS) - DILI (DIL),0,0,0,0,0.0,"0,0"
82,Surabaya (SUB) - Medinah (MED),0,0,0,0,0.0,"0,0"
83,Pontianak (PNK) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
84,Semarang (SRG) - Singapura (SIN),14,0,0,214291,0.0,"0,0"
85,Shenzhen (SZX) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
86,Jakarta (CGK) - Ho Chi Minh City (SGN),239,0,46769,1551388,0.0,"0,0"
87,Surabaya (SUB) - Penang (PEN),0,0,0,0,0.0,"0,0"
88,Surabaya (SUB) - Johor Baru (JHB),0,0,0,0,0.0,"0,0"
89,Singapura (SIN) - Palembang (PLM),0,0,0,0,0.0,"0,0"
90,Medan (KNO) - Jeddah (JED),0,0,0,0,0.0,"0,0"
91,"Perth (PER) - Praya, Lombok (LOP)",0,0,0,0,0.0,"0,0"
92,Hangzhou (HGH) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
93,Singapura (SIN) - Pekanbaru (PKU),0,0,0,0,0.0,"0,0"
94,Medinah (MED) - Medan (KNO),0,0,0,0,0.0,"0,0"
95,Hanoi (HAN) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
96,Jakarta (CGK) - Xiamen (XMN),0,0,0,0,0.0,"0,0"
97,Jakarta (CGK) - Johor Baru (JHB),0,0,0,0,0.0,"0,0"
98,Jakarta (CGK) - Beijing (PEK),44,0,11640,522254,0.0,"0,0"
