NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
1.0,CGK-DPS,324.111,199.681,315.863,254.339,431.481,418.035,436.252,406.86,355.43,380.157,360.217,460.495,4342921.0
2.0,CGK-KNO,294.81,193.835,258.45,258.795,331.335,312.769,322.842,267.153,240.691,239.572,240.438,285.369,3246059.0
3.0,CGK-SUB,170.467,131.792,214.909,203.468,278.835,262.005,273.008,235.719,203.389,203.739,203.324,213.493,2594148.0
4.0,CGK-UPG,175.687,137.865,227.767,192.377,243.765,233.247,230.991,210.381,200.21,217.827,230.212,230.764,2531093.0
5.0,CGK-PNK,135.389,107.312,136.514,132.922,174.281,152.97,148.027,126.75,114.118,125.393,119.858,134.001,1607535.0
6.0,CGK-PKU,109.617,85.836,114.065,116.355,153.313,134.196,141.35,120.71,113.317,116.14,115.831,134.166,1454896.0
7.0,CGK-PDG,104.452,83.267,115.222,106.414,168.853,132.742,145.986,124.674,100.576,116.472,123.524,127.67,1449852.0
8.0,CGK-PLM,99.327,79.421,116.088,112.519,146.104,134.159,140.224,121.501,116.74,119.751,122.339,121.961,1430134.0
9.0,CGK-YIA,105.762,75.349,97.204,87.573,131.167,115.35,127.347,116.413,108.697,112.497,121.673,133.977,1333009.0
10.0,CGK-BTH,92.022,70.558,92.605,98.835,138.911,131.953,144.481,112.379,100.807,99.038,96.848,115.393,1293830.0
11.0,UPG-SUB,94.351,78.885,104.132,102.583,126.251,112.079,121.562,98.969,93.532,101.894,104.493,108.912,1247643.0
12.0,CGK-BPN,83.628,53.982,84.596,88.4,114.009,114.038,114.424,104.121,106.279,113.147,120.057,132.328,1229009.0
13.0,SUB-DPS,84.449,56.542,80.226,69.832,113.59,102.944,113.65,93.847,84.575,93.52,82.784,114.258,1090217.0
14.0,CGK-BDJ,62.762,45.793,65.487,68.254,97.698,84.869,88.027,80.925,82.239,96.708,91.241,95.295,959.298
15.0,CGK-LOP,59.324,46.021,91.938,56.277,83.648,79.594,77.182,78.283,71.17,77.51,78.9,82.956,882.803
16.0,CGK-SRG,59.84,41.088,57.999,66.754,88.489,79.574,86.289,85.21,84.955,79.159,75.436,72.431,877.224
17.0,CGK-PGK,63.719,52.556,67.047,79.607,100.657,76.663,78.368,63.863,58.225,68.144,66.783,73.648,849.28
18.0,SUB-BDJ,56.787,46.266,69.223,59.877,93.545,72.924,81.938,62.72,67.996,68.279,75.657,85.035,840.247
19.0,SUB-BPN,54.528,40.52,60.36,59.616,86.823,74.49,84.917,60.684,68.019,71.77,80.2,92.825,834.752
20.0,CGK-DJB,57.857,45.189,59.355,64.226,83.599,72.99,72.267,64.035,63.537,70.816,70.32,79.94,804.131
21.0,CGK-TKG,53.26,41.7,52.333,52.587,74.545,62.848,54.28,46.031,52.179,56.988,50.725,54.389,651.865
22.0,UPG-KDI,54.617,45.408,57.29,46.074,62.497,53.865,58.308,55.293,49.129,53.194,52.48,56.435,644.59
23.0,KNO-BTH,53.83,41.889,51.474,46.783,56.001,62.565,61.141,44.395,48.215,46.994,44.98,55.495,613.762
24.0,SUB-LOP,38.298,31.887,47.67,37.332,58.96,56.278,59.683,55.728,46.822,49.368,49.38,54.327,585.733
25.0,CGK-SOC,42.742,28.839,38.16,39.653,61.601,48.276,52.252,50.336,47.657,49.03,53.343,51.993,563.882
26.0,CGK-BKS,41.259,31.75,43.744,37.891,51.411,45.942,45.782,37.986,39.94,46.399,42.646,50.361,515.111
27.0,UPG-DPS,42.06,31.601,43.436,29.737,47.511,46.531,48.459,42.972,34.751,43.292,39.714,45.439,495.503
28.0,CGK-MDC,36.354,25.932,37.911,37.27,44.228,43.768,40.65,39.209,39.005,41.978,40.548,43.709,470.562
29.0,UPG-BPN,33.645,30.744,42.352,33.091,46.483,40.803,43.665,32.054,33.44,34.901,35.331,41.893,448.402
30.0,SUB-KOE,33.394,24.265,35.633,33.493,41.738,41.136,42.754,37.029,33.383,37.942,36.954,38.693,436.414
31.0,CGK-TJQ,28.977,20.661,33.194,32.685,49.698,42.297,41.566,34.995,33.062,36.892,33.352,39.47,426.849
32.0,UPG-SOQ,22.591,16.337,26.501,28.747,37.226,40.662,41.199,34.573,33.04,38.25,41.995,43.225,404.346
33.0,SOQ-MKW,21.625,18.769,29.316,33.021,40.112,43.642,39.323,35.345,32.189,34.052,35.642,39.536,402.572
34.0,UPG-MDC,33.4,23.122,36.506,33.625,37.442,34.915,39.578,32.251,28.649,29.349,28.55,33.322,390.709
35.0,PKU-BTH,32.247,25.559,33.942,30.53,48.104,39.711,38.472,28.133,25.332,28.665,26.922,31.009,388.626
36.0,SUB-BTH,29.106,25.322,32.685,31.26,35.016,35.327,35.271,31.822,28.43,30.026,30.373,31.198,375.836
