NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
53,CGK-BWN,126,195,155,963,1465,1894,2706,3130,3188,2956,3207,4416,24401.0
54,PKU-KUL,0,0,0,0,0,0,0,0,0,5325,6595,12234,24154.0
55,SUB-JHB,0,0,0,0,1317,2467,2782,2267,2864,3291,4061,4812,23861.0
56,CGK-AMS,711,474,804,1559,2360,2578,2609,2346,2742,2666,2182,2627,23658.0
57,SUB-PEN,0,0,0,0,1929,2370,3222,2585,2917,2526,3447,4180,23176.0
58,PDG-KUL,0,0,0,0,0,0,0,0,0,2908,3957,10812,17677.0
59,CGK-SZX,1161,1042,1085,1360,1992,1441,1367,2105,1765,0,1836,1560,16714.0
60,SZB-BTH,0,0,0,0,0,733,2354,2159,2327,2382,2095,2785,14835.0
61,TPE-DPS,0,0,0,0,0,0,0,0,2748,3239,3377,4707,14071.0
62,SUB-BWN,0,102,193,514,573,945,1370,1057,1363,2181,2155,3001,13454.0
63,YIA-SIN,0,0,0,0,0,0,0,0,0,1885,3166,7506,12557.0
64,DPS-CNS,0,0,0,0,1852,3245,3766,2558,0,0,0,858,12279.0
65,CGK-ADD,0,0,3,0,0,3,827,2123,2402,594,2521,1694,10167.0
66,PKU-MKZ,0,0,0,0,0,0,0,0,2053,3110,2195,2523,9881.0
67,UPG-SIN,0,0,0,0,0,0,0,0,0,668,2294,3865,6827.0
68,KUL-BTJ,0,0,0,0,0,0,0,0,0,2222,2091,2248,6561.0
69,NRT-DPS,0,40,14,0,97,0,0,0,0,40,2368,3772,6331.0
70,SIN-PKU,0,0,0,0,0,0,0,0,0,855,2402,2797,6054.0
71,CGK-WUH,858,713,1233,896,1348,943,0,0,0,0,0,0,5991.0
72,SIN-LOP,0,0,0,0,0,0,0,0,0,1275,2234,2402,5911.0
73,CGK-HGH,0,0,0,0,0,0,157,444,868,1011,1411,1027,4918.0
74,CGK-MEL,0,0,0,0,0,0,0,0,0,0,818,4016,4834.0
75,SUB-HKG,0,0,0,378,0,353,0,0,566,938,1074,1491,4800.0
76,PEN-DPS,0,0,0,0,0,0,0,0,0,542,1594,2284,4420.0
77,CGK-XMN,0,0,0,0,0,0,0,0,0,367,1684,2330,4381.0
78,PEN-BTJ,0,0,0,0,0,0,0,0,0,0,1470,2647,4117.0
79,CGK-CTU,0,0,0,0,0,0,0,733,778,784,590,1181,4066.0
80,CGK-PEK,0,0,0,0,0,0,0,1229,1049,666,342,497,3783.0
81,HKG-DPS,0,0,0,0,0,0,0,0,0,0,0,2855,2855.0
82,CGK-NKG,0,0,0,0,0,0,330,428,287,343,0,0,1388.0
83,CGK-WNZ,0,0,0,0,0,0,0,0,0,0,0,802,802.0
84,MDC-FOC,0,0,162,0,0,0,0,0,0,0,0,0,162.0
85,CGK-PER,10,0,0,0,0,0,0,0,0,0,0,0,10.0
86,CGK-PVG,0,0,4,0,0,0,0,0,5,0,0,0,9.0
87,UPG-JED,0,0,0,0,0,0,0,0,0,0,0,0,0.0
88,CGK-KCH,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,UPG-MED,0,0,0,0,0,0,0,0,0,0,0,0,0.0
90,SUB-JED,0,0,0,0,0,0,0,0,0,0,0,0,0.0
91,KCH-BPN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,CGK-DWC,0,0,0,0,0,0,0,0,0,0,0,0,0.0
93,SUB-MED,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,KUL-BDO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,MDC-CSX,0,0,0,0,0,0,0,0,0,0,0,0,0.0
96,PLM-KUL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97,SRG-SIN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
98,CGK-HAK,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,HND-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,KUL-BPN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
101,PNK-KCH,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102,CGK-HAN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
103,MED-KNO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
104,PNK-KUL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
105,CGK-KIX,0,0,0,0,0,0,0,0,0,0,0,0,0.0
106,CGK-NNG,0,0,0,0,0,0,0,0,0,0,0,0,0.0
107,DPS-AKL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
108,PVG-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
109,SZB-PKU,0,0,0,0,0,0,0,0,0,0,0,0,0.0
110,CGK-KMG,0,0,0,0,0,0,0,0,0,0,0,0,0.0
111,CGK-SZB,0,0,0,0,0,0,0,0,0,0,0,0,0.0
112,KUL-DTB,0,0,0,0,0,0,0,0,0,0,0,0,0.0
113,PER-LOP,0,0,0,0,0,0,0,0,0,0,0,0,0.0
114,PVG-MDC,0,0,0,0,0,0,0,0,0,0,0,0,0.0
115,SZX-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
116,WUH-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
117,CGK-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118,FOC-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
119,KIX-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
120,NKG-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
121,PHE-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,SIN-PLM,0,0,0,0,0,0,0,0,0,0,0,0,0.0
123,TKG-KUL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
124,XMN-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
125,DPS-CAN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
126,SIN-BDO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
127,SOC-KUL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
128,HGH-DPS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
129,KNO-JED,0,0,0,0,0,0,0,0,0,0,0,0,0.0
130,MDC-CAN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
131,SIN-BPN,0,0,0,0,0,0,0,0,0,0,0,0,0.0
132,SRG-KUL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
133,TWU-TRK,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,162122,165476,301029,535685,866253,1017513,1247813,1397429,1508534,1632462,1588915,1875515,12298746,
