NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
44,UPG-TTE,2098,311854,396600,2205215,1493.0,
45,UPG-TIM,2156,307458,380359,2061634,9292.0,
46,CGK-AAP,2171,292020,358082,2240929,15178.0,
47,TIM-DJJ,2290,289824,400718,2222216,12943.0,
48,CGK-DTB,2034,277860,337884,2828625,14832.0,
49,PDG-BTH,1745,276870,357741,398138,1436.0,
50,UPG-DJJ,1967,270282,362985,1855655,14980.0,
51,CGK-KDI,1878,260571,312779,2044558,23873.0,
52,PLM-BTH,1710,255299,336844,703255,250.0,
53,CGK-MLG,1791,249532,300440,163811,679.0,
54,CGK-PLW,1943,248790,317244,2778223,24376.0,
55,LBJ-DPS,2329,247853,333760,351595,1241.0,
56,SUB-PNK,1598,240171,297090,1483056,120.0,
57,YIA-DPS,1657,238588,320147,73708,5.0,
58,SRG-BDJ,1554,230520,305768,850430,42.0,
59,CGK-BTJ,1764,228739,270963,4863961,19252.0,
60,SUB-HLP,1690,221703,275782,166270,1027.0,
61,BPN-BEJ,3633,218537,261412,984775,0.0,
62,WMX-DJJ,15566,218263,303696,94738372,0.0,
63,UPG-GTO,1485,212785,290235,1433376,2456.0,
64,KNO-GNS,3889,210148,278164,679389,0.0,
65,CGK-LBJ,1828,208438,294930,1061420,3492.0,
66,KNO-BDO,1516,204582,278268,1051232,2955.0,
67,DJJ-BIK,1332,199520,261549,1359360,78.0,
68,SOC-DPS,1304,198295,261598,121229,372.0,
69,CGK-TNJ,1592,197939,264366,3673946,15224.0,
70,LOP-DPS,3281,191573,241837,134950,0.0,
71,YIA-PKU,1345,180784,261493,572039,1.0,
72,CGK-KOE,1444,180122,228225,3672936,27612.0,
73,SUB-PKY,1158,170346,222840,1225045,575.0,
74,UPG-BIK,1255,167294,247196,1322684,130.0,
75,TJQ-PGK,1641,163108,206388,602022,0.0,
76,PLM-PGK,1580,158580,202668,539168,0.0,
77,MKQ-DJJ,991,157868,198939,1340354,3.0,
78,TRK-BPN,2100,155996,195682,946443,0.0,
79,CGK-TTE,1172,151581,186408,1818848,8281.0,
80,SRG-PKN,1995,146641,176264,254514,0.0,
81,KNO-BTJ,2552,145757,197580,311273,0.0,
82,CGK-SOQ,1164,144836,186872,2208553,40288.0,
83,CGK-AMQ,1035,140573,169186,1758047,17942.0,
84,UPG-LUW,1134,138439,186089,864780,4464.0,
85,PNK-KTG,2184,131034,157248,206652,0.0,
86,YIA-KNO,904,127956,179820,1196467,234.0,
87,HLP-DPS,1130,127507,187824,125480,0.0,
88,KOE-DPS,727,122270,156175,965595,953.0,
89,UPG-SRG,876,122036,171026,744662,0.0,
90,TMC-DPS,1791,118430,150256,416101,0.0,
91,YIA-BDJ,760,117313,161788,232147,15.0,
92,TRK-SUB,710,111026,152520,1669260,2169.0,
93,PKU-KNO,1779,110588,138990,84145,0.0,
94,CGK-DJJ,979,109386,156600,1544018,5346.0,
95,SRG-BPN,764,104582,163818,213272,427.0,
96,CGK-BWX,876,103797,143948,135763,411.0,
97,SOQ-DJJ,734,103496,153742,240629,8.0,
98,SUB-PKN,1689,100294,137064,182796,0.0,
99,MLG-HLP,752,97575,123032,18021,51.0,
100,BPN-BDJ,1828,97202,131512,80088,0.0,
101,KNO-HLP,877,95344,141542,684894,0.0,
102,SUB-MDC,606,94210,128600,495140,14.0,
103,LUV-AMQ,1175,91858,147078,458571,0.0,
104,LOP-BMU,1442,90756,103824,36676,0.0,
105,CGK-TRK,814,90359,106144,2049569,10388.0,
106,SUB-LBJ,712,89816,133604,159205,145.0,
107,MOF-KOE,1395,89507,113976,519328,0.0,
108,PLM-HLP,697,87856,110538,39196,1.0,
109,UPG-BUW,1596,87602,114912,177620,0.0,
110,CGK-PKN,759,81223,91080,428628,0.0,
111,UPG-TRK,605,81093,129997,695177,468.0,
112,SOQ-MDC,647,81036,138559,74923,161.0,
113,KOE-ENE,1521,79290,109132,352831,0.0,
114,UPG-MOH,1395,78009,100440,70665,0.0,
115,DPS-BPN,600,75687,99628,198378,0.0,
