NO,RUTE,Jan-23,Feb-23,Mar-23,Apr-23,Mei-23,Jun-23,Jul-23,Agu-23,Sep-23,Okt-23,Nov-23,Des-23,TOTAL 2023
1,CGK-DPS,392247.0,316750.0,351716.0,373206.0,392707.0,453127.0,501516.0,442890.0,411534.0,437965.0,410442.0,477624.0,4961724.0
2,CGK-KNO,304372.0,226362.0,253979.0,304452.0,323983.0,302369.0,338512.0,279809.0,249715.0,266435.0,266559.0,298275.0,3414822.0
3,CGK-SUB,219599.0,221366.0,240721.0,233611.0,288809.0,277728.0,292567.0,269432.0,253606.0,269244.0,254085.0,244277.0,3065045.0
4,CGK-UPG,196410.0,195998.0,232070.0,197514.0,235305.0,221316.0,241785.0,205789.0,203112.0,233993.0,246073.0,227308.0,2636673.0
5,CGK-BPN,121585.0,120922.0,124007.0,114841.0,149171.0,142276.0,152470.0,140853.0,122901.0,143853.0,153184.0,142616.0,1628679.0
6,CGK-PNK,151085.0,123484.0,137603.0,135125.0,148426.0,137578.0,139860.0,134889.0,119083.0,124684.0,126099.0,137565.0,1615481.0
7,CGK-PLM,119913.0,116839.0,119703.0,133719.0,140855.0,132258.0,138123.0,121619.0,124089.0,133361.0,122075.0,131789.0,1534343.0
8,CGK-PDG,113444.0,103959.0,101522.0,137059.0,152807.0,151583.0,148612.0,118462.0,110403.0,120938.0,111871.0,125198.0,1495858.0
9,CGK-YIA,112896.0,113016.0,114407.0,118284.0,148363.0,134532.0,140947.0,117023.0,112482.0,120917.0,119948.0,123869.0,1476684.0
10,UPG-SUB,109674.0,95953.0,106489.0,119644.0,139797.0,118207.0,139821.0,115719.0,111276.0,117987.0,111251.0,121361.0,1407179.0
11,CGK-PKU,121759.0,95727.0,100852.0,115981.0,126083.0,118494.0,134687.0,116837.0,111165.0,118644.0,117188.0,124028.0,1401445.0
12,CGK-BTH,109613.0,98824.0,107878.0,120342.0,128423.0,117687.0,127371.0,106062.0,103038.0,109705.0,113569.0,118364.0,1360876.0
13,SUB-DPS,104065.0,86418.0,93220.0,106478.0,113002.0,117667.0,131057.0,111818.0,109166.0,123660.0,115218.0,138971.0,1350740.0
14,CGK-BDJ,86412.0,83837.0,93215.0,84941.0,109665.0,90520.0,101040.0,99272.0,97097.0,107626.0,117498.0,108364.0,1179487.0
15,SUB-BPN,93402.0,87267.0,90333.0,92843.0,125400.0,98131.0,94998.0,66983.0,73244.0,78640.0,67296.0,75259.0,1043796.0
16,CGK-SRG,68400.0,69587.0,77484.0,87690.0,101196.0,85291.0,91264.0,95784.0,88906.0,93740.0,89783.0,82626.0,1031751.0
17,SUB-BDJ,81584.0,74651.0,75518.0,78684.0,97116.0,79754.0,93169.0,75073.0,77818.0,77743.0,74906.0,76210.0,962226.0
18,CGK-DJB,75337.0,70910.0,76687.0,79665.0,89247.0,80301.0,89122.0,77354.0,77065.0,82279.0,79308.0,81142.0,958417.0
19,CGK-PGK,76571.0,60212.0,72639.0,84656.0,81847.0,78820.0,84135.0,67152.0,65890.0,73941.0,72128.0,80465.0,898456.0
20,CGK-LOP,64708.0,65924.0,75282.0,68307.0,84118.0,74097.0,87876.0,82478.0,71784.0,80530.0,68925.0,71023.0,895052.0
21,CGK-TKG,50471.0,49531.0,53699.0,58885.0,78772.0,77070.0,84533.0,81360.0,77800.0,80192.0,82202.0,84131.0,858646.0
22,SUB-HLP,51899.0,66144.0,67794.0,55707.0,80196.0,71280.0,72371.0,78346.0,78185.0,78616.0,78803.0,73354.0,852695.0
23,UPG-KDI,52932.0,54358.0,60562.0,60870.0,66274.0,60103.0,67305.0,60430.0,65455.0,65771.0,61735.0,66092.0,741887.0
24,SUB-LOP,52787.0,48943.0,52626.0,50433.0,56619.0,60645.0,66857.0,61368.0,58169.0,62588.0,63274.0,61670.0,695979.0
25,CGK-SOC,48124.0,42649.0,45703.0,60274.0,68770.0,55842.0,53739.0,46002.0,46749.0,48896.0,51225.0,55281.0,623254.0
26,KNO-BTH,54231.0,47885.0,54783.0,54465.0,55730.0,54346.0,56581.0,49987.0,50949.0,45091.0,40679.0,48184.0,612911.0
27,CGK-BKS,44461.0,43375.0,44185.0,44056.0,51689.0,48058.0,49016.0,46164.0,44013.0,44827.0,47466.0,50283.0,557593.0
28,CGK-MDC,38876.0,32260.0,37353.0,34841.0,45225.0,46350.0,52410.0,51372.0,49846.0,53147.0,54961.0,56061.0,552702.0
29,UPG-DPS,41204.0,34681.0,36260.0,34449.0,43230.0,45062.0,52705.0,42443.0,39094.0,45241.0,44202.0,47843.0,506414.0
30,UPG-BPN,42049.0,39472.0,39287.0,40423.0,44260.0,36221.0,48538.0,36616.0,37846.0,39437.0,37482.0,41504.0,483135.0
31,SUB-KOE,34993.0,29796.0,37592.0,38928.0,43558.0,45362.0,47790.0,41431.0,40078.0,42530.0,33198.0,33414.0,468670.0
32,CGK-PKY,34917.0,29622.0,32835.0,31228.0,40424.0,37252.0,41220.0,37328.0,38173.0,38614.0,42345.0,40531.0,444489.0
33,LBJ-DPS,20227.0,19776.0,29582.0,34816.0,40443.0,43360.0,46851.0,54902.0,45355.0,43560.0,33233.0,31812.0,443917.0
34,CGK-TJQ,37015.0,29884.0,35095.0,41050.0,42553.0,42697.0,42135.0,34867.0,33629.0,32560.0,33576.0,37725.0,442786.0
35,PLM-HLP,32745.0,33536.0,34353.0,29519.0,38404.0,36962.0,41959.0,39296.0,35768.0,37115.0,39725.0,41161.0,440543.0
36,YIA-DPS,29925.0,28105.0,27785.0,27308.0,35700.0,38919.0,40957.0,42196.0,38307.0,42039.0,42914.0,43812.0,437967.0
37,UPG-SOQ,42130.0,34973.0,36920.0,29322.0,34954.0,36475.0,40973.0,29480.0,27484.0,24093.0,31781.0,34795.0,403380.0
38,HLP-DPS,36425.0,33221.0,30072.0,29007.0,40017.0,42333.0,39327.0,38520.0,34566.0,27449.0,23471.0,27574.0,401982.0
39,YIA-BPN,33274.0,29869.0,27809.0,34725.0,38582.0,35705.0,37816.0,30004.0,28435.0,31874.0,35303.0,37145.0,400541.0
40,UPG-TTE,27128.0,26601.0,31167.0,27621.0,36993.0,33835.0,40738.0,34380.0,31523.0,32720.0,31011.0,31293.0,385010.0
41,DPS-BDO,29520.0,32627.0,36619.0,36426.0,34167.0,50321.0,52743.0,37739.0,36478.0,38292.0,,,384932.0
42,UPG-PLW,28515.0,25815.0,30370.0,30356.0,34418.0,31172.0,37476.0,33653.0,33952.0,31583.0,31789.0,33532.0,382631.0
43,SUB-BTH,29082.0,30597.0,33395.0,29059.0,32876.0,30707.0,34600.0,31995.0,30534.0,28274.0,28747.0,30956.0,370822.0
44,UPG-MDC,32522.0,28121.0,28043.0,27590.0,35509.0,35628.0,37058.0,27702.0,27428.0,30322.0,24238.0,29521.0,363682.0
45,YIA-UPG,25738.0,23084.0,23990.0,28423.0,35357.0,28810.0,41686.0,34355.0,34475.0,28362.0,27825.0,31152.0,363257.0
46,TRK-BPN,27356.0,28101.0,29539.0,25793.0,29723.0,29460.0,37507.0,30367.0,28874.0,31035.0,30501.0,34587.0,362843.0
47,SUB-PNK,30529.0,25857.0,28478.0,27263.0,32322.0,30159.0,32324.0,29303.0,28516.0,29851.0,27375.0,29189.0,351166.0
48,CGK-DTB,31250.0,28491.0,24911.0,31890.0,27929.0,34116.0,26898.0,22751.0,23393.0,27589.0,28914.0,34997.0,343129.0
