NO,RUTE,Jan-23,Feb-23,Mar-23,Apr-23,Mei-23,Jun-23,Jul-23,Agu-23,Sep-23,Okt-23,Nov-23,Des-23,TOTAL 2023
1,CGK-SIN,227699.0,212154.0,241100.0,226693.0,252659.0,255235.0,290907.0,255973.0,247194.0,263525.0,259458.0,272425.0,3005022.0
2,SIN-DPS,166942.0,152855.0,186747.0,196857.0,218700.0,222371.0,246027.0,249236.0,235993.0,225985.0,192590.0,217864.0,2512167.0
3,CGK-KUL,107533.0,120326.0,130871.0,117199.0,145792.0,167327.0,194054.0,162954.0,158965.0,163921.0,164085.0,189291.0,1822318.0
4,KUL-DPS,102429.0,102006.0,104316.0,109881.0,123119.0,136349.0,143460.0,141992.0,128946.0,116642.0,99162.0,121788.0,1430090.0
5,MEL-DPS,75420.0,62056.0,60794.0,69018.0,73167.0,84102.0,92179.0,88684.0,86368.0,85503.0,72357.0,76927.0,926575.0
6,CGK-JED,81723.0,86704.0,90745.0,71092.0,55558.0,29344.0,44085.0,112980.0,81104.0,81172.0,75843.0,77455.0,887805.0
7,PER-DPS,69017.0,61937.0,64660.0,69640.0,69722.0,71237.0,77232.0,77916.0,77852.0,78584.0,73538.0,74981.0,866316.0
8,KUL-KNO,67222.0,56205.0,56929.0,63440.0,59378.0,69148.0,67056.0,60355.0,55588.0,57296.0,62111.0,78163.0,752891.0
9,SYD-DPS,58859.0,51931.0,52859.0,52507.0,53810.0,59127.0,67402.0,63724.0,65669.0,65227.0,61732.0,68962.0,721809.0
10,SUB-SIN,48203.0,43514.0,46909.0,52329.0,61602.0,63816.0,68049.0,56431.0,57694.0,61220.0,56822.0,62432.0,679021.0
11,CGK-DOH,44599.0,41786.0,51192.0,41716.0,54168.0,51842.0,54814.0,58324.0,62319.0,61492.0,52487.0,53319.0,628058.0
12,SUB-KUL,38208.0,36554.0,41413.0,42664.0,48263.0,44524.0,53317.0,51075.0,54443.0,64767.0,61812.0,72174.0,609214.0
13,DPS-DOH,40983.0,36297.0,41788.0,40298.0,43579.0,46070.0,61397.0,61776.0,59492.0,59505.0,53333.0,51984.0,596502.0
14,PEN-KNO,52068.0,43959.0,44601.0,51188.0,42811.0,48462.0,48189.0,48045.0,45032.0,52704.0,46088.0,52883.0,576030.0
15,DXB-DPS,24733.0,38069.0,46059.0,45884.0,46191.0,55970.0,60904.0,60147.0,58483.0,55638.0,41592.0,37736.0,571406.0
16,CGK-DMK,29482.0,28846.0,31921.0,37679.0,46594.0,51132.0,57097.0,51846.0,49863.0,51093.0,49028.0,57180.0,541761.0
17,CGK-HKG,26871.0,28688.0,35169.0,41036.0,44067.0,45203.0,44935.0,41460.0,42918.0,46390.0,50942.0,53065.0,500744.0
18,CGK-DXB,40582.0,39477.0,42742.0,32123.0,43825.0,40752.0,44083.0,42351.0,43262.0,43784.0,37487.0,35854.0,486322.0
19,CGK-ICN,31801.0,29465.0,31935.0,29859.0,37192.0,34687.0,36773.0,35670.0,35034.0,37740.0,38122.0,39645.0,417923.0
20,DPS-BNE,36418.0,30495.0,32785.0,33551.0,32631.0,34584.0,36120.0,34852.0,35095.0,35963.0,35913.0,37787.0,416194.0
21,DPS-DMK,26303.0,26125.0,28143.0,32600.0,33999.0,33868.0,36409.0,33757.0,31862.0,30223.0,27672.0,30761.0,371722.0
22,CGK-TPE,28627.0,27510.0,30739.0,31355.0,30803.0,32378.0,32960.0,32261.0,28047.0,28573.0,28381.0,35468.0,367102.0
23,TPE-DPS,22428.0,17999.0,23203.0,29525.0,31841.0,32846.0,34627.0,34948.0,35098.0,33625.0,27392.0,26651.0,350183.0
24,CGK-BKK,23713.0,24781.0,30574.0,22541.0,30186.0,30248.0,33465.0,29876.0,30039.0,28593.0,32297.0,32827.0,349140.0
25,SGN-DPS,23447.0,21820.0,22164.0,23214.0,24573.0,32623.0,36645.0,36333.0,31213.0,29307.0,24098.0,28670.0,334107.0
26,CGK-NRT,27363.0,25841.0,30371.0,25012.0,28893.0,27826.0,28424.0,25397.0,26390.0,29709.0,29368.0,28880.0,333474.0
27,CGK-MED,30947.0,28630.0,23257.0,12479.0,28028.0,986.0,3120.0,19524.0,44196.0,44465.0,32298.0,32484.0,300414.0
28,ICN-DPS,23525.0,21710.0,22518.0,22999.0,22868.0,24230.0,26163.0,28424.0,24698.0,25991.0,14813.0,27850.0,285789.0
29,CGK-IST,23863.0,22586.0,22129.0,23040.0,23682.0,22931.0,24791.0,25271.0,24579.0,24746.0,22969.0,23716.0,284303.0
30,MNL-DPS,24580.0,23732.0,25208.0,21721.0,20190.0,20204.0,25934.0,25092.0,24033.0,22884.0,22573.0,24185.0,280336.0
31,CGK-PEN,12483.0,18001.0,22621.0,20981.0,23145.0,23096.0,25814.0,24472.0,25839.0,26781.0,28400.0,28457.0,280090.0
32,CGK-HND,13155.0,14821.0,20388.0,20905.0,22127.0,22979.0,24764.0,23937.0,24072.0,28243.0,29533.0,30881.0,275805.0
33,CGK-AUH,19832.0,19081.0,18007.0,17060.0,19049.0,19577.0,21528.0,23774.0,22633.0,31747.0,29760.0,27269.0,269317.0
34,HKG-DPS,11472.0,11224.0,12275.0,18421.0,25442.0,26631.0,29009.0,28221.0,25614.0,26223.0,23476.0,27079.0,265087.0
35,PKU-KUL,16628.0,13754.0,13846.0,17617.0,16932.0,19170.0,19728.0,21299.0,18764.0,28178.0,34086.0,34145.0,254147.0
36,DPS-ADL,18868.0,11796.0,13419.0,24519.0,13723.0,16078.0,30221.0,18262.0,24241.0,26258.0,16830.0,27229.0,241444.0
37,PDG-KUL,13049.0,12224.0,11824.0,15073.0,18838.0,20833.0,22424.0,19646.0,19631.0,23654.0,27355.0,33298.0,237849.0
38,SIN-KNO,15333.0,12518.0,14734.0,15378.0,18842.0,20773.0,20829.0,18804.0,20061.0,20017.0,20169.0,21320.0,218778.0
39,CGK-SYD,20181.0,15447.0,16291.0,17025.0,16423.0,19385.0,21804.0,17083.0,18041.0,17719.0,14294.0,22764.0,216457.0
40,YIA-SIN,8200.0,9139.0,10560.0,13843.0,17827.0,21085.0,22623.0,18871.0,18231.0,18260.0,19090.0,22608.0,200337.0
41,CGK-MNL,15244.0,15908.0,17879.0,15038.0,16830.0,16390.0,18422.0,16540.0,17000.0,17592.0,15950.0,16513.0,199306.0
42,YIA-KUL,11495.0,12808.0,11045.0,12777.0,16971.0,18998.0,21551.0,19541.0,19956.0,15720.0,17941.0,20192.0,198995.0
43,DPS-BKK,13005.0,10293.0,11380.0,12687.0,16104.0,16390.0,18186.0,17534.0,16793.0,14399.0,10609.0,12545.0,169925.0
44,CGK-CAN,10152.0,9927.0,11782.0,11153.0,14825.0,14630.0,17004.0,16775.0,16248.0,16232.0,10852.0,17995.0,167575.0
45,CGK-MCT,14650.0,14648.0,14303.0,11069.0,13306.0,12841.0,13684.0,14983.0,13560.0,12538.0,11218.0,10954.0,157754.0
46,IST-DPS,13714.0,11393.0,12833.0,12125.0,12726.0,13008.0,13036.0,13101.0,13107.0,14361.0,12376.0,11942.0,153722.0
47,HAN-DPS,9546.0,10203.0,11439.0,10195.0,10492.0,10070.0,11559.0,15099.0,15801.0,14569.0,14030.0,15870.0,148873.0
