NO,RUTE ( PP),JUMLAH PENERBA NGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS (Kg),L/F
52,PLM-BTH,2049,314315,414900,584633,479.0,
53,CGK-AAP,2271,311665,376976,2107858,0.0,
54,SOQ-MKW,2222,308214,400920,2137640,2301.0,
55,UPG-TIM,1983,306807,365678,1885129,913.0,
56,CGK-PLW,2332,302975,383202,4585414,0.0,
57,SOC-DPS,1790,300895,371924,304250,208.0,
58,CGK-BTJ,2478,300484,398204,3663771,0.0,
59,SUB-AAP,2020,286858,364958,1328926,3090.0,
60,MLG-HLP,2124,286699,348504,61376,0.0,
61,YIA-HLP,2413,284937,376464,44824,0.0,
62,PKU-HLP,2233,283254,357660,868689,0.0,
63,KNO-HLP,2163,276260,350128,1908274,0.0,
64,TIM-DJJ,2018,273518,369908,1955637,559.0,
65,UPG-AMQ,1916,272971,370286,2170660,3669.0,
66,KNO-BTJ,1936,270076,368991,1242358,18622.0,
67,UPG-DJJ,1872,264837,346044,1960760,6571.0,
68,WMX-DJJ,13559,260277,330439,81780596,332.0,
69,LOP-DPS,4375,259344,337100,163121,1344.0,
70,CGK-LBJ,2106,249981,345742,821832,0.0,
71,SRG-BDJ,1616,246008,321642,1635332,3489.0,
72,SRG-HLP,1879,239427,305420,98173,0.0,
73,BPN-BEJ,4427,234692,326840,816030,7217.0,
74,CGK-AMQ,1854,234014,309966,3222963,0.0,
75,CGK-TNJ,1800,217700,300348,4767673,0.0,
76,SUB-PKY,1386,217223,276930,986568,2606.0,
77,KNO-GNS,3736,213828,277724,589180,7168.0,
78,UPG-GTO,1481,209864,295603,941191,7940.0,
79,YIA-PKU,1439,208399,284153,1042236,66.0,
80,CGK-SOQ,1513,201560,241900,2398223,0.0,
81,TJQ-PGK,1448,198556,232617,676275,36.0,
82,CGK-KOE,1472,193187,248144,2181808,0.0,
83,PLM-PGK,1363,192860,222314,551460,21.0,
84,DJJ-BIK,1144,183450,223683,547677,200.0,
85,DPS-BPN,1235,183091,239827,551519,628.0,
86,CGK-MLG,1280,176563,220158,218146,0.0,
87,PDG-HLP,1327,175427,220764,203930,0.0,
88,CGK-TTE,1281,173103,207120,2177076,0.0,
89,CGK-DJJ,1433,170318,232828,1970126,500.0,
90,SOC-HLP,1379,168465,225946,27439,0.0,
91,UPG-LUW,1393,161879,216818,741676,0.0,
92,SRG-PKN,2076,151547,184512,247524,2557.0,
93,UPG-MOH,2669,149488,192168,120688,886.0,
94,UPG-BIK,1063,148502,210641,583544,0.0,
95,CGK-BWX,1098,145449,188214,124726,0.0,
96,YIA-BDJ,936,140928,199862,183585,334.0,
97,KOE-DPS,787,140909,168902,706367,2078.0,
98,KNO-BDO,951,139494,171180,994907,874.0,
99,MKQ-DJJ,1044,134673,206761,1194673,1125.0,
100,UPG-SRG,827,131361,167735,930018,3883.0,
101,BPN-BDJ,2413,128648,178798,105469,838.0,
102,PNK-KTG,2200,128211,158400,227110,2663.0,
103,TMC-DPS,2116,125832,170612,310570,2281.0,
104,CGK-GTO,1098,124733,176512,1383243,0.0,
105,SUB-MDC,751,124132,159437,514510,1252.0,
106,PKU-KNO,2314,124076,176320,66638,787.0,
107,SRG-BPN,759,117261,161495,611762,2989.0,
108,JOG-HLP,2061,114050,164070,22112,0.0,
109,CGK-PKN,956,108359,114720,475369,0.0,
110,PNK-BTH,738,107613,139428,212369,383.0,
111,YIA-PNK,728,106141,131436,477663,250.0,
112,YIA-KNO,727,104187,148841,540927,14.0,
113,SOQ-DJJ,642,102319,137040,355719,900.0,
114,UPG-MKQ,713,99231,139805,512177,626.0,
115,BPN-BDO,721,98579,129780,749921,70.0,
116,CGK-TRK,745,98494,115604,1037173,0.0,
117,YIA-BTH,682,93751,122760,721614,0.0,
118,SUB-PKN,1162,93430,106656,174836,1503.0,
119,SUB-LBJ,663,92087,122103,182572,1146.0,
120,TRK-SUB,633,91246,135133,721176,3503.0,
121,YIA-LOP,685,91072,123300,630907,9.0,
122,KOE-ENE,1641,90892,124366,349845,3366.0,
123,UPG-MKW,580,90491,114742,282854,1919.0,
124,SUB-PLM,640,89391,121272,123266,5.0,
125,LOP-BMU,1552,88659,111412,48990,421.0,
126,TTE-MDC,1614,85899,116298,62570,715.0,
127,MOF-KOE,1305,85763,107016,393572,2380.0,
128,SOQ-MDC,632,84206,135828,61060,248.0,
129,CGK-LLJ,641,83892,99896,8070,0.0,
130,LUV-AMQ,877,81631,116379,385244,1378.0,
131,SRG-BTH,558,75465,100440,536117,774.0,
132,UPG-BUW,1415,74317,101880,154560,2055.0,
133,YIA-AAP,544,70895,97920,30131,0.0,
134,HLP-DTB,466,69173,83880,439595,0.0,
135,MKW-DJJ,531,68726,105195,404579,1.0,
136,UPG-KXB,1300,67114,93600,59345,607.0,
137,UPG-BDO,434,62350,78120,327968,0.0,
138,KJT-DPS,449,60170,80820,226831,0.0,
139,SWQ-LOP,1015,57933,73080,48157,270.0,
140,UPG-HLP,548,57667,85488,550475,0.0,
141,BEJ-AAP,1038,56460,74736,77310,947.0,
142,NBX-DJJ,962,54668,69264,354206,3688.0,
143,DJJ-DEX,872,54645,74212,163097,153.0,
144,TIM-NBX,825,51976,59400,8837,100.0,
145,TMC-KOE,842,51463,75360,293254,2524.0,
146,KNO-FLZ,949,50404,69600,44361,252.0,
147,MDC-BPN,444,49022,79920,247733,0.0,
148,NTX-BTH,818,48581,67344,141255,1689.0,
149,UPG-MJU,917,47111,69592,42254,515.0,
150,YIA-PLM,344,45970,61920,18253,0.0,
151,WGP-KOE,965,44438,77056,314736,2138.0,
152,LBJ-ENE,711,43603,51192,31484,452.0,
153,DPS-BMU,714,42070,51408,51321,405.0,
154,KOE-BJW,757,41621,56416,91278,1459.0,
155,BTH-BDO,342,41209,61560,94433,0.0,
156,CGK-SMQ,358,38418,42960,281161,0.0,
157,HMS-BDJ,686,38297,49392,844,0.0,
158,KOE-ARD,700,37932,50400,167336,0.0,
159,UPG-TRK,276,37537,58144,107688,0.0,
160,PLM-KNO,296,37454,53280,53566,2.0,
161,TTE-LAH,712,36471,51264,1554,0.0,
162,LSW-KNO,688,36427,49536,9295,92.0,
163,SOQ-FKQ,749,35852,53928,51107,392.0,
164,PDG-KNO,793,33882,57096,20428,54.0,
165,KBU-BDJ,660,33163,47520,76620,1476.0,
166,PLW-MOH,631,32191,45432,1294,94.0,
167,SXK-AMQ,678,31997,48816,192338,1576.0,
168,WGP-DPS,711,31920,51192,67726,849.0,
169,LBJ-BJW,679,31454,48888,39446,1108.0,
170,LKA-KOE,605,31070,43560,133766,2611.0,
171,UPG-LLO,675,29982,48600,2580,36.0,
172,SUB-SMQ,615,28710,44280,247734,2362.0,
173,OKL-DJJ,1844,28685,39992,3677211,0.0,
174,HLP-BKS,268,26928,41808,8500,0.0,
175,TTE-AMQ,554,25834,40356,10504,58.0,
176,SOQ-KNG,651,25653,46872,121541,1332.0,
177,DTB-BTH,208,25545,37440,10024,0.0,
178,DPS-BDJ,158,24591,30890,18232,0.0,
179,CGK-BUU,256,24431,30720,2142,0.0,
180,BTW-BDJ,418,23952,29970,859,0.0,
181,SOC-PNK,236,23820,34476,39770,0.0,
182,SUB-BEJ,174,23601,27116,13839,0.0,
183,SOQ-AMQ,569,22300,41238,13714,152.0,
184,NBX-MKW,542,21160,39024,51769,229.0,
185,SRG-DPS,262,19913,39885,10927,0.0,
186,JOG-BDO,504,19360,36288,81696,727.0,
187,TMH-DJJ,721,19240,28676,43758,0.0,
188,TJS-BPN,482,19204,34704,11823,118.0,
189,NAM-AMQ,463,19163,33336,4925,44.0,
190,CGK-BEJ,170,18633,26520,50569,0.0,
191,HLP-BPN,414,18578,23970,3480240,0.0,
192,PLW-BPN,397,18565,28764,11811,186.0,
193,KJT-BPN,138,18484,24840,124103,0.0,
194,KNO-DPS,160,17712,25550,16155,0.0,
195,UPG-MOF,476,17066,34272,26354,297.0,
196,SUB-JOG,505,17008,36360,83723,797.0,
197,LMU-BTH,379,16759,27288,1454,0.0,
198,LNU-BPN,353,16333,25416,6566,73.0,
199,KOE-ABU,360,15966,25920,12420,3.0,
200,LWE-KOE,314,15872,22608,21573,24.0,
201,MEQ-KNO,338,15329,24336,1115,0.0,
202,LBJ-KOE,338,15183,28356,30512,0.0,
203,MOF-LBJ,339,14677,24408,1345,2.0,
204,TIM-EWE,278,14674,20016,14466,0.0,
205,PSU-PNK,322,14109,23184,224,0.0,
206,UPG-BTW,398,13969,28593,1781,0.0,
207,UPG-TRT,383,13924,27576,45,0.0,
208,PKY-BPN,362,13589,26064,5203,105.0,
209,SQG-PNK,328,13213,23616,626,77.0,
210,JIO-AMQ,338,12853,16092,1793,0.0,
211,ZRI-DJJ,342,12573,16246,18646,0.0,
212,KNO-KJT,84,12275,15120,41784,0.0,
213,TKG-HLP,148,11869,23100,3656,0.0,
214,MDC-KAZ,273,11727,19656,1199,0.0,
215,TMH-MKQ,534,11690,20444,13231,0.0,
216,LUV-DOB,245,11266,17640,217856,957.0,
217,DOB-AMQ,245,10335,17640,61335,373.0,
218,RTG-KOE,221,10223,15912,2066,18.0,
219,NRE-AMQ,292,9792,13916,1263,0.0,
220,UPG-KBU,322,9646,23184,26411,164.0,
221,LKI-KNO,299,9420,15768,53252,360.0,
222,WNI-KDI,150,8825,10800,72,0.0,
223,NAH-MDC,214,8814,15408,3461,14.0,
224,SRG-KTG,242,8574,17424,19633,651.0,
225,TTE-OTI,264,8244,19008,643,0.0,
226,UPG-BMU,245,8232,17640,3511,105.0,
227,MKW-FKQ,159,7700,11448,1540,1.0,
228,DJB-BTH,179,7321,12888,6278,60.0,
229,MKW-KNG,161,7259,11592,1505,281.0,
230,TTE-SQN,189,7117,9012,35,0.0,
231,PLM-BDO,73,6982,13140,163,0.0,
232,BDO-BDJ,71,6692,12780,11169,0.0,
233,MKQ-KEI,967,6529,11674,8784,0.0,
234,MJU-BPN,169,5905,14690,9,0.0,
235,NAH-MNA,212,5899,15264,3931,14.0,
236,SOQ-BXB,176,5886,12672,341,0.0,
237,PLW-LUW,148,5796,10656,3612,0.0,
238,UPG-RAQ,158,5436,11376,7998,0.0,
239,GHS-BPN,102,5191,7344,0,0.0,
240,MDC-LUW,149,5148,10728,592,0.0,
241,HLP-AAP,64,5136,9984,5536,0.0,
242,SUB-BWX,104,4367,7488,89,0.0,
243,TRT-BPN,85,3835,5972,0,0.0,
244,KDI-BUW,152,3717,10944,86,78.0,
245,SQN-AMQ,189,3400,9012,150,0.0,
246,UPG-KJT,25,3119,4500,5180,0.0,
247,KJT-BTH,25,2712,4500,1545,0.0,
248,HLP-CJN,518,2423,6216,4181,0.0,
249,SAU-KOE,431,2252,5172,3366,0.0,
250,TRK-LNU,462,1786,5604,2626,0.0,
251,HLP-CPF,30,1538,2320,0,0.0,
252,RTI-KOE,239,1330,2868,1700,0.0,
253,TLI-PLW,39,1213,2808,0,0.0,
254,UPG-KSR,27,737,1877,93,0.0,
255,TXE-KNO,8,304,576,0,0.0,
256,TNJ-PKU,8,292,576,241,0.0,
257,KFR-AMQ,8,289,384,0,0.0,
258,SOQ-NTI,58,267,696,65,0.0,
259,TTE-PGQ,6,230,432,21,0.0,
260,MKQ-EWE,29,186,348,288,0.0,
261,PKU-PDG,69,181,828,169,0.0,
262,PKY-BDJ,1,148,162,0,0.0,
263,TMC-LBJ,4,93,288,2,0.0,
264,MNA-IAX,1,67,72,0,0.0,
265,TRK-TJS,32,49,384,34,0.0,
266,MNA-MDC,1,5,72,0,0.0,
267,HLP-BDO,0,0,0,0,0.0,0.0
268,PNK-DPS,0,0,0,0,0.0,0.0
269,SUB-PDG,0,0,0,0,0.0,0.0
270,SUB-SRG,0,0,0,0,0.0,0.0
271,UPG-AAP,0,0,0,0,0.0,0.0
272,SUB-AMQ,0,0,0,0,0.0,0.0
273,YIA-PDG,0,0,0,0,0.0,0.0
274,LOP-KJT,0,0,0,0,0.0,0.0
275,SUB-PKU,0,0,0,0,0.0,0.0
276,UPG-PNK,0,0,0,0,0.0,0.0
277,SOC-BPN,0,0,0,0,0.0,0.0
278,SUB-BDO,0,0,0,0,0.0,0.0
279,SUB-KDI,0,0,0,0,0.0,0.0
280,YIA-PKY,0,0,0,0,0.0,0.0
281,CJN-BDO,0,0,0,0,0.0,0.0
282,PKU-BDO,0,0,0,0,0.0,0.0
283,PLM-DPS,0,0,0,0,0.0,0.0
284,SUB-PLW,0,0,0,0,0.0,0.0
285,TTE-SUB,0,0,0,0,0.0,0.0
286,KJT-BDJ,0,0,0,0,0.0,0.0
287,PNK-BPN,0,0,0,0,0.0,0.0
288,YIA-TKG,0,0,0,0,0.0,0.0
289,LOP-BDO,0,0,0,0,0.0,0.0
290,PLM-KJT,0,0,0,0,0.0,0.0
291,SIQ-BTH,0,0,0,0,0.0,0.0
292,TNJ-SIQ,0,0,0,0,0.0,0.0
293,WNI-UPG,0,0,0,0,0.0,0.0
294,SIQ-PKU,0,0,0,0,0.0,0.0
295,TNJ-TBX,0,0,0,0,0.0,0.0
296,PNK-NTX,0,0,0,0,0.0,0.0
297,SNB-KNO,0,0,0,0,0.0,0.0
298,PKN-HLP,0,0,0,0,0.0,0.0
299,PLW-GTO,0,0,0,0,0.0,0.0
300,PWL-HLP,0,0,0,0,0.0,0.0
301,NTX-LMU,0,0,0,0,0.0,0.0
302,WMX-TIM,0,0,0,0,0.0,0.0
303,UOL-PLW,0,0,0,0,0.0,0.0
Total,517490,65925924,82206402,451898766,861725,,
