NO,RUTE PP,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,TOTAL 2024
53,PNK-SUB,25115,23086,22119,30002,27381,26428,29361,27119,21496,21050,21680,25337,300174.0
54,CGK-LBJ,17508,17318,16888,22871,28276,29913,35566,34434,29402,28500,13022,19599,293297.0
55,DPS-LOP,19588,18498,21746,24277,28866,24454,28580,29741,27071,25610,19211,25242,292884.0
56,DJJ-TIM,27126,20612,22812,26180,22806,24623,25877,24074,22243,23839,23131,29506,292829.0
57,AAP-SUB,25640,20769,21892,34097,22477,23329,26410,21471,21604,20768,23069,27072,288598.0
58,AMQ-CGK,20687,18439,23401,22476,25648,21669,24474,23241,24839,28191,24153,27878,285096.0
59,CGK-DJJ,20398,19984,20775,22274,25054,24828,26211,25354,25116,25396,23701,24322,283413.0
60,TIM-UPG,22331,17983,20995,20705,21802,24599,25932,23294,22768,25735,23362,25957,275463.0
61,BDJ-SRG,20786,19207,20580,30024,23487,22285,24881,21081,20617,25411,20343,24698,273400.0
62,DJJ-UPG,21325,17827,20978,21163,22457,23157,25324,22982,22273,23325,21135,25213,267159.0
63,CGK-SOQ,21908,20819,21018,18140,21047,19761,21781,21874,22287,24681,23928,28221,265465.0
64,BTH-PLM,21311,19898,19240,36259,20498,21109,23166,19112,19513,20295,19066,24964,264431.0
65,HLP-MLG,19084,18613,16392,19199,21342,22723,26149,24181,23931,26565,21895,22346,262420.0
66,SOQ-UPG,29070,18098,21639,28339,19096,21629,26744,17588,16209,16018,15685,25599,255714.0
67,CGK-TNJ,18290,20111,18997,24360,21177,20703,23583,21541,21620,21440,20492,22472,254786.0
68,CGK-MLG,19240,17831,18816,28756,23736,24329,25877,23642,20669,9508,15106,19540,247050.0
69,HLP-YIA,14009,14061,7472,26630,16465,19368,29499,24012,22395,22540,21761,27214,245426.0
70,HLP-KNO,17121,15899,15630,17970,17284,17156,20190,22783,22609,18969,20769,24263,230643.0
71,BPN-DPS,20374,16672,13098,18569,20911,16913,19541,19476,19093,19029,20671,24186,228533.0
72,MKW-SOQ,23877,14019,18614,22266,18179,19937,20884,18487,16641,17741,16193,18000,224838.0
73,CGK-TTE,15474,14664,18765,20930,18237,17272,20604,18396,17728,18335,17038,18195,215638.0
74,CGK-KOE,15298,12936,15558,17802,16683,15210,18297,17970,17384,22429,19851,21945,211363.0
75,HLP-PKU,15747,17299,16159,29550,16570,18912,20147,16209,14282,14487,13188,11251,203801.0
76,HLP-SRG,13726,15253,15216,23194,13932,14346,20764,17377,17108,17591,16633,17978,203118.0
77,DJJ-MKQ,14312,12902,14228,16700,16311,18436,19274,17344,16057,19173,17000,19984,201721.0
78,CGK-PKN,10853,9630,11766,20193,19499,18255,23471,20318,17722,16695,15205,16703,200310.0
79,GTO-UPG,15800,13169,15470,20057,17040,18136,18105,18140,17015,16974,14087,16270,200263.0
80,DPS-SOC,27517,20627,12948,20560,15564,13550,18068,13557,14159,13366,11438,17011,198365.0
81,PKY-SUB,16578,13008,13947,21725,18319,18016,17758,15541,14653,13552,14183,18312,195592.0
82,PKU-YIA,14972,14545,14962,21527,16117,17873,19450,18228,15242,14181,11902,13584,192583.0
83,DPS-KJT,24853,21944,19226,24533,18030,15054,14189,12913,11186,9584,9364,8960,189836.0
84,AMQ-UPG,16907,13615,16045,17888,16447,17157,16459,14942,13484,14721,12335,15254,185254.0
85,BTJ-KNO,19159,19381,17525,19807,16733,12931,14466,13713,15946,12451,11049,11246,184407.0
86,DPS-KOE,14931,12039,13622,14865,16970,14036,16272,14431,13501,15921,12743,16649,175980.0
87,GNS-KNO,18054,12473,13639,12142,13993,15289,17900,13771,13712,13485,12515,17886,174859.0
88,LUW-UPG,12932,11722,12936,14969,14227,14018,15882,15012,15775,15949,14897,15015,173334.0
89,HLP-SOC,10631,11139,11271,24568,11979,14004,19139,14827,14359,13437,12889,14673,172916.0
90,BIK-DJJ,15945,12400,11149,16157,12939,15658,14273,13796,12943,10773,10242,13174,159449.0
91,MOH-UPG,12628,10911,13414,12419,14003,12646,13792,12514,13270,13665,13801,15051,158114.0
92,BDJ-DPS,12260,11777,6861,12556,14305,12455,15685,14168,13058,13616,13073,16553,156367.0
93,BEJ-BPN,11655,12535,12793,13688,14634,12792,14596,10983,11532,12337,12707,13522,153774.0
94,BDJ-YIA,11448,10859,9078,20375,13445,14633,15283,10047,10122,11037,10794,15368,152489.0
95,PGK-PLM,14149,12850,12757,16633,13401,12462,11903,11531,11693,10796,10198,12218,150591.0
