NO,RUTE PP,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG KG,JUMLAH POS KG,LF %
58,AMQ-CGK,2112,285096,354296,4151338,0,80.0
59,CGK-DJJ,2140,283413,346734,3300315,0,82.0
60,TIM-UPG,1775,275463,332653,2153631,4022,83.0
61,BDJ-SRG,1774,273400,355512,2448693,64,77.0
62,DJJ-UPG,1766,267159,330845,2086882,7333,81.0
63,CGK-SOQ,2079,265465,343302,2711757,326,77.0
64,BTH-PLM,1742,264431,343419,1184897,0,77.0
65,HLP-MLG,1920,262420,315856,51254,0,83.0
66,SOQ-UPG,1731,255714,330161,1367301,2499,77.0
67,CGK-TNJ,2107,254786,349985,4752092,0,73.0
68,CGK-MLG,1907,247050,318638,263704,0,78.0
69,HLP-YIA,1894,245426,302952,122081,0,81.0
70,HLP-KNO,1587,230643,262628,2068858,0,88.0
71,BPN-DPS,1434,228533,280972,981315,4,81.0
72,MKW-SOQ,1473,224838,273692,1647305,614,82.0
73,CGK-TTE,1519,215638,247979,2743121,109,87.0
74,CGK-KOE,1590,211363,267548,2774489,0,79.0
75,HLP-PKU,1566,203801,255544,843888,0,80.0
76,HLP-SRG,1540,203118,249006,713501,0,82.0
77,DJJ-MKQ,1425,201721,269330,1977992,550,75.0
78,CGK-PKN,1811,200310,264556,471548,0,76.0
79,GTO-UPG,1293,200263,258153,1494058,4965,78.0
80,DPS-SOC,1295,198365,275835,280058,191,72.0
81,PKY-SUB,1168,195592,242618,1409632,3361,81.0
82,PKU-YIA,1345,192583,265865,892986,7,72.0
83,DPS-KJT,1316,189836,236880,1376764,20385,80.0
84,AMQ-UPG,1286,185254,236183,1860962,3481,78.0
85,BTJ-KNO,1351,184407,260782,1245612,3484,71.0
86,DPS-KOE,1089,175980,231240,873985,240,76.0
87,GNS-KNO,2845,174859,203924,450923,0,86.0
88,LUW-UPG,1332,173334,209378,646935,0,83.0
89,HLP-SOC,1375,172916,223716,98009,0,77.0
90,BIK-DJJ,1187,159449,214624,721395,3,74.0
91,MOH-UPG,2849,158114,205128,128331,50,77.0
92,BDJ-DPS,992,156367,203900,120958,192,77.0
93,BEJ-BPN,2903,153774,206608,511993,0,74.0
94,BDJ-YIA,942,152489,202400,276914,8,75.0
95,PGK-PLM,918,150591,166101,546309,1045,91.0
96,BWX-CGK,1081,149759,188884,158074,2417,79.0
97,PGK-TJQ,1028,149682,178385,655350,159,84.0
98,BPN-SRG,911,146832,190773,703567,16,77.0
99,PKN-SRG,1340,145115,169840,215725,0,85.0
100,DPS-TMC,1950,139945,172734,294819,0,81.0
101,CGK-GTO,1019,131996,161002,2013448,0,82.0
102,KNO-PKU,1403,127309,158164,187249,4183,80.0
103,DPS-SRG,834,126681,179189,237860,460,71.0
104,KTG-PNK,2037,126397,146664,149834,0,86.0
105,BDJ-BPN,2056,120688,147292,81310,0,82.0
106,MKW-UPG,829,120582,153617,489036,683,78.0
107,MDC-SUB,739,118979,150071,682454,126,79.0
108,HLP-JOG,2187,118236,153090,21028,0,77.0
109,PNK-YIA,745,117919,134100,956257,14026,88.0
110,BEJ-SUB,912,117248,146560,254198,176,80.0
111,SUB-TRK,736,117233,157772,1042722,3803,74.0
112,PKN-SUB,1073,115068,148398,171034,0,78.0
113,SRG-UPG,663,108625,141295,959568,2805,77.0
114,CGK-TRK,720,104836,114344,1185634,0,92.0
115,BTH-YIA,668,103789,120240,641891,10844,86.0
116,PLM-YIA,712,102015,128160,76983,1124,80.0
117,KNO-PLM,718,100846,129240,368191,4572,78.0
118,CGK-LLJ,752,99677,117280,15011,0,85.0
120,HLP-PDG,653,97218,114750,281602,0,85.0
121,MDC-SOQ,804,96718,140890,93952,154,69.0
122,BTH-PNK,586,96094,110936,255867,34,87.0
123,LOP-YIA,628,95356,113040,492240,5204,84.0
124,KNO-PDG,749,94244,130049,212038,1337,72.0
125,BIK-UPG,629,93052,123605,527331,4,75.0
126,BPN-KJT,706,92594,127080,855240,4432,73.0
127,MDC-TTE,1597,91316,115281,88075,0,79.0
128,NBX-TIM,1392,90590,100224,52039,0,90.0
129,AMQ-LUV,712,89253,110687,309207,12,81.0
130,DJJ-SOQ,550,89071,117728,314227,609,76.0
131,BPN-PNK,612,86624,105119,189507,1143,82.0
132,LBJ-SUB,581,81919,104484,265346,5150,78.0
133,AAP-YIA,553,76606,99540,466063,11949,77.0
134,CGK-DOH,243,75111,95499,1084909,0,79.0
135,AMQ-SUB,502,73230,97348,559598,350,75.0
136,MKQ-UPG,463,73189,95749,348562,154,76.0
137,BEJ-CGK,580,73045,90492,603570,0,81.0
138,BTH-SRG,512,72439,92160,623320,9637,79.0
139,PLM-SUB,443,72288,87211,245718,0,83.0
140,BMU-LOP,1234,71366,88448,39834,0,81.0
141,BUW-UPG,1148,68204,82764,132672,0,82.0
142,KXB-UPG,1073,63523,77256,59362,0,82.0
143,DJJ-MKW,437,63393,89853,354834,1769,71.0
144,ENE-KOE,1063,63164,76536,238730,0,83.0
145,DTB-HLP,428,62613,77040,322430,0,81.0
146,DEX-DJJ,686,58102,73278,201488,0,79.0
147,SUB-TTE,390,57481,73814,274079,0,78.0
148,KJT-KNO,403,56068,72540,285805,6243,77.0
149,DJJ-NBX,904,55596,67640,215624,0,82.0
150,PKY-SRG,382,55241,79530,326256,0,69.0
151,BDJ-UPG,371,53491,76565,32257,67,70.0
152,BPN-MDC,407,53347,73260,383244,4365,73.0
153,KDI-SUB,360,52207,68664,339251,100,76.0
154,BTH-NTX,827,50336,69132,153203,0,73.0
155,PKU-SUB,355,50279,71827,189387,0,70.0
156,AMQ-SOQ,588,49939,85545,141733,2,58.0
157,CGK-SMQ,523,49813,63060,455731,0,79.0
158,AAP-BEJ,806,48404,58032,16931,0,83.0
159,BPN-HLP,572,46935,62090,3562523,0,76.0
160,KOE-TMC,498,44507,54724,237060,0,81.0
161,DPS-MDC,370,43567,69033,115643,0,63.0
162,MJU-UPG,344,41789,54800,134895,0,76.0
163,BMU-DPS,711,41747,51192,45448,0,82.0
164,MOH-PLW,718,41618,51696,1671,0,81.0
165,FLZ-KNO,804,41079,57584,49184,0,71.0
166,KOE-MOF,558,40611,47718,208522,0,85.0
167,BDJ-HMS,716,40550,51552,427,0,79.0
168,ENE-LBJ,630,40547,45360,31146,0,89.0
169,LAH-TTE,727,40349,52344,528,0,77.0
170,ARD-KOE,686,40337,49392,154698,0,82.0
171,LOP-SWQ,716,39504,51552,49065,0,77.0
172,FKQ-SOQ,758,39356,54576,61679,0,72.0
173,BPN-SOC,310,37943,55800,140275,708,68.0
174,KOE-LKA,651,37812,46872,82111,0,81.0
175,BPN-BTH,251,36937,52137,138458,0,71.0
176,LLO-UPG,710,35915,51120,1933,0,70.0
177,BTH-DJB,245,34831,44100,32370,108,79.0
178,KOE-UPG,270,34403,55189,46249,650,62.0
179,AMQ-SXK,622,34201,44784,165080,0,76.0
180,DPS-WGP,710,33104,51120,162814,0,65.0
182,BJW-KOE,546,32597,39312,72605,0,83.0
183,DJJ-OKL,2165,31325,44932,4147981,0,70.0
184,SOQ-TIM,465,30844,57316,18379,0,54.0
185,BDJ-BTW,611,30348,43992,2690,0,69.0
186,LOP-UPG,218,28986,44374,20869,0,65.0
187,DPS-TKG,242,28817,43560,96631,0,66.0
188,BUU-CGK,299,28220,36030,3811,0,78.0
189,AMQ-TTE,586,28088,42192,10049,0,67.0
190,PLW-SUB,213,27747,38340,270724,2425,72.0
191,BJW-LBJ,544,27466,39168,42180,0,70.0
192,AAP-UPG,218,27439,39240,10064,135,70.0
193,DPS-SOQ,232,26614,37584,83279,0,71.0
194,KOE-WGP,500,25521,36000,164869,0,71.0
195,KNG-SOQ,579,24991,41688,122901,0,60.0
196,KNO-LSW,440,22664,31680,6600,0,72.0
197,BPN-LOP,141,21607,30263,5209,0,71.0
198,EWE-TIM,412,20840,29664,18732,0,70.0
199,DPS-SWQ,382,20753,27504,3727,0,75.0
200,SMQ-SUB,299,19486,26596,110114,0,73.0
201,MKW-NBX,456,18917,32832,58870,0,58.0
202,KNO-SUB,126,18788,22680,151700,215,83.0
203,BDJ-KBU,405,18623,29160,69067,0,64.0
204,CGK-DHX,148,18546,26640,4513,0,70.0
205,BPN-GHS,324,18462,23328,14,0,79.0
206,KEI-MKQ,1422,17720,33732,87771,6,53.0
207,BTH-TKG,120,17264,21600,17461,44,80.0
208,BPN-PLW,342,17053,24714,4419,0,69.0
209,BTH-PGK,132,15532,23760,21984,629,65.0
210,DJJ-TMH,678,15234,24676,44617,0,62.0
211,BTH-LMU,323,14591,23256,671,0,63.0
212,BPN-LNU,291,13860,20952,4060,0,66.0
213,TKG-YIA,96,13846,20640,451,0,67.0
214,AMQ-NAM,317,13494,22824,33625,0,59.0
215,AMQ-JIO,351,13017,16800,3994,0,77.0
216,DJJ-ZRI,363,12922,16348,20893,0,79.0
217,KOE-LWE,269,12819,19368,13888,0,66.0
218,MKQ-TMH,640,12733,22820,44685,0,56.0
219,BPN-PKY,290,12252,20880,5220,0,59.0
220,KOE-RTG,238,12175,17136,4262,0,71.0
221,AMQ-NRE,319,11764,15268,80,0,77.0
222,BPN-KNO,79,11438,17081,7218,0,67.0
223,ABU-KOE,279,11094,20088,1999,0,55.0
224,DOB-LUV,206,10190,14832,149047,0,69.0
225,DJB-YIA,72,10123,12960,1078,115,78.0
226,AMQ-DOB,205,9997,14760,53517,0,68.0
227,KNO-LKI,379,9965,17208,49791,0,58.0
228,BPN-TRT,202,9833,14140,0,0,70.0
229,PNK-SQG,234,9705,16848,1124,0,58.0
230,PNK-PSU,185,8648,13320,205,0,65.0
231,PGK-YIA,68,8330,12240,1715,88,68.0
232,TRT-UPG,218,8276,15696,35,0,53.0
233,SQN-TTE,211,8257,10096,0,0,82.0
234,AMQ-KFR,230,8224,11012,0,0,75.0
235,EWE-MKQ,335,8168,12308,17906,0,66.0
236,BEJ-YIA,76,7752,11856,5270,0,65.0
237,BPN-DHX,66,7643,11880,11182,0,64.0
238,PNK-SOC,72,7615,8660,1072,0,88.0
239,DJB-KNO,58,7023,10440,15779,0,67.0
240,AAP-DPS,64,6887,11520,8085,34,60.0
241,KNG-MKW,138,6748,9936,7911,0,68.0
242,PDG-YIA,52,6670,9360,1659,0,71.0
244,FKQ-MKW,130,6440,9360,467,0,69.0
245,BPN-MJU,128,5985,9216,241,0,65.0
246,BMU-UPG,165,5839,11880,2148,0,49.0
247,KAZ-MDC,170,5720,12240,132,0,47.0
248,KNO-TKG,46,5504,8280,17186,0,66.0
249,KNO-SRG,42,5208,7560,25301,0,69.0
250,AMQ-SQN,213,5035,10192,270,0,49.0
251,LBJ-MOF,127,4976,9144,1518,0,54.0
252,DPS-KNO,31,4834,6559,28767,0,74.0
253,DPS-PNK,34,4491,6120,30019,0,73.0
254,KNO-MEQ,115,4328,8280,229,0,52.0
255,BPN-TJS,132,4180,9504,4185,0,44.0
256,OTI-TTE,96,3910,6912,29,0,57.0
257,BTW-UPG,105,3654,7560,755,0,48.0
258,PNK-SRG,26,3624,4680,13354,0,77.0
259,NBX-SOQ,42,3586,5460,3072,0,66.0
260,LOP-SRG,38,3393,6840,4826,0,50.0
261,SMQ-SRG,36,3001,4470,1119,0,67.0
262,PLW-TLI,71,2569,5112,236,0,50.0
263,KTG-SRG,65,2365,4680,3731,0,51.0
264,DPS-PLM,20,2026,3832,545,0,53.0
265,PDG-SUB,23,1936,4425,1567,2,44.0
266,PLM-SRG,20,1726,3600,389,0,48.0
267,MDC-NAH,38,1625,2736,63,0,59.0
268,AMQ-MDC,36,1428,3420,0,0,42.0
269,CJN-HLP,614,1318,7368,17011,0,18.0
270,KOE-RTI,331,1299,5652,5776,2,23.0
271,KOE-SAU,585,1257,7020,10418,13,18.0
272,BWX-SUB,35,1235,2520,126,0,49.0
273,UPG-WNI,18,1223,3240,559,0,38.0
274,LNU-TRK,548,1172,6576,11828,0,18.0
275,MNA-NAH,38,1150,2736,197,0,42.0
276,BTH-BTJ,10,1106,1800,183,63,61.0
277,LUW-PLW,28,1025,2016,6,0,51.0
278,DPS-DPS,5,882,1003,7403,0,88.0
279,BKS-BTH,10,854,1800,399,8,47.0
280,PNK-UPG,6,765,1080,1447,0,71.0
281,KDI-WNI,16,577,1152,84,0,50.0
282,BTH-LOP,6,557,1080,6494,0,52.0
283,GTO-MDC,4,556,648,0,0,86.0
284,MOF-UPG,22,538,1584,860,0,34.0
285,LUW-MDC,20,528,1440,5,0,37.0
286,PKU-SRG,6,473,1080,2885,0,44.0
287,PLW-UOL,14,395,1008,1,0,39.0
288,BDO-CJN,186,378,2232,4203,0,17.0
289,KNO-SOC,1,360,363,0,0,99.0
290,KAZ-TTE,14,354,1008,0,0,35.0
291,KNO-PEN,2,313,430,0,0,73.0
292,BDO-HLP,180,311,2160,3865,0,14.0
293,BUW-KDI,16,309,1152,0,0,27.0
294,DJB-PLM,2,291,324,0,0,90.0
295,UPG-UPG,2,273,324,9595,0,84.0
296,BDJ-PKY,2,262,324,0,0,81.0
297,PGK-SUB,2,170,360,0,0,47.0
