NO,RUTE PP,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG KG,JUMLAH POS KG,LF %
1,CGK-SIN,21614,3331178,4065871,67955961,70459,82%
2,DPS-SIN,13125,2742281,3308297,5983780,13358,83%
3,CGK-KUL,19278,2703041,3417042,13189913,61924,79%
4,DPS-KUL,10814,1796779,2231667,1414281,289,81%
5,CGK-JED,3241,1143776,1385222,12424047,105803,83%
6,DPS-PER,7232,1052392,1320622,2244093,0,80%
7,DPS-MEL,5285,1016402,1159153,5483443,13588,88%
8,KNO-KUL,7231,964287,1261838,1880662,0,76%
9,DPS-SYD,4229,891488,996606,7397315,273531,89%
10,KUL-SUB,5596,814211,986652,1667659,14264,83%
11,CGK-DOH,2450,714396,813938,19493901,28889,88%
12,SIN-SUB,4258,708759,812502,8704594,0,87%
13,DOH-DPS,2184,702211,772458,15180001,60,91%
14,DPS-DXB,1384,678298,737125,4419637,1103014,92%
15,CGK-HKG,3069,644053,826084,32611830,87205,78%
16,KNO-PEN,4296,636837,813279,307299,257,78%
17,CGK-DMK,4085,584735,722819,2822954,0,81%
18,CGK-ICN,2004,464955,569478,16342109,337740,82%
19,BNE-DPS,2365,455794,502787,635910,0,91%
20,CGK-DXB,1407,454264,531607,15490645,371406,85%
21,BKK-CGK,2575,441738,680163,12396114,112724,65%
22,DPS-ICN,1902,436733,521334,2549027,8216,84%
23,KUL-PKU,2816,409654,504656,140048,211,81%
24,DPS-HKG,1532,397546,473472,9578866,0,84%
25,DPS-TPE,1465,392616,454692,11959739,71054,86%
26,CGK-HND,1968,387459,507952,13065637,3527,76%
27,CGK-TPE,1991,381809,561638,28295212,59269,68%
28,CGK-PEN,2689,375643,438995,1928340,0,86%
29,CAN-CGK,2572,375284,500552,8417121,521,75%
30,KUL-PDG,2581,371856,465864,156558,406,80%
31,DPS-SGN,2017,329116,457680,1287390,0,72%
32,AUH-CGK,1158,329111,361783,11246404,19575,91%
33,DMK-DPS,2340,318271,407556,245453,0,78%
34,DPS-MNL,1731,302409,373060,935093,0,81%
35,CGK-NRT,1914,300156,409325,15301887,669622,73%
36,DPS-PVG,1410,283097,336886,5873687,0,84%
37,CGK-MED,832,276400,368969,1060882,145,75%
38,CGK-IST,900,270277,293771,9189042,80244,92%
39,KNO-SIN,2327,270029,365153,1209373,0,74%
40,CGK-XMN,1717,265118,292543,1072291,0,91%
41,ADL-DPS,1360,247468,293847,19119,0,84%
42,CGK-SYD,1155,234202,313201,6613885,53681,75%
43,KUL-YIA,1586,232864,283046,75742,0,82%
