provinsi_code,provinsi_name,airport_code,airport_name,tahun,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total,keterangan
15,DAERAH ISTIMEWA YOGYAKARTA,B,YOGYAKARTA INTERNASIONAL AIRPORT (INT),2020,23,22,45,993,157,1150,0,15572,6784,22356,102350,8805,111155,0,0,0,Data 12 Bln
15,DAERAH ISTIMEWA YOGYAKARTA,B,YOGYAKARTA INTERNASIONAL AIRPORT (INT),2021,19,18,37,49,40,89,0,356,496,852,26062,303438,401598,0,0,0,Data 12 Bln
15,DAERAH ISTIMEWA YOGYAKARTA,B,YOGYAKARTA INTERNASIONAL AIRPORT (INT),2022,212,213,425,25240,23454,48694,0,324315,233851,558166,56396,48505,104901,0,0,0,Data 12 Bln
15,DAERAH ISTIMEWA YOGYAKARTA,B,YOGYAKARTA INTERNASIONAL AIRPORT (INT),2023,1630,1630,3260,207728,203918,411646,0,2314835,1821281,4136116,17720,168396,186116,0,0,0,Data 12 Bln
15,DAERAH ISTIMEWA YOGYAKARTA,B,YOGYAKARTA INTERNASIONAL AIRPORT (INT),2024,1348,1356,2704,201600,189638,391238,0,2324472,1735628,4060100,4341,185074,189415,0,0,0,Data 12 Bln
16,JAWA TIMUR,A,JUANDA - SURABAYA (DOM),2020,32585,32597,65182,3182279,2747248,5929527,441216,13373399,15474530,28847929,15959037,36771092,52730129,0,0,0,Data 12 Bln
16,JAWA TIMUR,A,JUANDA - SURABAYA (DOM),2021,27474,26210,53684,2896521,2471287,5367808,463588,15865893,17628813,33494706,14366037,41242221,55608258,0,0,0,Data 12 Bln
16,JAWA TIMUR,A,JUANDA - SURABAYA (DOM),2022,36087,35970,72057,4874665,4316508,9191173,656743,33792830,37449123,71241953,15414801,42452375,57867176,0,0,0,Data 12 Bln
16,JAWA TIMUR,A,JUANDA - SURABAYA (DOM),2023,41674,41596,83270,5895138,5270665,11165803,742977,39856168,44394086,84250254,13881476,40772088,54653564,3,0,3,Data 12 Bln
16,JAWA TIMUR,A,JUANDA - SURABAYA (DOM),2024,40464,40453,80917,5716475,5826741,11543216,534562,39470225,43633055,83103280,16328029,47263184,63591213,2659,1052,3711,Data 12 Bln
