Data Inflasi,Data Inflasi,Data Inflasi,Data Inflasi
,,,
No,Periode,Data Inflasi,
1,Desember 2024,1.57 %,
2,November 2024,1.55 %,
3,Oktober 2024,1.71 %,
4,September 2024,1.84 %,
5,Agustus 2024,2.12 %,
6,Juli 2024,2.13 %,
7,Juni 2024,2.51 %,
8,Mei 2024,2.84 %,
9,April 2024,3 %,
10,Maret 2024,3.05 %,
11,Februari 2024,2.75 %,
12,Januari 2024,2.57 %,
13,Desember 2023,2.61 %,
14,November 2023,2.86 %,
15,Oktober 2023,2.56 %,
16,September 2023,2.28 %,
17,Agustus 2023,3.27 %,
18,Juli 2023,3.08 %,
19,Juni 2023,3.52 %,
20,Mei 2023,4 %,
21,April 2023,4.33 %,
22,Maret 2023,4.97 %,
23,Februari 2023,5.47 %,
24,Januari 2023,5.28 %,
25,Desember 2022,5.51 %,
26,November 2022,5.42 %,
27,Oktober 2022,5.71 %,
28,September 2022,5.95 %,
29,Agustus 2022,4.69 %,
30,Juli 2022,4.94 %,
31,Juni 2022,4.35 %,
32,Mei 2022,3.55 %,
33,April 2022,3.47 %,
34,Maret 2022,2.64 %,
35,Februari 2022,2.06 %,
36,Januari 2022,2.18 %,
37,Desember 2021,1.87 %,
38,November 2021,1.75 %,
39,Oktober 2021,1.66 %,
40,September 2021,1.6 %,
41,Agustus 2021,1.59 %,
42,Juli 2021,1.52 %,
43,Juni 2021,1.33 %,
44,Mei 2021,1.68 %,
45,April 2021,1.42 %,
46,Maret 2021,1.37 %,
47,Februari 2021,1.38 %,
48,Januari 2021,1.55 %,
49,Desember 2020,1.68 %,
50,November 2020,1.59 %,
51,Oktober 2020,1.44 %,
52,September 2020,1.42 %,
53,Agustus 2020,1.32 %,
54,Juli 2020,1.54 %,
55,Juni 2020,1.96 %,
56,Mei 2020,2.19 %,
57,April 2020,2.67 %,
58,Maret 2020,2.96 %,
59,Februari 2020,2.98 %,
60,Januari 2020,2.68 %,
