Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Malaysia,55214,46894,54006,63079,95099,95277,124849,112314,124445,131169,121035,189193,1212574
Singapore,2199,2237,5335,15106,27671,57218,67758,70621,95549,94172,107705,191226,736797
Timor Leste,53089,41515,50301,49995,51121,54644,58905,68777,66734,66134,67327,75238,703780
Indonesia,699,1007,3224,7511,13940,21759,26884,24229,26041,27316,27417,37587,217614
Philippines,1405,1461,2030,2853,3900,5811,7827,7996,9185,10751,11416,13801,78436
Thailand,832,600,1019,1465,2666,4882,7632,7234,7430,10471,8154,8743,61128
Vietnam,309,490,531,981,1846,6402,10559,12097,10377,9484,7434,7557,68067
Myanmar/Burma,507,434,578,726,1106,1728,2402,2179,2229,3131,2879,4738,22637
Brunei Darussalam,17,6,28,53,169,254,349,543,488,486,748,1657,4798
Kamboja,45,42,56,84,223,319,830,549,568,648,913,668,4945
Laos,6,3,14,12,41,83,215,78,112,191,168,179,1102
A S E A N,114322,94689,117122,141865,197782,248377,308210,306617,343158,353953,355196,530587,3111878
"Hongkong, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
Republik Rakyat Tiongkok,3768,4307,6666,6983,8702,13569,16228,16441,18239,19846,22451,32178,169378
India,1253,1064,1832,7274,18011,26892,29307,32192,35160,38818,38234,51777,281814
South Korea,1135,1229,1655,3129,5537,8062,13054,13778,14756,18487,19238,22161,122221
Japan,1022,783,1399,2587,3733,5218,7713,9507,8948,9237,10631,13135,73913
Turki,146,147,317,814,1290,1300,1594,1686,1683,1679,1934,1834,14424
Mongolia,3,3,12,10,36,19,84,85,58,103,110,183,706
Kazakhstan,62,46,104,97,113,219,149,173,158,202,381,578,2282
Pakistan,142,176,199,153,291,445,413,578,527,637,860,826,5247
Uzbekistan,9,9,60,9,41,64,117,134,115,187,241,407,1393
Bangladesh,157,233,340,341,571,760,692,992,1898,2113,842,654,9593
Nepal,15,4,34,73,125,213,249,215,172,349,436,340,2225
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-
Srilanka,101,97,168,209,239,391,412,300,243,391,394,502,3447
Other Asia,647,747,820,1154,1484,2199,3192,3309,4125,5255,5757,7276,35965
Maladewa,13,8,33,26,72,78,73,130,212,167,148,260,1220
Kirgistan,40,22,24,11,24,24,37,30,39,38,68,104,461
Tajikhistan,4,4,0,4,10,3,10,16,30,23,36,40,180
Bhutan,0,0,0,1,6,12,26,12,20,32,28,36,173
Afganistan,9,24,14,11,7,6,12,16,11,29,54,21,214
Turkmenistan,0,0,1,4,29,5,2,7,10,13,34,22,127
Stateless,0,0,0,0,0,0,0,0,1,1,1,4,7
Korea Utara,0,0,0,1,1,0,1,2,0,0,0,1,6
"Macao, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
British Indian Ocean Teritory,0,0,0,0,0,0,0,0,0,0,0,0,0
Lain-lain,581,689,748,1096,1335,2071,3031,3096,3802,4952,5388,6788,33577
TOTAL ASIA (Excl.ASEAN),8460,8845,13606,22833,40173,59351,73204,79390,86082,97304,101509,131851,722608
Saudi Arabia,113,134,260,201,559,2868,10570,6922,5321,5459,8898,6167,47472
Oman,15,26,82,14,174,302,551,341,356,339,394,386,2980
Egypt,83,135,159,110,224,495,828,847,1096,1108,1078,1163,7326
Jordan,16,14,58,57,78,202,407,308,310,306,336,424,2516
Uni Emirat Arab,36,64,119,118,603,423,739,594,493,472,838,957,5456
Yaman,93,121,120,78,200,268,394,444,378,308,448,356,3208
Other Middle East,189,183,448,416,773,1262,1901,1831,1753,1432,1320,1368,12876
Iran,51,42,113,134,145,339,355,337,613,339,277,328,3073
Kuwait,17,11,54,28,109,274,419,528,262,191,178,145,2216
Irak,11,7,12,29,123,84,90,178,143,180,172,151,1180
Syiria,14,35,33,16,53,66,96,136,104,117,170,149,989
Palestina,9,17,77,57,32,67,63,51,101,99,113,146,832
Libanon,10,11,50,69,123,113,338,211,261,207,158,226,1777
Bahrain,0,4,27,12,31,112,166,153,95,90,119,85,894
Qatar,5,7,25,6,84,123,263,81,57,45,71,73,840
Israel,72,49,57,65,73,84,111,156,117,164,62,65,1075
TOTAL MIDDLE EAST,545,677,1246,994,2611,5820,15390,11287,9707,9424,13312,10821,81834
United Kingdom,811,865,2153,6527,11724,15422,20748,24160,23436,23586,17874,23575,170881
R u s i a,1151,1349,2167,2555,2505,3537,3265,4211,5349,11916,15540,22033,75578
France,608,868,1946,5353,9426,10376,20561,26824,17961,19333,11578,9707,134541
Germany,440,540,1748,4804,8531,10432,14855,21373,21189,18660,13008,13054,128634
Netherlands,1411,1346,2404,5074,7185,8249,18201,15054,15399,14790,12711,13228,115052
I t a l y,232,469,885,1172,1986,2953,6136,15309,5901,4462,4133,3777,47415
Spain,538,614,1360,1590,2427,3702,7411,10819,7488,6665,4791,4158,51563
Polandia,89,74,201,652,1161,1531,1921,2509,2742,2785,2676,2060,18401
Ukraine,458,441,495,664,494,687,740,1001,1045,1257,1652,2494,11428
Sweden,421,401,573,989,1072,1617,1764,1499,2008,2982,2809,3750,19885
Denmark,41,77,232,843,1347,1740,4537,2086,2358,3455,2116,2081,20913
Switzerland,87,88,229,998,1435,1648,4401,3042,2909,3662,2227,2466,23192
Portugal,46,67,134,219,570,992,1596,2285,2157,2216,1949,2162,14393
Ceko,53,63,103,229,357,527,835,720,945,1169,1288,1318,7607
Irlandia (Ireland),59,70,133,253,888,1554,2270,2002,2197,2298,1694,2585,16003
Belgium,112,116,241,654,1243,1800,4400,3153,3635,2574,1651,1541,21120
Norway,26,67,173,450,519,1109,1440,884,1051,1326,1498,1526,10069
Romania,76,71,134,243,501,704,886,1372,1303,1466,1254,1886,9896
Austria,316,524,437,547,1211,1301,2493,2415,2362,2274,1937,1891,17708
Hongaria,43,54,93,236,354,541,601,790,812,1203,747,910,6384
Finland,39,22,82,217,276,383,372,336,617,871,998,1267,5480
Belarus,105,97,156,216,159,159,158,227,263,395,645,696,3276
Lithuania,39,31,51,91,219,281,332,424,479,654,680,810,4091
Slovakia,16,24,36,107,184,244,348,374,360,438,453,462,3046
Estonia,17,26,29,84,86,117,105,132,179,320,406,623,2124
Bulgaria,27,20,43,82,111,168,192,260,338,328,462,457,2488
Yunani (Greece),56,41,78,143,176,242,489,1118,625,702,707,947,5324
Latvia,56,47,92,84,88,132,118,180,257,349,497,578,2478
Croasia,56,46,47,60,102,146,175,276,197,213,275,267,1860
Other West Europe,13,20,38,65,121,194,325,515,282,326,243,323,2465
Iceland (Islandia),5,7,16,27,33,59,48,59,37,150,53,138,632
Malta,2,4,10,11,47,67,113,135,108,69,65,78,709
Luxemburg,5,2,5,17,37,61,132,273,110,74,90,89,895
Liechtenstein,0,2,0,8,0,2,6,21,8,17,11,4,79
Monako,0,2,2,0,1,0,4,12,3,9,12,1,46
Andorra,0,1,1,1,2,3,11,12,8,5,5,11,60
San Marino,0,2,4,0,0,1,10,1,6,1,6,1,32
Aruba,0,0,0,1,0,0,0,0,0,0,0,0,1
Scotlandia,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatikan,1,0,0,0,1,1,1,2,2,1,1,1,11
Volta Atas,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellenic,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0
Other East Europe,64,86,126,266,343,488,738,1164,802,1003,871,1164,7115
Serbia,15,5,16,27,48,90,123,180,181,286,198,248,1417
Slovenia,9,16,8,46,40,114,184,181,183,203,146,217,1347
Armenia,1,7,8,20,33,40,29,43,53,42,62,163,501
Azerbaijan,8,9,15,25,37,32,77,101,50,106,104,153,717
Cyprus,2,8,13,34,46,63,181,437,149,133,90,103,1259
Macedonia,0,1,4,8,11,8,13,22,19,20,48,30,184
Bosnia Herzegovina,4,9,8,3,19,29,33,55,44,54,35,64,357
Georgia,7,15,16,40,54,76,49,62,44,62,50,60,535
Albania,7,1,4,7,10,17,10,39,55,38,61,61,310
Moldova,9,7,26,43,36,17,22,35,17,37,54,48,351
Montenegro,2,8,8,13,8,2,17,8,7,18,20,17,128
