Source.Name,Column1,Column2,Column3,Column4,INTERNATIONAL,Column6,Column7,Column8,Column9
20220101095002pdf_1-14 Januari 2022.pdf,NO,LOCATION,CITY,IATA CODE,FLIGHT PRICE,"DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE
ONE TIME CUSTOMER","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE",
20220101095002pdf_1-14 Januari 2022.pdf,,,,,,(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),
20220101095002pdf_1-14 Januari 2022.pdf,,,,,(USCents / Liter),(Rp / Liter),(Rp / Liter),(USCents / Liter),
20220101095002pdf_1-14 Januari 2022.pdf,1,APT PRANOTO,SAMARINDA,AAP,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,2,PATTIMURA,AMBON,AMQ,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,74.50,"11,581.50","11,613.00",80.85,
20220101095002pdf_1-14 Januari 2022.pdf,5,FRANS KAISIEPO,BIAK,BIK,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,77.30,"12,155.06","12,188.12",84.82,
20220101095002pdf_1-14 Januari 2022.pdf,7,M. SALAHUDDIN,BIMA,BMU,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,74.60,"11,592.53","11,624.06",80.85,
20220101095002pdf_1-14 Januari 2022.pdf,9,HANG NADIM,BATAM,BTH,74.10,"10,471.32","10,499.80",73.02,
20220101095002pdf_1-14 Januari 2022.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,67.90,"10,544.68","10,573.36",73.57,
20220101095002pdf_1-14 Januari 2022.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,74.90,"11,647.68","11,679.36",81.29,
20220101095002pdf_1-14 Januari 2022.pdf,13,SULTAN THAHA,JAMBI,DJB,77.30,"12,155.06","12,188.12",84.82,
20220101095002pdf_1-14 Januari 2022.pdf,14,SENTANI,JAYAPURA,DJJ,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,15,NGURAH RAI,DENPASAR,DPS,73.70,"11,460.17","11,491.34",79.97,
20220101095002pdf_1-14 Januari 2022.pdf,16,PINANG KAMPAI,DUMAI,DUM,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,17,H. AROEBOESMAN,ENDE,ENE,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,18,JALALUDDIN,GORONTALO,GTO,77.20,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,73.10,"11,371.93","11,402.86",79.31,
20220101095002pdf_1-14 Januari 2022.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,73.70,"11,449.14","11,480.28",79.86,
20220101095002pdf_1-14 Januari 2022.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,77.20,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,22,UTAROM,KAIMANA,KNG,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,23,ELTARI,KUPANG,KOE,77.00,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,76.40,"11,890.34","11,922.68",82.95,
20220101095002pdf_1-14 Januari 2022.pdf,25,BUBUNG,LUWUK,LUW,77.20,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,26,SAM RATULANGI,MANADO,MDC,77.20,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,27,POLONIA,MEDAN,MES,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,28,MOPAH,MERAUKE,MKQ,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,29,RENDANI,MANOKWARI,MKW,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,30,KERTAJATI,MAJALENGKA,KJT,81.10,"12,640.38","12,674.76",88.24,
20220101095002pdf_1-14 Januari 2022.pdf,31,ABDURACHMAN SALEH,MALANG,MLG,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,32,WAI OTI,MAUMERE,MOF,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,33,PANIAI,NABIRE,NBX,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,34,RANAI,NATUNA,NTX,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,35,PONDOK CABE,JAKARTA,PCB,74.20,"11,548.41","11,579.82",80.52,
20220101095002pdf_1-14 Januari 2022.pdf,36,MINANGKABAU,PADANG,PDG,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,38,ISKANDAR,PANGKALAN BUN,PKN,"75.80","11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,40,TJILIK RIWUT,PALANGKARAYA,PKY,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,42,MUTIARA,PALU,PLW,77.20,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,43,SUPADIO,PONTIANAK,PNK,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,44,H. ASAN,SAMPIT,SMQ,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,45,ADISUMARMO,SOLO,SOC,74.90,"11,647.68","11,679.36",81.29,
20220101095002pdf_1-14 Januari 2022.pdf,46,SORONG DARATAN,SORONG,SOQ,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,47,ACHMAD YANI,SEMARANG,SRG,74.90,"11,647.68","11,679.36",81.29,
20220101095002pdf_1-14 Januari 2022.pdf,48,JUANDA,SURABAYA,SUB,73.20,"11,382.96","11,413.92",79.42,
20220101095002pdf_1-14 Januari 2022.pdf,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,50,KIJANG,TANJUNG PINANG,TNJ,77.10,"12,022.70","12,055.40",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,52,JUWATA,TARAKAN,TRK,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,52,BABULLAH,TERNATE,TTE,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,53,HASANUDDIN,UJUNG PANDANG,UPG,76.00,"11,824.16","11,856.32",82.50,
20220101095002pdf_1-14 Januari 2022.pdf,54,MAU HAU,WAINGAPU,WGP,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,55,ISWAHYUDI,MADIUN,WIAR (ICAO),77.00,"12,011.67","12,044.34",83.83,
20220101095002pdf_1-14 Januari 2022.pdf,56,DUMATUBUN,TUAL,LUV,79.80,"12,375.66","12,409.32",86.36,
20220101095002pdf_1-14 Januari 2022.pdf,57,SILANGIT,SIBORONG-BORONG,DTB,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,58,KALIMARAU,BERAU,BEJ,75.80,"11,791.07","11,823.14",82.28,
20220101095002pdf_1-14 Januari 2022.pdf,59,KOMODO,LABUAN BAJO,LBJ,76.40,"11,890.34","11,922.68",82.95,
20220101095002pdf_1-14 Januari 2022.pdf,60,KUALANAMU,DELI SERDANG,KNO,75.90,"11,813.13","11,845.26",82.39,
20220101095002pdf_1-14 Januari 2022.pdf,61,TAMPA PADANG,MAMUJU,MJU,78.00,"12,133.00","12,166.00",84.60,
20220101095002pdf_1-14 Januari 2022.pdf,62,F.L. TOBING,PINANGSORI,FLZ,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,63,MOZES KILANGIN,TIMIKA,TIM,77.40,"12,055.79","12,088.58",84.05,
20220101095002pdf_1-14 Januari 2022.pdf,64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,78.00,"12,265.36","12,298.72",85.59,
20220101095002pdf_1-14 Januari 2022.pdf,65,BLIMBINGSARI,BANYUWANGI,BWX,76.70,"11,934.46","11,966.92",83.28,
20220101095002pdf_1-14 Januari 2022.pdf,66,TAMBOLAKA,SUMBA BARAT,TMC,77.90,"12,166.09","12,199.18",84.93,
20220101095002pdf_1-14 Januari 2022.pdf,67,BINAKA,GUNUNGSITOLI,GNS,76.70,"11,934.46","11,966.92",83.28,0
20220101095002pdf_1-14 Januari 2022.pdf,68,KULONPROGO,YOGYAKARTA,YIA,76.80,"11,945.49","11,977.98",83.39,0
20220101095002pdf_1-14 Januari 2022.pdf,69,KUABANG,HALMAHERA UTARA,KAZ,82.60,"12,827.89","12,862.78",89.45,0
20220101095002pdf_1-14 Januari 2022.pdf,70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,74.90,"11,647.68","11,679.36",81.29,
20220101095002pdf_1-14 Januari 2022.pdf,71,MATHILDA BATLAYERI,SAUMLAKI,SXK,85.40,"13,346.30","13,382.60",93.09,
20220115104611pdf_15-31 Januari 2022.pdf,1,APT PRANOTO,SAMARINDA,AAP,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,2,PATTIMURA,AMBON,AMQ,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,76.20,"11,802.10","11,834.20",82.73,
20220115104611pdf_15-31 Januari 2022.pdf,5,FRANS KAISIEPO,BIAK,BIK,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,79.00,"12,375.66","12,409.32",86.70,
20220115104611pdf_15-31 Januari 2022.pdf,7,M. SALAHUDDIN,BIMA,BMU,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,76.30,"11,813.13","11,845.26",82.73,
20220115104611pdf_15-31 Januari 2022.pdf,9,HANG NADIM,BATAM,BTH,75.80,"10,671.92","10,700.95",74.72,
20220115104611pdf_15-31 Januari 2022.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,69.60,"10,765.28","10,794.56",75.45,
20220115104611pdf_15-31 Januari 2022.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,76.60,"11,868.28","11,900.56",83.17,
20220115104611pdf_15-31 Januari 2022.pdf,13,SULTAN THAHA,JAMBI,DJB,79.00,"12,375.66","12,409.32",86.70,
20220115104611pdf_15-31 Januari 2022.pdf,14,SENTANI,JAYAPURA,DJJ,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,15,NGURAH RAI,DENPASAR,DPS,75.40,"11,680.77","11,712.54",81.84,
20220115104611pdf_15-31 Januari 2022.pdf,16,PINANG KAMPAI,DUMAI,DUM,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,17,H. AROEBOESMAN,ENDE,ENE,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,18,JALALUDDIN,GORONTALO,GTO,78.90,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,74.80,"11,592.53","11,624.06",81.18,
20220115104611pdf_15-31 Januari 2022.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,75.40,"11,669.74","11,701.48",81.73,
20220115104611pdf_15-31 Januari 2022.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,78.90,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,22,UTAROM,KAIMANA,KNG,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,23,ELTARI,KUPANG,KOE,78.70,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,78.10,"12,110.94","12,143.88",84.82,
20220115104611pdf_15-31 Januari 2022.pdf,25,BUBUNG,LUWUK,LUW,78.90,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,26,SAM RATULANGI,MANADO,MDC,78.90,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,27,POLONIA,MEDAN,MES,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,28,MOPAH,MERAUKE,MKQ,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,29,RENDANI,MANOKWARI,MKW,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,30,KERTAJATI,MAJALENGKA,KJT,76.30,"11,846.22","11,878.44",82.95,
20220115104611pdf_15-31 Januari 2022.pdf,31,ABDURACHMAN SALEH,MALANG,MLG,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,32,WAI OTI,MAUMERE,MOF,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,33,PANIAI,NABIRE,NBX,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,34,RANAI,NATUNA,NTX,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,35,PONDOK CABE,JAKARTA,PCB,75.90,"11,769.01","11,801.02",82.39,
20220115104611pdf_15-31 Januari 2022.pdf,36,MINANGKABAU,PADANG,PDG,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,78.40,"12,155.06","12,188.12",85.15,
