Year,Month,No,Location,City,IATA_Code,International_Flight_Price_USCents_Liter,Domestic_Flight_Price_Into_Plane_Rp_Liter,Domestic_Flight_Price_One_Time_Customer_Rp_Liter
2022,1,1,APT PRANOTO,SAMARINDA,AAP,76.73,11912.04,11944.44
2022,1,2,PATTIMURA,AMBON,AMQ,78.33,12176.76,12209.88
2022,1,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,76.73,11912.04,11944.44
2022,1,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,75.43,11702.47,11734.3
2022,1,5,FRANS KAISIEPO,BIAK,BIK,78.33,12176.76,12209.88
2022,1,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,78.23,12276.03,12309.42
2022,1,7,M. SALAHUDDIN,BIMA,BMU,77.63,12055.43,12088.22
2022,1,8,SEPINGGAN,BALIKPAPAN,BPN,75.53,11713.5,11745.36
2022,1,9,HANG NADIM,BATAM,BTH,75.03,10581.33,10610.11
2022,1,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,77.63,12055.43,12088.22
2022,1,11,SOEKARNO HATTA,CENGKARENG,CGK,68.83,10665.65,10694.66
2022,1,12,TUNGGUL WULUNG,CILACAP,CXP,75.83,11768.65,11800.66
2022,1,13,SULTAN THAHA,JAMBI,DJB,78.23,12276.03,12309.42
2022,1,14,SENTANI,JAYAPURA,DJJ,78.33,12176.76,12209.88
2022,1,15,NGURAH RAI,DENPASAR,DPS,74.63,11581.14,11612.64
2022,1,16,PINANG KAMPAI,DUMAI,DUM,77.63,12055.43,12088.22
2022,1,17,H. AROEBOESMAN,ENDE,ENE,77.63,12055.43,12088.22
2022,1,18,JALALUDDIN,GORONTALO,GTO,78.13,12143.67,12176.7
2022,1,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,74.03,11492.9,11524.16
2022,1,20,ADISUCIPTO,YOGYAKARTA,JOG,74.63,11570.11,11601.58
2022,1,21,WOLTER MONGINSIDI,KENDARI,KDI,78.13,12143.67,12176.7
2022,1,22,UTAROM,KAIMANA,KNG,78.33,12176.76,12209.88
2022,1,23,ELTARI,KUPANG,KOE,77.93,12055.43,12088.22
2022,1,24,LOMBOK INTERNATIONAL,MATARAM,LOP,77.33,12011.31,12043.98
2022,1,25,BUBUNG,LUWUK,LUW,78.13,12143.67,12176.7
2022,1,26,SAM RATULANGI,MANADO,MDC,78.13,12143.67,12176.7
2022,1,27,POLONIA,MEDAN,MES,77.63,12055.43,12088.22
2022,1,28,MOPAH,MERAUKE,MKQ,78.33,12176.76,12209.88
2022,1,29,RENDANI,MANOKWARI,MKW,78.33,12176.76,12209.88
