Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
20221231172557pdf_1-14 Januari 2023.pdf,,,,,INTERNATIONAL,,,
20221231172557pdf_1-14 Januari 2023.pdf,NO,LOCATION,CITY,IATA CODE,FLIGHT PRICE,"DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE
ONE TIME CUSTOMER","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE"
20221231172557pdf_1-14 Januari 2023.pdf,,,,,,(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),(incl. VAT+Gov Tax)
20221231172557pdf_1-14 Januari 2023.pdf,,,,,(USCents / Liter),(Rp / Liter),(Rp / Liter),(USCents / Liter)
20221231172557pdf_1-14 Januari 2023.pdf,1,APT PRANOTO,SAMARINDA,AAP,102.10,"17,518.62","17,565.84",112.19
20221231172557pdf_1-14 Januari 2023.pdf,2,PATTIMURA,AMBON,AMQ,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,102.10,"17,518.62","17,565.84",112.19
20221231172557pdf_1-14 Januari 2023.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,101.10,"17,362.80","17,409.60",111.19
20221231172557pdf_1-14 Januari 2023.pdf,5,FRANS KAISIEPO,BIAK,BIK,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,99.90,"17,184.72","17,231.04",110.08
20221231172557pdf_1-14 Januari 2023.pdf,7,M. SALAHUDDIN,BIMA,BMU,101.50,"17,440.71","17,487.72",111.63
20221231172557pdf_1-14 Januari 2023.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,100.40,"17,240.37","17,286.84",110.41
20221231172557pdf_1-14 Januari 2023.pdf,9,HANG NADIM,BATAM,BTH,99.10,"15,325.84","15,371.68",98.19
20221231172557pdf_1-14 Januari 2023.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,99.80,"17,117.94","17,164.08",109.63
20221231172557pdf_1-14 Januari 2023.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,88.30,"15,136.80","15,177.60",96.94
20221231172557pdf_1-14 Januari 2023.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,101.40,"17,396.19","17,443.08",111.41
20221231172557pdf_1-14 Januari 2023.pdf,13,SULTAN THAHA,JAMBI,DJB,100.10,"17,229.24","17,275.68",110.30
20221231172557pdf_1-14 Januari 2023.pdf,14,SENTANI,JAYAPURA,DJJ,102.90,"17,618.79","17,666.28",112.86
20221231172557pdf_1-14 Januari 2023.pdf,15,NGURAH RAI,DENPASAR,DPS,101.10,"17,318.28","17,364.96",110.97
20221231172557pdf_1-14 Januari 2023.pdf,16,PINANG KAMPAI,DUMAI,DUM,99.80,"17,117.94","17,164.08",109.63
20221231172557pdf_1-14 Januari 2023.pdf,17,H. AROEBOESMAN,ENDE,ENE,101.50,"17,440.71","17,487.72",111.63
20221231172557pdf_1-14 Januari 2023.pdf,18,JALALUDDIN,GORONTALO,GTO,102.40,"17,596.53","17,643.96",112.64
20221231172557pdf_1-14 Januari 2023.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,95.40,"16,361.10","16,405.20",104.84
20221231172557pdf_1-14 Januari 2023.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,101.10,"17,351.67","17,398.44",111.08
20221231172557pdf_1-14 Januari 2023.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,102.40,"17,596.53","17,643.96",112.64
20221231172557pdf_1-14 Januari 2023.pdf,22,UTAROM,KAIMANA,KNG,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,23,ELTARI,KUPANG,KOE,98.70,"16,906.47","16,952.04",108.29
20221231172557pdf_1-14 Januari 2023.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,101.40,"17,407.32","17,454.24",111.52
20221231172557pdf_1-14 Januari 2023.pdf,25,BUBUNG,LUWUK,LUW,102.40,"17,596.53","17,643.96",112.64
20221231172557pdf_1-14 Januari 2023.pdf,26,SAM RATULANGI,MANADO,MDC,102.40,"17,596.53","17,643.96",112.64
20221231172557pdf_1-14 Januari 2023.pdf,27,POLONIA,MEDAN,MES,99.80,"17,117.94","17,164.08",109.63
20221231172557pdf_1-14 Januari 2023.pdf,28,MOPAH,MERAUKE,MKQ,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,29,RENDANI,MANOKWARI,MKW,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,30,KERTAJATI,MAJALENGKA,KJT,94.70,"16,249.80","16,293.60",104.07
20221231172557pdf_1-14 Januari 2023.pdf,31,ABDURACHMAN SALEH,MALANG,MLG,101.20,"17,373.93","17,420.76",111.30
20221231172557pdf_1-14 Januari 2023.pdf,32,WAI OTI,MAUMERE,MOF,101.50,"17,440.71","17,487.72",111.63
20221231172557pdf_1-14 Januari 2023.pdf,33,PANIAI,NABIRE,NBX,102.80,"17,663.31","17,710.92",113.08
20221231172557pdf_1-14 Januari 2023.pdf,34,RANAI,NATUNA,NTX,99.80,"17,117.94","17,164.08",109.63
20221231172557pdf_1-14 Januari 2023.pdf,35,PONDOK CABE,JAKARTA,PCB,101.50,"17,429.58","17,476.56",111.63
20221231172557pdf_1-14 Januari 2023.pdf,36,MINANGKABAU,PADANG,PDG,99.80,"17,006.64","17,052.48",108.85
20221231172557pdf_1-14 Januari 2023.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,"99.40","17,062.29","17,108.28",109.30
20221231172557pdf_1-14 Januari 2023.pdf,38,ISKANDAR,PANGKALAN BUN,PKN,102.10,"17,518.62","17,565.84",112.19
