1,APT PRANOTO,SAMARINDA,AAP,104.40,"17,184.72","17,231.04",114.75
2,PATTIMURA,AMBON,AMQ,106.20,"17,507.49","17,554.68",116.87
3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,104.40,"17,184.72","17,231.04",114.75
4,HUSEIN SASTRANEGARA,BANDUNG,BDO,102.70,"16,917.60","16,963.20",112.97
5,FRANS KAISIEPO,BIAK,BIK,106.20,"17,507.49","17,554.68",116.87
6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,102.00,"16,828.56","16,873.92",112.41
7,M. SALAHUDDIN,BIMA,BMU,104.40,"17,206.98","17,253.36",114.86
8,SEPINGGAN,BALIKPAPAN,BPN,102.70,"16,906.47","16,952.04",112.86
9,HANG NADIM,BATAM,BTH,101.10,"15,004.88","15,049.76",100.20
10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,101.80,"16,761.78","16,806.96",111.97
11,SOEKARNO HATTA,CENGKARENG,CGK,89.30,"14,691.60","14,731.20",98.06
12,TUNGGUL WULUNG,CILACAP,CXP,103.60,"17,062.29","17,108.28",113.97
13,SULTAN THAHA,JAMBI,DJB,102.20,"16,873.08","16,918.56",112.64
14,SENTANI,JAYAPURA,DJJ,106.30,"17,462.97","17,510.04",116.64
15,NGURAH RAI,DENPASAR,DPS,103.30,"16,984.38","17,030.16",113.41
16,PINANG KAMPAI,DUMAI,DUM,101.80,"16,761.78","16,806.96",111.97
17,H. AROEBOESMAN,ENDE,ENE,104.40,"17,206.98","17,253.36",114.86
18,JALALUDDIN,GORONTALO,GTO,104.90,"17,284.89","17,331.48",115.42
19,HALIM PERDANAKUSUMA,JAKARTA,HLP,96.70,"15,915.90","15,958.80",106.29
20,ADISUCIPTO,YOGYAKARTA,JOG,103.40,"17,017.77","17,063.64",113.64
21,WOLTER MONGINSIDI,KENDARI,KDI,104.90,"17,284.89","17,331.48",115.42
22,UTAROM,KAIMANA,KNG,106.20,"17,507.49","17,554.68",116.87
23,ELTARI,KUPANG,KOE,100.90,"16,572.57","16,617.24",110.63
24,LOMBOK INTERNATIONAL,MATARAM,LOP,103.60,"17,073.42","17,119.44",113.97
25,BUBUNG,LUWUK,LUW,104.90,"17,284.89","17,331.48",115.42
26,SAM RATULANGI,MANADO,MDC,104.90,"17,284.89","17,331.48",115.42
27,POLONIA,MEDAN,MES,101.80,"16,761.78","16,806.96",111.97
28,MOPAH,MERAUKE,MKQ,106.20,"17,507.49","17,554.68",116.87
29,RENDANI,MANOKWARI,MKW,106.20,"17,507.49","17,554.68",116.87
30,KERTAJATI,MAJALENGKA,KJT,96.00,"15,804.60","15,847.20",105.51
31,ABDURACHMAN SALEH,MALANG,MLG,103.40,"17,040.03","17,085.96",113.75
32,WAI OTI,MAUMERE,MOF,104.40,"17,206.98","17,253.36",114.86
33,PANIAI,NABIRE,NBX,106.20,"17,507.49","17,554.68",116.87
34,RANAI,NATUNA,NTX,101.80,"16,761.78","16,806.96",111.97
35,PONDOK CABE,JAKARTA,PCB,103.60,"17,073.42","17,119.44",113.97
36,MINANGKABAU,PADANG,PDG,"101.80","16,650.48","16,695.36",111.19
37,DEPATI AMIR,PANGKAL PINANG,PGK,101.40,"16,706.13","16,751.16",111.52
38,ISKANDAR,PANGKALAN BUN,PKN,104.40,"17,184.72","17,231.04",114.75
39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,101.80,"16,761.78","16,806.96",111.97
40,TJILIK RIWUT,PALANGKARAYA,PKY,104.40,"17,184.72","17,231.04",114.75
41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,101.40,"16,706.13","16,751.16",111.52
42,MUTIARA,PALU,PLW,104.90,"17,284.89","17,331.48",115.42
43,SUPADIO,PONTIANAK,PNK,104.40,"17,184.72","17,231.04",114.75
44,H. ASAN,SAMPIT,SMQ,104.40,"17,184.72","17,231.04",114.75
45,ADISUMARMO,SOLO,SOC,103.60,"17,062.29","17,108.28",113.97
46,SORONG DARATAN,SORONG,SOQ,106.20,"17,507.49","17,554.68",116.87
47,ACHMAD YANI,SEMARANG,SRG,102.70,"16,906.47","16,952.04",112.86
48,JUANDA,SURABAYA,SUB,100.70,"16,550.31","16,594.92",110.52
49,RADEN INTEN II,BANDAR LAMPUNG,TKG,100.60,"16,706.13","16,751.16",111.52
50,KIJANG,TANJUNG PINANG,TNJ,102.40,"16,884.21","16,929.72",112.75
51,JUWATA,TARAKAN,TRK,104.40,"17,184.72","17,231.04",114.75
52,BABULLAH,TERNATE,TTE,106.20,"17,507.49","17,554.68",116.87
53,HASANUDDIN,UJUNG PANDANG,UPG,104.40,"17,162.46","17,208.72",114.64
54,MAU HAU,WAINGAPU,WGP,104.40,"17,206.98","17,253.36",114.86
55,ISWAHYUDI,MADIUN,WIAR (ICAO),103.70,"17,106.81","17,152.92",114.19
56,DUMATUBUN,TUAL,LUV,106.00,"17,485.23","17,532.36",116.75
57,SILANGIT,SIBORONG-BORONG,DTB,101.40,"16,695.00","16,740.00",111.52
58,KALIMARAU,BERAU,BEJ,104.40,"17,184.72","17,231.04",114.75
59,KOMODO,LABUAN BAJO,LBJ,104.20,"17,173.59","17,219.88",114.64
60,KUALANAMU,DELI SERDANG,KNO,101.60,"16,683.87","16,728.84",111.41
61,TAMPA PADANG,MAMUJU,MJU,105.30,"17,329.41","17,376.12",115.75
62,F.L. TOBING,PINANGSORI,FLZ,101.80,"16,761.78","16,806.96",111.97
63,MOZES KILANGIN,TIMIKA,TIM,106.20,"17,507.49","17,554.68",116.87
64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,102.10,"16,850.82","16,896.24",112.52
65,BLIMBINGSARI,BANYUWANGI,BWX,104.40,"17,206.98","17,253.36",114.86
66,TAMBOLAKA,SUMBA BARAT,TMC,103.80,"17,129.07","17,175.24",114.42
67,BINAKA,GUNUNGSITOLI,GNS,101.80,"16,761.78","16,806.96",111.97
68,KULONPROGO,YOGYAKARTA,YIA,103.40,"17,028.90","17,074.80",113.75
69,KUABANG,HALMAHERA UTARA,KAZ,105.9,17485.23,17532.36,116.75
70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,103.6,17062.29,17108.28,113.97
71,MATHILDA BATLAYERI,SAUMLAKI,SXK,105.7,17507.49,17554.68,116.87
72,BUDIARTO,CURUG,BTO,103.5,17095.68,17141.76,106.29
