1,APT PRANOTO,SAMARINDA,AAP,97.70,"16,283.19","16,327.08",107.29
2,PATTIMURA,AMBON,AMQ,99.50,"16,605.96","16,650.72",109.41
3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,97.70,"16,283.19","16,327.08",107.29
4,HUSEIN SASTRANEGARA,BANDUNG,BDO,95.40,"15,904.77","15,947.64",104.84
5,FRANS KAISIEPO,BIAK,BIK,99.50,"16,605.96","16,650.72",109.41
6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,95.30,"15,927.03","15,969.96",104.96
7,M. SALAHUDDIN,BIMA,BMU,97.80,"16,305.45","16,349.40",107.52
8,SEPINGGAN,BALIKPAPAN,BPN,96.00,"16,004.94","16,048.08",105.51
9,HANG NADIM,BATAM,BTH,94.50,"14,192.45","14,234.90",93.58
10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,95.20,"15,860.25","15,903.00",104.51
11,SOEKARNO HATTA,CENGKARENG,CGK,82.20,"13,678.77","13,715.64",90.15
12,TUNGGUL WULUNG,CILACAP,CXP,97.00,"16,160.76","16,204.32",106.51
13,SULTAN THAHA,JAMBI,DJB,95.60,"15,971.55","16,014.60",105.29
14,SENTANI,JAYAPURA,DJJ,99.60,"16,561.44","16,606.08",109.19
15,NGURAH RAI,DENPASAR,DPS,96.60,"16,082.85","16,126.20",105.96
16,PINANG KAMPAI,DUMAI,DUM,95.20,"15,860.25","15,903.00",104.51
17,H. AROEBOESMAN,ENDE,ENE,97.80,"16,305.45","16,349.40",107.52
18,JALALUDDIN,GORONTALO,GTO,98.20,"16,383.36","16,427.52",107.96
19,HALIM PERDANAKUSUMA,JAKARTA,HLP,89.40,"14,903.07","14,943.24",98.17
20,ADISUCIPTO,YOGYAKARTA,JOG,96.70,"16,116.24","16,159.68",106.18
21,WOLTER MONGINSIDI,KENDARI,KDI,98.20,"16,383.36","16,427.52",107.96
22,UTAROM,KAIMANA,KNG,99.50,"16,605.96","16,650.72",109.41
23,ELTARI,KUPANG,KOE,94.20,"15,671.04","15,713.28",103.29
24,LOMBOK INTERNATIONAL,MATARAM,LOP,97.00,"16,171.89","16,215.48",106.63
25,BUBUNG,LUWUK,LUW,98.20,"16,383.36","16,427.52",107.96
26,SAM RATULANGI,MANADO,MDC,98.20,"16,383.36","16,427.52",107.96
27,POLONIA,MEDAN,MES,95.20,"15,860.25","15,903.00",104.51
28,MOPAH,MERAUKE,MKQ,99.50,"16,605.96","16,650.72",109.41
29,RENDANI,MANOKWARI,MKW,99.50,"16,605.96","16,650.72",109.41
30,KERTAJATI,MAJALENGKA,KJT,88.80,"14,791.77","14,831.64",97.50
31,ABDURACHMAN SALEH,MALANG,MLG,96.80,"16,138.50","16,182.00",106.40
32,WAI OTI,MAUMERE,MOF,97.80,"16,305.45","16,349.40",107.52
33,PANIAI,NABIRE,NBX,99.50,"16,605.96","16,650.72",109.41
34,RANAI,NATUNA,NTX,95.20,"15,860.25","15,903.00",104.51
35,PONDOK CABE,JAKARTA,PCB,97.00,"16,171.89","16,215.48",106.63
36,MINANGKABAU,PADANG,PDG,"95.20","15,748.95","15,791.40",103.84
