Year,Month,No,Location,City,IATA_Code,International_Flight_Price_USCents_Liter,Domestic_Flight_Price_Into_Plane_Rp_Liter,Domestic_Flight_Price_One_Time_Customer_Rp_Liter,Source
2023,01,1,APT PRANOTO,SAMARINDA,AAP,102.05,17518.62,17565.84,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,2,PATTIMURA,AMBON,AMQ,102.75,17663.31,17710.92,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,102.05,17518.62,17565.84,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,101.05,17362.80,17409.60,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,5,FRANS KAISIEPO,BIAK,BIK,102.75,17663.31,17710.92,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,99.85,17184.72,17231.04,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,7,M. SALAHUDDIN,BIMA,BMU,101.77,17495.64,17542.80,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,8,SEPINGGAN,BALIKPAPAN,BPN,100.40,17240.37,17286.84,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,9,HANG NADIM,BATAM,BTH,99.05,15325.84,15371.68,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,99.75,17117.94,17164.08,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,11,SOEKARNO HATTA,CENGKARENG,CGK,88.25,15136.80,15177.60,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,12,TUNGGUL WULUNG,CILACAP,CXP,101.35,17396.19,17443.08,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,13,SULTAN THAHA,JAMBI,DJB,100.05,17229.24,17275.68,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,14,SENTANI,JAYAPURA,DJJ,102.85,17618.79,17666.28,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,15,NGURAH RAI,DENPASAR,DPS,101.05,17318.28,17364.96,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,16,PINANG KAMPAI,DUMAI,DUM,99.75,17117.94,17164.08,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,17,H. AROEBOESMAN,ENDE,ENE,101.77,17495.64,17542.80,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,18,JALALUDDIN,GORONTALO,GTO,102.40,17596.53,17643.96,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,95.35,16361.10,16405.20,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,20,ADISUCIPTO,YOGYAKARTA,JOG,101.05,17351.67,17398.44,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
2023,01,21,WOLTER MONGINSIDI,KENDARI,KDI,102.40,17596.53,17643.96,20221231172557pdf_1-14 Januari 2023.pdf + 20230115085437pdf_15-31 Januari 2023.pdf
