Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240115023518pdf_1-31 Januari 2024.pdf,,,,,,DOMESTIC FLIGHT,
20240115023518pdf_1-31 Januari 2024.pdf,,,,,INTERNATIONAL,PRICE INTO PLANE/NOT,"DOMESTIC FLIGHT
PRICE INTO PLANE/NOT"
20240115023518pdf_1-31 Januari 2024.pdf,,,,,,,INTO PLANE
20240115023518pdf_1-31 Januari 2024.pdf,NO,LOCATION,CITY,IATA CODE,FLIGHT PRICE,INTO PLANE,ONE TIME CUSTOMER
20240115023518pdf_1-31 Januari 2024.pdf,,,,,,(incl. VAT+Gov Tax),(incl. VAT+Gov Tax)
20240115023518pdf_1-31 Januari 2024.pdf,,,,,(USCents / Liter),(Rp / Liter),(Rp / Liter)
20240115023518pdf_1-31 Januari 2024.pdf,1,APT PRANOTO,SAMARINDA,AAP,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,2,PATTIMURA,AMBON,AMQ,93.20,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,91.10,"15,515.22","15,557.04"
20240115023518pdf_1-31 Januari 2024.pdf,5,FRANS KAISIEPO,BIAK,BIK,93.20,"15,882.51","15,925.32"
20240115023518pdf_1-31 Januari 2024.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,90.80,"15,515.22","15,557.04"
20240115023518pdf_1-31 Januari 2024.pdf,7,M. SALAHUDDIN,BIMA,BMU,90.90,"15,492.96","15,534.72"
20240115023518pdf_1-31 Januari 2024.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,90.50,"15,403.92","15,445.44"
20240115023518pdf_1-31 Januari 2024.pdf,9,HANG NADIM,BATAM,BTH,90.80,"13,931.67","13,973.34"
20240115023518pdf_1-31 Januari 2024.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,90.80,"15,459.57","15,501.24"
20240115023518pdf_1-31 Januari 2024.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,79.50,"13,511.82","13,548.24"
20240115023518pdf_1-31 Januari 2024.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,91.70,"15,626.52","15,668.64"
20240115023518pdf_1-31 Januari 2024.pdf,13,SULTAN THAHA,JAMBI,DJB,90.80,"15,515.22","15,557.04"
20240115023518pdf_1-31 Januari 2024.pdf,14,SENTANI,JAYAPURA,DJJ,93.50,"15,882.51","15,925.32"
