Year,Month,No,Location,City,IATA_Code,International_Flight_Price_USCents_Liter,Domestic_Flight_Price_Into_Plane_Rp_Liter,Domestic_Flight_Price_One_Time_Customer_Rp_Liter
2024,01,1,APT PRANOTO,SAMARINDA,AAP,91.40,"15,570.87","15,612.84"
2024,01,2,PATTIMURA,AMBON,AMQ,93.20,"16,016.07","16,059.24"
2024,01,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,91.40,"15,570.87","15,612.84"
2024,01,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,91.10,"15,515.22","15,557.04"
2024,01,5,FRANS KAISIEPO,BIAK,BIK,93.20,"15,882.51","15,925.32"
2024,01,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,90.80,"15,515.22","15,557.04"
2024,01,7,M. SALAHUDDIN,BIMA,BMU,90.90,"15,492.96","15,534.72"
2024,01,8,SEPINGGAN,BALIKPAPAN,BPN,90.50,"15,403.92","15,445.44"
2024,01,9,HANG NADIM,BATAM,BTH,90.80,"13,931.67","13,973.34"
2024,01,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,90.80,"15,459.57","15,501.24"
2024,01,11,SOEKARNO HATTA,CENGKARENG,CGK,79.50,"13,511.82","13,548.24"
2024,01,12,TUNGGUL WULUNG,CILACAP,CXP,91.70,"15,626.52","15,668.64"
2024,01,13,SULTAN THAHA,JAMBI,DJB,90.80,"15,515.22","15,557.04"
2024,01,14,SENTANI,JAYAPURA,DJJ,93.50,"15,882.51","15,925.32"
2024,01,15,NGURAH RAI,DENPASAR,DPS,89.60,"15,236.97","15,278.04"
2024,01,16,PINANG KAMPAI,DUMAI,DUM,90.80,"15,459.57","15,501.24"
2024,01,17,H. AROEBOESMAN,ENDE,ENE,90.90,"15,492.96","15,534.72"
2024,01,18,JALALUDDIN,GORONTALO,GTO,92.90,"15,826.86","15,869.52"
2024,01,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,86.50,"14,736.12","14,775.84"
2024,01,20,ADISUCIPTO,YOGYAKARTA,JOG,91.80,"15,626.52","15,668.64"
2024,01,21,WOLTER MONGINSIDI,KENDARI,KDI,92.90,"15,826.86","15,869.52"
2024,01,22,UTAROM,KAIMANA,KNG,93.20,"15,882.51","15,925.32"
2024,01,23,ELTARI,KUPANG,KOE,88.70,"15,058.89","15,099.48"
2024,01,24,LOMBOK INTERNATIONAL,MATARAM,LOP,90.80,"15,470.70","15,512.40"
2024,01,25,BUBUNG,LUWUK,LUW,92.90,"15,826.86","15,869.52"
2024,01,26,SAM RATULANGI,MANADO,MDC,92.90,"15,826.86","15,869.52"
2024,01,27,POLONIA,MEDAN,MES,90.80,"15,459.57","15,501.24"
2024,01,28,MOPAH,MERAUKE,MKQ,93.20,"15,882.51","15,925.32"
2024,01,29,RENDANI,MANOKWARI,MKW,93.20,"15,882.51","15,925.32"
2024,01,30,KERTAJATI,MAJALENGKA,KJT,85.90,"14,624.82","14,664.24"
2024,01,31,ABDURACHMAN SALEH,MALANG,MLG,91.00,"15,504.09","15,545.88"
2024,01,32,WAI OTI,MAUMERE,MOF,90.90,"15,492.96","15,534.72"
2024,01,33,DOUW ATURURE,NABIRE,NBX,93.20,"16,016.07","16,059.24"
2024,01,34,RANAI,NATUNA,NTX,90.80,"15,459.57","15,501.24"
2024,01,35,PONDOK CABE,JAKARTA,PCB,91.40,"15,582.00","15,624.00"
2024,01,36,MINANGKABAU,PADANG,PDG,90.80,"15,470.70","15,512.40"
2024,01,37,DEPATI AMIR,PANGKAL PINANG,PGK,90.80,"15,459.57","15,501.24"
2024,01,38,ISKANDAR,PANGKALAN BUN,PKN,91.40,"15,570.87","15,612.84"
2024,01,39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,90.80,"15,459.57","15,501.24"
2024,01,40,TJILIK RIWUT,PALANGKARAYA,PKY,91.40,"15,570.87","15,612.84"
2024,01,41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,90.80,"15,459.57","15,501.24"
2024,01,42,MUTIARA,PALU,PLW,92.90,"15,826.86","15,869.52"
2024,01,43,SUPADIO,PONTIANAK,PNK,91.40,"15,570.87","15,612.84"
2024,01,44,H. ASAN,SAMPIT,SMQ,91.40,"15,570.87","15,612.84"
2024,01,45,ADISUMARMO,SOLO,SOC,91.70,"15,626.52","15,668.64"
2024,01,46,SORONG DARATAN,SORONG,SOQ,93.20,"15,882.51","15,925.32"
2024,01,47,ACHMAD YANI,SEMARANG,SRG,91.50,"15,570.87","15,612.84"
2024,01,48,JUANDA,SURABAYA,SUB,89.20,"15,170.19","15,211.08"
2024,01,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,89.40,"15,370.53","15,411.96"
2024,01,50,KIJANG,TANJUNG PINANG,TNJ,91.20,"15,548.61","15,590.52"
2024,01,51,JUWATA,TARAKAN,TRK,91.40,"15,570.87","15,612.84"
2024,01,52,BABULLAH,TERNATE,TTE,93.20,"16,016.07","16,059.24"
2024,01,53,HASANUDDIN,UJUNG PANDANG,UPG,92.10,"15,659.91","15,702.12"
2024,01,54,MAU HAU,WAINGAPU,WGP,90.90,"15,492.96","15,534.72"
2024,01,55,ISWAHYUDI,MADIUN,WIAR (ICAO),90.80,"15,504.09","15,545.88"
2024,01,56,DUMATUBUN,TUAL,LUV,93.90,"16,016.07","16,059.24"
2024,01,57,SILANGIT,SIBORONG-BORONG,DTB,90.70,"15,459.57","15,501.24"
2024,01,58,KALIMARAU,BERAU,BEJ,91.40,"15,570.87","15,612.84"
2024,01,59,KOMODO,LABUAN BAJO,LBJ,91.90,"15,659.91","15,702.12"
2024,01,60,KUALANAMU,DELI SERDANG,KNO,89.90,"15,270.36","15,311.52"
2024,01,61,TAMPA PADANG,MAMUJU,MJU,93.20,"15,871.38","15,914.16"
2024,01,62,F.L. TOBING,PINANGSORI,FLZ,90.80,"15,459.57","15,501.24"
2024,01,63,MOZES KILANGIN,TIMIKA,TIM,93.20,"15,882.51","15,925.32"
2024,01,64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,91.50,"15,626.52","15,668.64"
2024,01,65,BLIMBINGSARI,BANYUWANGI,BWX,90.90,"15,492.96","15,534.72"
2024,01,66,TAMBOLAKA,SUMBA BARAT,TMC,93.70,"16,016.07","16,059.24"
2024,01,67,BINAKA,GUNUNGSITOLI,GNS,90.80,"15,459.57","15,501.24"
2024,01,68,KULONPROGO,YOGYAKARTA,YIA,91.70,"15,626.52","15,668.64"
2024,01,69,KUABANG,HALMAHERA UTARA,KAZ,93.80,"16,016.07","16,059.24"
2024,01,70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,91.70,"15,626.52","15,668.64"
2024,01,71,MATHILDA BATLAYERI,SAUMLAKI,SXK,93.40,"16,016.07","16,059.24"
2024,01,72,BUDIARTO,CURUG,BTO,91.10,-,#VALUE!
2024,02,1,APT PRANOTO,SAMARINDA,AAP,90.10,"15,359.40","15,400.80"
2024,02,2,PATTIMURA,AMBON,AMQ,91.80,"15,804.60","15,847.20"
2024,02,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,90.10,"15,359.40","15,400.80"
2024,02,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,89.70,"15,303.75","15,345.00"
2024,02,5,FRANS KAISIEPO,BIAK,BIK,91.80,"15,671.04","15,713.28"
2024,02,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,89.40,"15,292.62","15,333.84"
2024,02,7,M. SALAHUDDIN,BIMA,BMU,89.50,"15,281.49","15,322.68"
2024,02,8,SEPINGGAN,BALIKPAPAN,BPN,89.10,"15,192.45","15,233.40"
2024,02,9,HANG NADIM,BATAM,BTH,89.40,"13,741.10","13,782.20"
2024,02,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,89.40,"15,248.10","15,289.20"
2024,02,11,SOEKARNO HATTA,CENGKARENG,CGK,78.10,"13,300.35","13,336.20"
2024,02,12,TUNGGUL WULUNG,CILACAP,CXP,90.40,"15,415.05","15,456.60"
2024,02,13,SULTAN THAHA,JAMBI,DJB,89.40,"15,292.62","15,333.84"
2024,02,14,SENTANI,JAYAPURA,DJJ,92.10,"15,671.04","15,713.28"
