waktu_id,tanggal,jumlah_penumpang,avg_kurs_tengah,brent_usd_bbl,bi_rate
202001,2020-01-01,9122039.0,13732.23,56.62,5.0
202002,2020-02-01,7761992.0,13776.15,49.67,4.75
202003,2020-03-01,5508454.0,15194.57,26.35,4.5
202004,2020-04-01,979466.0,15867.43,26.48,4.5
202005,2020-05-01,96452.0,14906.19,37.84,4.5
202006,2020-06-01,747570.0,14195.96,41.27,4.25
202007,2020-07-01,1708664.0,14582.41,43.52,4.0
202008,2020-08-01,2339140.0,14724.5,45.66,4.0
202009,2020-09-01,2109557.0,14847.96,42.3,4.0
202010,2020-10-01,2478167.0,14749.14,37.94,4.0
202011,2020-11-01,3242266.0,14236.81,47.88,3.75
202012,2020-12-01,3724398.0,14173.09,51.82,3.75
202101,2021-01-01,2602910.0,14061.9,55.04,3.75
202102,2021-02-01,2140130.0,14042.1,64.42,3.5
202103,2021-03-01,2909920.0,14417.39,62.74,3.5
202104,2021-04-01,3194342.0,14558.18,66.76,3.5
202105,2021-05-01,2761475.0,14323.19,68.95,3.5
202106,2021-06-01,3937132.0,14338.23,74.62,3.5
202107,2021-07-01,1178188.0,14511.19,75.41,3.5
202108,2021-08-01,1316310.0,14397.7,71.63,3.5
202109,2021-09-01,2140693.0,14256.96,78.31,3.5
202110,2021-10-01,3263695.0,14198.45,83.72,3.5
202111,2021-11-01,3968394.0,14263.5,69.23,3.5
202112,2021-12-01,4490343.0,14328.92,77.35,3.5
202201,2022-01-01,3695279.3,14335.24,89.26,3.5
202202,2022-02-01,3082195.46,14351.06,97.97,3.5
202203,2022-03-01,3955579.24,14348.64,104.71,3.5
202204,2022-04-01,4237772.88,14368.74,107.14,3.5
202205,2022-05-01,6015946.52,14608.0,115.6,3.5
202206,2022-06-01,5389366.41,14688.57,109.03,3.5
202207,2022-07-01,5722889.5200000005,14984.38,103.97,3.5
202208,2022-08-01,4941259.06,14850.64,95.64,3.75
202209,2022-09-01,4584868.89,14971.77,85.14,4.25
202210,2022-10-01,5514156.39,15417.48,92.81,4.75
202211,2022-11-01,5315935.64,15658.73,86.97,5.25
202212,2022-12-01,6513843.13,15615.0,85.65,5.5
202301,2023-01-01,6831746.0,15295.24,85.46,5.75
202302,2023-02-01,6276162.0,15126.0,83.45,5.75
202303,2023-03-01,6872592.0,15300.71,79.89,5.75
202304,2023-04-01,7105577.0,14866.71,80.33,5.75
202305,2023-05-01,8094847.0,14810.86,72.6,5.75
202306,2023-06-01,7894268.0,14932.0,75.41,5.75
202307,2023-07-01,8694387.0,15039.75,85.43,5.75
202308,2023-08-01,7889269.0,15245.14,86.83,5.75
202309,2023-09-01,7581145.0,15354.2,92.2,5.75
202310,2023-10-01,7955302.0,15741.23,85.02,6.0
202311,2023-11-01,7672669.0,15617.41,80.86,6.0
202312,2023-12-01,8255966.0,15513.37,77.04,6.0
202401,2024-01-01,7558166.0,15610.82,81.71,6.0
202402,2024-02-01,7055396.0,15665.33,81.91,6.0
202403,2024-03-01,7011831.0,15702.61,87.0,6.0
202404,2024-04-01,8580275.0,16100.0,86.33,6.25
202405,2024-05-01,8008826.0,16083.94,81.11,6.25
202406,2024-06-01,8232321.0,16329.39,85.0,6.25
202407,2024-07-01,9030627.0,16261.65,80.84,6.25
202408,2024-08-01,8654433.0,15793.18,76.93,6.25
202409,2024-09-01,8476971.0,15341.25,71.77,6.0
202410,2024-10-01,8289199.0,15541.35,72.81,6.0
202411,2024-11-01,7705147.0,15812.35,71.84,6.0
202412,2024-12-01,8975443.0,16023.5,74.64,6.0
