slope,intercept,r,r2,p,n,lag_bulan,segment
2294.470743982715,-28983655.396543797,0.5891638340835947,0.3471140233920815,7.339874369533375e-07,60,0,TOTAL
2314.400597308412,-29304294.603088852,0.5921189238233531,0.3506048199497258,7.824691322215928e-07,59,1,TOTAL
2623.7796794903484,-33932575.13638465,0.666503691149972,0.44422717031653725,1.1228046518572128e-08,58,2,TOTAL
2838.342806097377,-37111069.459088445,0.7155414975804273,0.5119996347596406,3.978441531448537e-10,57,3,TOTAL
2783.6635347843135,-36198118.52797412,0.7168181594923306,0.5138282737779724,5.18303419114414e-10,56,4,TOTAL
2705.536908265913,-34894637.80509062,0.7131356747772103,0.5085624906399471,1.0026722302869984e-09,55,5,TOTAL
2728.9040656118923,-35087501.029778406,0.713526765951373,0.5091204457290254,1.4006883827006831e-09,54,6,TOTAL
1175.5263839465458,-16312119.579590805,0.6972565054878702,0.4861666344451564,6.045865557105276e-10,60,0,INT
1259.5854622901538,-17574838.62144507,0.7439843864837233,0.5535127673315622,1.4599499026014363e-11,59,1,INT
1351.817667170948,-18947133.87021251,0.7899088303174522,0.6239559602134854,1.700626732925287e-13,58,2,INT
1375.3940162194783,-19278849.393743195,0.7981172439579806,0.6369911351030827,1.0500246968704022e-13,57,3,INT
1349.3695568126,-18858976.005282152,0.7882096515818562,0.6212744548467911,5.587855111572032e-13,56,4,INT
1335.2775276297873,-18604863.716325887,0.7758722844981232,0.6019778018523366,3.4707908018725976e-12,55,5,INT
1348.6937539615708,-18747531.81726044,0.7600296266254363,0.5776450333484001,2.6481163908537498e-11,54,6,INT
1118.9443600361685,-12671535.816952987,0.4750325250621668,0.22565589986693813,0.0001254949167645483,60,0,DOM
1054.8151350182582,-11729455.981643783,0.44534418890648864,0.19833144659277824,0.00040860755860852756,59,1,DOM
1271.9620123194004,-14985441.266172145,0.5343152902742174,0.2854928294208212,1.5602401050447034e-05,58,2,DOM
1462.9487898778991,-17832220.06534525,0.61058923564003,0.37281921467947604,4.5742743269131244e-07,57,3,DOM
1434.2939779717128,-17339142.52269196,0.6180785297729313,0.38202106896626836,3.8654844356417444e-07,56,4,DOM
1370.2593806361267,-16289774.088764746,0.6207694198910965,0.3853546726719284,4.281112970095632e-07,55,5,DOM
1380.210311650322,-16339969.212517975,0.633480685327992,0.4012977786836224,2.730919924160197e-07,54,6,DOM
