waktu_id,tanggal,avg_kurs_tengah,brent_usd_bbl,brent_idr_per_bbl
202001,2020-01-01,13732.23,56.62,777518.8626
202002,2020-02-01,13776.15,49.67,684261.3705
202003,2020-03-01,15194.57,26.35,400376.9195
202004,2020-04-01,15867.43,26.48,420169.5464
202005,2020-05-01,14906.19,37.84,564050.2296000001
202006,2020-06-01,14195.96,41.27,585867.2692
202007,2020-07-01,14582.41,43.52,634626.4832
202008,2020-08-01,14724.5,45.66,672320.6699999999
202009,2020-09-01,14847.96,42.3,628068.7079999999
202010,2020-10-01,14749.14,37.94,559582.3716
202011,2020-11-01,14236.81,47.88,681658.4628
202012,2020-12-01,14173.09,51.82,734449.5238
202101,2021-01-01,14061.9,55.04,773966.976
202102,2021-02-01,14042.1,64.42,904592.082
202103,2021-03-01,14417.39,62.74,904547.0486
202104,2021-04-01,14558.18,66.76,971904.0968
202105,2021-05-01,14323.19,68.95,987583.9505
202106,2021-06-01,14338.23,74.62,1069918.7226
202107,2021-07-01,14511.19,75.41,1094288.8379
202108,2021-08-01,14397.7,71.63,1031307.2509999999
202109,2021-09-01,14256.96,78.31,1116462.5376
202110,2021-10-01,14198.45,83.72,1188694.234
202111,2021-11-01,14263.5,69.23,987462.1050000001
202112,2021-12-01,14328.92,77.35,1108341.9619999998
202201,2022-01-01,14335.24,89.26,1279563.5224000001
202202,2022-02-01,14351.06,97.97,1405973.3482
202203,2022-03-01,14348.64,104.71,1502446.0943999998
202204,2022-04-01,14368.74,107.14,1539466.8036
202205,2022-05-01,14608.0,115.6,1688684.7999999998
202206,2022-06-01,14688.57,109.03,1601494.7871
202207,2022-07-01,14984.38,103.97,1557925.9885999998
202208,2022-08-01,14850.64,95.64,1420315.2096
202209,2022-09-01,14971.77,85.14,1274696.4978
202210,2022-10-01,15417.48,92.81,1430896.3188
202211,2022-11-01,15658.73,86.97,1361839.7481
202212,2022-12-01,15615.0,85.65,1337424.75
202301,2023-01-01,15295.24,85.46,1307131.2104
202302,2023-02-01,15126.0,83.45,1262264.7
202303,2023-03-01,15300.71,79.89,1222373.7219
202304,2023-04-01,14866.71,80.33,1194242.8143
202305,2023-05-01,14810.86,72.6,1075268.436
202306,2023-06-01,14932.0,75.41,1126022.1199999999
202307,2023-07-01,15039.75,85.43,1284845.8425
202308,2023-08-01,15245.14,86.83,1323735.5062
202309,2023-09-01,15354.2,92.2,1415657.2400000002
202310,2023-10-01,15741.23,85.02,1338319.3746
202311,2023-11-01,15617.41,80.86,1262823.7726
202312,2023-12-01,15513.37,77.04,1195150.0248000002
202401,2024-01-01,15610.82,81.71,1275560.1021999998
202402,2024-02-01,15665.33,81.91,1283147.1803
202403,2024-03-01,15702.61,87.0,1366127.07
202404,2024-04-01,16100.0,86.33,1389913.0
202405,2024-05-01,16083.94,81.11,1304568.3734
202406,2024-06-01,16329.39,85.0,1387998.15
202407,2024-07-01,16261.65,80.84,1314591.786
202408,2024-08-01,15793.18,76.93,1214969.3374
202409,2024-09-01,15341.25,71.77,1101041.5125
202410,2024-10-01,15541.35,72.81,1131565.6935
202411,2024-11-01,15812.35,71.84,1135959.2240000002
202412,2024-12-01,16023.5,74.64,1195994.04
