slope,intercept,r,r2,p,n,negara,total_pax,n_bulan
13.507081200867349,-178765.7557093776,0.6403903072928033,0.4100997456745711,6.181162608372983e-08,58,TURKI,1345153.5,58
20.741364452415937,-288710.67629251047,0.7293616063783979,0.531968352858877,1.2386229636101743e-10,57,FILIPINA,1228794.02,57
24.31956452958297,-327586.94027583953,0.5762603446125659,0.3320759847729932,1.4497221890529692e-06,60,JEPANG,2183518.8200000003,60
25.418845551492744,-354629.06816891214,0.7135188900961851,0.5091092065240919,1.57319553629334e-10,60,THAILAND,1548134.94,60
26.568126048310194,-365968.39031418914,0.6332632572349634,0.40102235296383537,1.2481120633987586e-07,57,TAIWAN,1850887.88,57
30.539503919928368,-420376.8159243833,0.6679824584408973,0.4462005647847451,5.523790901865725e-09,60,KOREA SELATAN,2201572.08,60
39.06858545986997,-529769.6365417102,0.6858180213634806,0.4703463584269195,2.0498455470337685e-09,59,UNI EMIRAT ARAB,3244441.98,59
41.711318549296685,-583370.5441916194,0.6311438747505654,0.3983425906351574,6.441949221120899e-08,60,HONG KONG,2454130.56,60
44.61906730783428,-603094.9232199725,0.49631188829612466,0.24632549046406493,5.508239271986342e-05,60,ARAB SAUDI,3881798.26,60
50.252442179426225,-689130.4665192567,0.7119066396203031,0.5068110635354721,1.8052190138683768e-10,60,QATAR,3778382.16,60
72.0979185752242,-1017065.9174228673,0.6933683340788332,0.4807596467032565,6.196717571113437e-09,54,CHINA,3371001.2800000003,54
123.35823298074223,-1714781.6330681262,0.6936306191954752,0.48112343588549833,8.064724423708583e-10,60,AUSTRALIA,7887609.76,60
277.6164955008094,-3840292.394253417,0.6807816057300986,0.4634635947004514,2.166214286197756e-09,60,SINGAPURA,18879401.41,60
342.0840125843163,-4778458.745722584,0.7076359165226564,0.50074859035286,2.587353118117243e-10,60,MALAYSIA,20480631.13,60
