o_iata,CGK,DPS,SUB,UPG,KNO,SIN,BPN,KUL,BTH,YIA
CGK,0.0,16818079.29,11512959.0,10955639.21,12351395.26,8486353.13,0.0,5910487.1,0.0,5120799.35
DPS,0.0,0.0,4573797.76,1889012.06,39401.0,6891090.0,0.0,4048684.59,0.0,1177254.0
SUB,0.0,0.0,0.0,5432254.0,0.0,0.0,0.0,0.0,0.0,0.0
UPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331196.0
KNO,0.0,0.0,18788.0,0.0,0.0,611534.32,0.0,2198046.0,0.0,376492.0
SIN,0.0,0.0,1816624.4,134774.0,0.0,0.0,0.0,0.0,0.0,370339.0
BPN,5801201.4,515336.06,3638987.34,2048345.44,11438.0,85559.0,0.0,61570.0,36937.0,1555644.5
KUL,0.0,0.0,1796901.14,235650.0,0.0,0.0,0.0,0.0,0.0,464141.0
BTH,5374886.0,0.0,1584618.69,0.0,2476947.81,0.0,0.0,43666.0,0.0,252602.0
YIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
