Negara,Waktu Id (Dim Waktu Bulanan.Csv),Kategori,Avg Kurs Tengah,Jumlah Penumpang
AUSTRALIA,202001,INTERNASIONAL,13732.23,20564
SELANDIA BARU,202001,INTERNASIONAL,13732.23,8765
MALAYSIA,202001,INTERNASIONAL,13732.23,876
THAILAND,202001,INTERNASIONAL,13732.23,38723
THAILAND,202001,INTERNASIONAL,13732.23,17127
AUSTRALIA,202001,INTERNASIONAL,13732.23,34541
CHINA,202001,INTERNASIONAL,13732.23,24445
CHINA,202001,INTERNASIONAL,13732.23,41111
CHINA,202001,INTERNASIONAL,13732.23,4862
AUSTRALIA,202001,INTERNASIONAL,13732.23,5778
CHINA,202001,INTERNASIONAL,13732.23,5309
TIMOR LESTE,202001,INTERNASIONAL,13732.23,8801
QATAR,202001,INTERNASIONAL,13732.23,56208
HONG KONG,202001,INTERNASIONAL,13732.23,15757
ARAB SAUDI,202001,INTERNASIONAL,13732.23,4789
ARAB SAUDI,202001,INTERNASIONAL,13732.23,26465
MALAYSIA,202001,INTERNASIONAL,13732.23,5834
MALAYSIA,202001,INTERNASIONAL,13732.23,10593
MALAYSIA,202001,INTERNASIONAL,13732.23,13551
MALAYSIA,202001,INTERNASIONAL,13732.23,24850
MALAYSIA,202001,INTERNASIONAL,13732.23,24915
MALAYSIA,202001,INTERNASIONAL,13732.23,12843
MALAYSIA,202001,INTERNASIONAL,13732.23,8293
MALAYSIA,202001,INTERNASIONAL,13732.23,3197
MALAYSIA,202001,INTERNASIONAL,13732.23,9221
MALAYSIA,202001,INTERNASIONAL,13732.23,60341
MALAYSIA,202001,INTERNASIONAL,13732.23,9774
ARAB SAUDI,202001,INTERNASIONAL,13732.23,9102
MALAYSIA,202001,INTERNASIONAL,13732.23,1652
MALAYSIA,202001,INTERNASIONAL,13732.23,5799
SINGAPURA,202001,INTERNASIONAL,13732.23,8329
SINGAPURA,202001,INTERNASIONAL,13732.23,71105
SINGAPURA,202001,INTERNASIONAL,13732.23,3281
AUSTRALIA,202002,INTERNASIONAL,13776.15,34165
SELANDIA BARU,202002,INTERNASIONAL,13776.15,5847
BELANDA,202002,INTERNASIONAL,13776.15,4061
THAILAND,202002,INTERNASIONAL,13776.15,25452
THAILAND,202002,INTERNASIONAL,13776.15,15888
AUSTRALIA,202002,INTERNASIONAL,13776.15,48027
CHINA,202002,INTERNASIONAL,13776.15,2641
CHINA,202002,INTERNASIONAL,13776.15,1523
AUSTRALIA,202002,INTERNASIONAL,13776.15,10838
TIMOR LESTE,202002,INTERNASIONAL,13776.15,5741
QATAR,202002,INTERNASIONAL,13776.15,52010
HONG KONG,202002,INTERNASIONAL,13776.15,5698
ARAB SAUDI,202002,INTERNASIONAL,13776.15,4328
ARAB SAUDI,202002,INTERNASIONAL,13776.15,26604
ARAB SAUDI,202002,INTERNASIONAL,13776.15,5055
MALAYSIA,202002,INTERNASIONAL,13776.15,4365
MALAYSIA,202002,INTERNASIONAL,13776.15,7871
MALAYSIA,202002,INTERNASIONAL,13776.15,10890
MALAYSIA,202002,INTERNASIONAL,13776.15,20085
MALAYSIA,202002,INTERNASIONAL,13776.15,14928
MALAYSIA,202002,INTERNASIONAL,13776.15,8131
MALAYSIA,202002,INTERNASIONAL,13776.15,6503
MALAYSIA,202002,INTERNASIONAL,13776.15,2249
MALAYSIA,202002,INTERNASIONAL,13776.15,7596
MALAYSIA,202002,INTERNASIONAL,13776.15,43713
MALAYSIA,202002,INTERNASIONAL,13776.15,7733
ARAB SAUDI,202002,INTERNASIONAL,13776.15,8594
MALAYSIA,202002,INTERNASIONAL,13776.15,2588
MALAYSIA,202002,INTERNASIONAL,13776.15,4959
SINGAPURA,202002,INTERNASIONAL,13776.15,4898
SINGAPURA,202002,INTERNASIONAL,13776.15,40868
SINGAPURA,202002,INTERNASIONAL,13776.15,1828
AUSTRALIA,202003,INTERNASIONAL,15194.57,9282
SELANDIA BARU,202003,INTERNASIONAL,15194.57,4053
BELANDA,202003,INTERNASIONAL,15194.57,9943
THAILAND,202003,INTERNASIONAL,15194.57,8014
THAILAND,202003,INTERNASIONAL,15194.57,7272
AUSTRALIA,202003,INTERNASIONAL,15194.57,19370
AUSTRALIA,202003,INTERNASIONAL,15194.57,3093
TIMOR LESTE,202003,INTERNASIONAL,15194.57,3573
QATAR,202003,INTERNASIONAL,15194.57,40168
HONG KONG,202003,INTERNASIONAL,15194.57,3007
ARAB SAUDI,202003,INTERNASIONAL,15194.57,2361
ARAB SAUDI,202003,INTERNASIONAL,15194.57,5650
ARAB SAUDI,202003,INTERNASIONAL,15194.57,1050
MALAYSIA,202003,INTERNASIONAL,15194.57,2360
MALAYSIA,202003,INTERNASIONAL,15194.57,3729
MALAYSIA,202003,INTERNASIONAL,15194.57,6248
MALAYSIA,202003,INTERNASIONAL,15194.57,8958
MALAYSIA,202003,INTERNASIONAL,15194.57,7137
MALAYSIA,202003,INTERNASIONAL,15194.57,3388
MALAYSIA,202003,INTERNASIONAL,15194.57,2305
MALAYSIA,202003,INTERNASIONAL,15194.57,3568
MALAYSIA,202003,INTERNASIONAL,15194.57,23066
MALAYSIA,202003,INTERNASIONAL,15194.57,3277
MALAYSIA,202003,INTERNASIONAL,15194.57,2126
SINGAPURA,202003,INTERNASIONAL,15194.57,2399
SINGAPURA,202003,INTERNASIONAL,15194.57,13414
SINGAPURA,202003,INTERNASIONAL,15194.57,693
BELANDA,202004,INTERNASIONAL,15867.43,2279
THAILAND,202004,INTERNASIONAL,15867.43,436
QATAR,202004,INTERNASIONAL,15867.43,2773
MALAYSIA,202004,INTERNASIONAL,15867.43,2005
BELANDA,202005,INTERNASIONAL,14906.19,1149
THAILAND,202005,INTERNASIONAL,14906.19,170
MALAYSIA,202005,INTERNASIONAL,14906.19,486
MALAYSIA,202005,INTERNASIONAL,14906.19,639
BELANDA,202006,INTERNASIONAL,14195.96,1296
THAILAND,202006,INTERNASIONAL,14195.96,110
MALAYSIA,202006,INTERNASIONAL,14195.96,1997
BELANDA,202007,INTERNASIONAL,14582.41,1665
THAILAND,202007,INTERNASIONAL,14582.41,216
QATAR,202007,INTERNASIONAL,14582.41,2414
ARAB SAUDI,202007,INTERNASIONAL,14582.41,22
MALAYSIA,202007,INTERNASIONAL,14582.41,1363
MALAYSIA,202007,INTERNASIONAL,14582.41,2896
SINGAPURA,202007,INTERNASIONAL,14582.41,151
BELANDA,202008,INTERNASIONAL,14724.5,1409
THAILAND,202008,INTERNASIONAL,14724.5,118
