Iata (Dim Bandara.Csv),Jumlah Penumpang
BEJ,4087
CGK,25924
DPS,4398
SUB,35914
UPG,7228
YIA,2605
KOE,7234
CGK,1995
DPS,20564
DPS,8765
CGK,9730
DOB,1264
LUV,6862
MDC,1001
NAM,2593
NBX,2510
NRE,1743
SOQ,7830
SQN,581
SUB,8465
SXK,4371
TTE,2657
UPG,31117
KOE,7874
BPN,23336
BTW,3478
CGK,97185
DPS,7881
KBU,7023
KJT,6495
SRG,18140
SUB,86874
UPG,8563
YIA,3561
JOG,9299
KUL,30865
PLM,1303
SIN,19355
SOC,1529
SRG,7722
SUB,13191
TKG,7200
BPN,30193
DJJ,10565
NBX,2775
UPG,11440
KOE,7325
LBJ,2873
MDC,876
CGK,38723
DPS,17127
BTH,1509
CGK,52549
PLM,3328
TKG,1260
DPS,8978
LOP,15828
UPG,1783
DPS,34541
CGK,102589
DPS,7158
GHS,2946
KJT,4815
LNU,2714
MDC,6804
MJU,2149
PKY,4650
PLW,9399
PNK,4935
SIN,3407
SRG,9169
SUB,85368
TJS,3280
TRK,34099
UPG,37938
CGK,101015
DJB,11314
DTB,4765
DUM,3436
KJT,8414
KNO,56660
LMU,1648
NTX,5402
PDG,34169
PGK,9053
PKU,44223
PLM,17640
PNK,21543
SIQ,1283
SRG,7810
SUB,37476
SZB,2095
TKG,6540
TNJ,2592
CGK,27337
KNO,28442
KUL,19404
PEN,2352
UPG,2714
CGK,4318
DJB,3206
CGK,15470
SUB,4744
SOQ,13766
CGK,24445
DPS,41111
MDC,4862
CMB,10245
DJB,86746
DJJ,17851
DOH,34352
DPS,363789
DTB,25578
DXB,43233
FOC,7605
GTO,5940
HAK,3776
HKG,57831
HND,36738
ICN,42487
IST,20193
JED,110475
JHB,3486
KDI,22176
KIX,2838
KJT,1546
KMG,2906
KNO,282851
KOE,8810
KUL,229241
LBJ,10752
LLJ,11184
LOP,64591
MCT,16335
MDC,64793
MED,28215
MEL,7721
MKW,6189
MLG,29931
MNL,16284
NNG,1049
NRT,32799
PDG,129371
PEK,6369
PEN,30464
PGK,95975
PKU,133492
PKY,33876
PLM,140391
PLW,21257
PNH,2197
PNK,159707
PVG,16929
RUH,10135
SIN,334069
SMQ,5164
SOC,67260
SOQ,23018
SRG,146047
SRI,7129
SUB,317744
SYD,20517
SZX,8390
TAS,1313
TIM,5177
TJQ,44385
TKG,116352
TNJ,17071
TPE,36291
TRK,8129
TTE,16324
UPG,231865
XMN,7762
YIA,5239
DPS,5778
MDC,5309
DJJ,7970
WMX,2506
DPS,8801
KNO,2818
PDG,1903
PKU,2125
PLM,6142
TKG,1485
MKQ,16542
MKW,1878
NBX,6125
OKL,4076
SOQ,16272
TIM,23796
TMH,1885
UPG,38695
WMX,30494
ZRI,1694
LUV,1443
DPS,56208
DRW,8785
DXB,36776
FOC,2824
HAN,1739
HGH,10445
HKG,55944
ICN,41024
IST,17132
JOG,46707
KIX,8446
KJT,14001
KNO,9118
KOE,16151
