Iata,Jumlah Penumpang
AAP,4087
AAP,25924
AAP,4398
AAP,35914
AAP,7228
AAP,2605
ABU,7234
ADD,1995
ADL,20564
AKL,8765
AMQ,9730
AMQ,1264
AMQ,6862
AMQ,1001
AMQ,2593
AMQ,2510
AMQ,1743
AMQ,7830
AMQ,581
AMQ,8465
AMQ,4371
AMQ,2657
AMQ,31117
ARD,7874
BDJ,23336
BDJ,3478
BDJ,97185
BDJ,7881
BDJ,7023
BDJ,6495
BDJ,18140
BDJ,86874
BDJ,8563
BDJ,3561
BDO,9299
BDO,30865
BDO,1303
BDO,19355
BDO,1529
BDO,7722
BDO,13191
BDO,7200
BEJ,30193
BIK,10565
BIK,2775
BIK,11440
BJW,7325
BJW,2873
BKI,876
BKK,38723
BKK,17127
BKS,1509
BKS,52549
BKS,3328
BKS,1260
BMU,8978
BMU,15828
BMU,1783
BNE,34541
BPN,102589
BPN,7158
BPN,2946
BPN,4815
BPN,2714
BPN,6804
BPN,2149
BPN,4650
BPN,9399
BPN,4935
BPN,3407
BPN,9169
BPN,85368
BPN,3280
BPN,34099
BPN,37938
BTH,101015
BTH,11314
BTH,4765
BTH,3436
BTH,8414
BTH,56660
BTH,1648
BTH,5402
BTH,34169
BTH,9053
BTH,44223
BTH,17640
BTH,21543
BTH,1283
BTH,7810
BTH,37476
BTH,2095
BTH,6540
BTH,2592
BTJ,27337
BTJ,28442
BTJ,19404
BTJ,2352
BTW,2714
BUU,4318
BUU,3206
BWX,15470
BWX,4744
BXB,13766
CAN,24445
CAN,41111
CAN,4862
CGK,10245
CGK,86746
CGK,17851
CGK,34352
CGK,363789
CGK,25578
CGK,43233
CGK,7605
CGK,5940
CGK,3776
CGK,57831
CGK,36738
CGK,42487
CGK,20193
CGK,110475
CGK,3486
CGK,22176
CGK,2838
CGK,1546
CGK,2906
CGK,282851
CGK,8810
CGK,229241
CGK,10752
CGK,11184
CGK,64591
CGK,16335
CGK,64793
CGK,28215
CGK,7721
CGK,6189
CGK,29931
CGK,16284
CGK,1049
CGK,32799
CGK,129371
CGK,6369
CGK,30464
CGK,95975
CGK,133492
CGK,33876
CGK,140391
CGK,21257
CGK,2197
CGK,159707
CGK,16929
CGK,10135
CGK,334069
CGK,5164
CGK,67260
CGK,23018
CGK,146047
CGK,7129
CGK,317744
CGK,20517
CGK,8390
CGK,1313
CGK,5177
CGK,44385
CGK,116352
CGK,17071
CGK,36291
CGK,8129
CGK,16324
CGK,231865
CGK,7762
CGK,5239
CNS,5778
CSX,5309
DEX,7970
DEX,2506
DIL,8801
DJB,2818
DJB,1903
DJB,2125
DJB,6142
DJB,1485
DJJ,16542
DJJ,1878
DJJ,6125
DJJ,4076
DJJ,16272
DJJ,23796
DJJ,1885
DJJ,38695
DJJ,30494
DJJ,1694
DOB,1443
DOH,56208
DPS,8785
DPS,36776
DPS,2824
DPS,1739
DPS,10445
DPS,55944
DPS,41024
DPS,17132
DPS,46707
DPS,8446
DPS,14001
DPS,9118
DPS,16151
DPS,167640
DPS,25965
DPS,59501
DPS,5936
DPS,67526
DPS,28272
DPS,5803
DPS,5791
DPS,14623
DPS,938
DPS,3566
DPS,23479
DPS,196727
DPS,19974
DPS,9538
DPS,133703
DPS,11992
DPS,65106
DPS,14812
DPS,6693
DPS,10459
DPS,32626
DPS,37004
DPS,6048
DPS,5693
DPS,773
DTB,1768
DTB,2985
DUM,2199
DUM,3882
ENE,12132
ENE,6920
ENE,2054
FLZ,6421
GNS,21619
GNS,2390
GTO,6776
GTO,1889
GTO,21827
HKG,15757
HLP,72287
HLP,42134
HLP,2888
HLP,4275
HLP,31194
HLP,25124
HLP,10704
HLP,42700
HLP,26775
HLP,32115
HLP,78420
HLP,5322
HLP,8762
HLP,5955
HLP,2845
JBB,2188
JED,4789
JED,26465
JHB,5834
