bandara_id,nama_bandara,iata,kota,provinsi,negara
1,AJI PANGERAN TUMENGGUNG PRANOTO INTERNATIONAL AIRPORT,AAP,SAMARINDA,KALIMANTAN TIMUR,INDONESIA
2,HALIWEN AIRPORT,ABU,ATAMBUA,NUSA TENGGARA TIMUR,INDONESIA
3,BOLE INTERNATIONAL AIRPORT,ADD,ADDIS ABABA,ADDIS-ABABA,ET
4,ADELAIDE INTERNATIONAL AIRPORT,ADL,ADELAIDE,SOUTH AUSTRALIA,AUSTRALIA
5,AEK GODANG AIRPORT,AEG,PADANG SIDEMPUAN,SUMATERA UTARA,INDONESIA
6,AUCKLAND INTERNATIONAL AIRPORT,AKL,AUCKLAND,AUCKLAND,SELANDIA BARU
7,PATTIMURA AIRPORT AMBON,AMQ,AMBON,MALUKU,INDONESIA
8,AMSTERDAM AIRPORT SCHIPHOL,AMS,AMSTERDAM,NORTH HOLLAND,BELANDA
9,MALI AIRPORT,ARD,ALOR,NUSA TENGGARA TIMUR,INDONESIA
10,ABU DHABI INTERNATIONAL AIRPORT,AUH,ABU DHABI,ABU DHABI,UNI EMIRAT ARAB
11,AVALON AIRPORT,AVV,GEELONG,VICTORIA,AUSTRALIA
12,SYAMSUDIN NOOR INTERNATIONAL AIRPORT,BDJ,BANJARMASIN,KALIMANTAN SELATAN,INDONESIA
13,HUSEIN SASTRANEGARA INTERNATIONAL AIRPORT,BDO,BANDUNG,JAWA BARAT,INDONESIA
14,KALIMARAU AIRPORT,BEJ,TANJUNG REDEB,KALIMANTAN TIMUR,INDONESIA
15,FRANS KAISIEPO AIRPORT,BIK,BIAK,PAPUA,INDONESIA
16,TURELELO SOA AIRPORT,BJW,BAJAWA,NUSA TENGGARA TIMUR,INDONESIA
17,KOTA KINABALU INTERNATIONAL AIRPORT,BKI,KOTA KINABALU,SABAH,MALAYSIA
18,SUVARNABHUMI AIRPORT,BKK,BANGKOK,SAMUT-PRAKAN,THAILAND
19,PADANG KEMILING (FATMAWATI SOEKARNO) AIRPORT,BKS,BENGKULU,BENGKULU,INDONESIA
20,BENGALURU INTERNATIONAL AIRPORT,BLR,BANGALORE,KARNATAKA,INDIA
21,SULTAN MUHAMMAD SALAHUDIN AIRPORT,BMU,BIMA,NUSA TENGGARA BARAT,INDONESIA
22,BRISBANE INTERNATIONAL AIRPORT,BNE,BRISBANE,QUEENSLAND,AUSTRALIA
23,CHHATRAPATI SHIVAJI INTERNATIONAL AIRPORT,BOM,MUMBAI,MAHARASHTRA,INDIA
24,SEPINGGAN INTERNATIONAL AIRPORT,BPN,BALIKPAPAN,EAST KALIMANTAN,INDONESIA
25,HANG NADIM AIRPORT,BTH,BATAM,RIAU ISLANDS,INDONESIA
26,SULTAN ISKANDARMUDA AIRPORT,BTJ,BANDA ACEH,ACEH,INDONESIA
27,BERSUJUD AIRPORT,BTW,BATULICIN,KALIMANTAN SELATAN,INDONESIA
28,AIRPORT BUU,BUU,BUNGO,UNKNOWN,UNKNOWN
29,BETOAMBARI AIRPORT,BUW,BAU BAU,SOUTHEAST SULAWESI,INDONESIA
30,BRUNEI INTERNATIONAL AIRPORT,BWN,BANDAR SRI BENGAWAN,UNKNOWN,BRUNEI
31,AIRPORT BWX,BWX,BANYUWANGI,UNKNOWN,UNKNOWN
32,BABO AIRPORT,BXB,TELUK BINTONI,PAPUA BARAT,INDONESIA
33,CAIRO INTERNATIONAL AIRPORT,CAI,CAIRO,CAIRO,EG
34,GUANGZHOU BAIYUN INTERNATIONAL AIRPORT,CAN,GUANGZHOU,GUANGDONG,CHINA
35,CANBERRA INTERNATIONAL AIRPORT,CBR,CANBERRA,ACT,AUSTRALIA
36,SOEKARNO-HATTA INTERNATIONAL AIRPORT,CGK,JAKARTA,JAKARTA,INDONESIA
37,XINZHENG AIRPORT,CGO,ZHENGSHOU,HENAN,CHINA
