rute_id,kode_rute,bandara_1_id,bandara_2_id,kategori
1,AAP-BDJ,1,12,DOMESTIK
2,AAP-BEJ,1,14,DOMESTIK
3,AAP-BPN,1,24,DOMESTIK
4,AAP-CGK,1,36,DOMESTIK
5,AAP-DPS,1,55,DOMESTIK
6,AAP-SUB,1,197,DOMESTIK
7,AAP-TRK,1,218,DOMESTIK
8,AAP-UPG,1,226,DOMESTIK
9,AAP-YIA,1,234,DOMESTIK
10,ABU-CGK,2,36,INTERNASIONAL
11,ABU-DPS,2,55,INTERNASIONAL
12,ABU-KOE,2,99,DOMESTIK
13,ADD-CGK,3,36,INTERNASIONAL
14,ADL-DPS,4,55,INTERNASIONAL
15,AKL-DPS,6,55,INTERNASIONAL
16,AMQ-BXB,7,32,DOMESTIK
17,AMQ-CGK,7,36,DOMESTIK
18,AMQ-DOB,7,53,DOMESTIK
19,AMQ-KFR,7,92,DOMESTIK
20,AMQ-LUV,7,119,DOMESTIK
21,AMQ-MDC,7,125,DOMESTIK
22,AMQ-NAM,7,141,DOMESTIK
23,AMQ-NBX,7,142,DOMESTIK
24,AMQ-NRE,7,147,DOMESTIK
25,AMQ-SOQ,7,192,DOMESTIK
26,AMQ-SQN,7,194,DOMESTIK
27,AMQ-SUB,7,197,DOMESTIK
28,AMQ-SXK,7,201,DOMESTIK
29,AMQ-TTE,7,221,DOMESTIK
30,AMQ-UPG,7,226,DOMESTIK
31,AMS-CGK,8,36,INTERNASIONAL
32,ARD-KOE,9,99,DOMESTIK
33,BDJ-BDO,12,13,DOMESTIK
34,BDJ-BPN,12,24,DOMESTIK
35,BDJ-BTW,12,27,DOMESTIK
36,BDJ-CGK,12,36,DOMESTIK
37,BDJ-DHX,12,47,DOMESTIK
38,BDJ-DPS,12,55,DOMESTIK
39,BDJ-HMS,12,77,DOMESTIK
40,BDJ-KBU,12,88,DOMESTIK
41,BDJ-KJT,12,95,DOMESTIK
42,BDJ-LOP,12,117,DOMESTIK
43,BDJ-PKY,12,164,DOMESTIK
44,BDJ-SMQ,12,188,DOMESTIK
45,BDJ-SRG,12,195,DOMESTIK
46,BDJ-SUB,12,197,DOMESTIK
47,BDJ-UPG,12,226,DOMESTIK
48,BDJ-YIA,12,234,DOMESTIK
49,BDO-BPN,13,24,DOMESTIK
50,BDO-BTH,13,25,DOMESTIK
51,BDO-CJN,13,38,DOMESTIK
52,BDO-DPS,13,55,DOMESTIK
53,BDO-JOG,13,86,DOMESTIK
54,BDO-KNO,13,98,DOMESTIK
55,BDO-KUL,13,103,INTERNASIONAL
56,BDO-LOP,13,117,DOMESTIK
57,BDO-PKU,13,163,DOMESTIK
58,BDO-PLM,13,165,DOMESTIK
59,BDO-SIN,13,186,INTERNASIONAL
60,BDO-SOC,13,190,DOMESTIK
61,BDO-SRG,13,195,DOMESTIK
62,BDO-SUB,13,197,DOMESTIK
63,BDO-TKG,13,212,DOMESTIK
64,BDO-UPG,13,226,DOMESTIK
65,BEJ-BPN,14,24,DOMESTIK
66,BEJ-CGK,14,36,DOMESTIK
67,BEJ-DPS,14,55,DOMESTIK
68,BEJ-RTU,14,182,DOMESTIK
69,BEJ-SUB,14,197,DOMESTIK
70,BEJ-YIA,14,234,DOMESTIK
71,BIK-DJJ,15,51,DOMESTIK
72,BIK-NBX,15,142,DOMESTIK
73,BIK-UPG,15,226,DOMESTIK
74,BIK-ZRI,15,235,DOMESTIK
75,BJW-KOE,16,99,DOMESTIK
76,BJW-LBJ,16,108,DOMESTIK
77,BKI-CGK,17,36,INTERNASIONAL
78,BKI-DPS,17,55,INTERNASIONAL
79,BKI-MDC,17,125,INTERNASIONAL
