waktu_id,avg_kurs_jual,avg_kurs_beli,avg_kurs_tengah,min_kurs_tengah,max_kurs_tengah,jumlah_hari_trading,tarif_tiket_ihk,inflasi_yoy,inflasi_mtm,bi_rate,brent_usd_bbl,brent_high,brent_low
202001,13800.89,13663.57,13732.23,13612.0,13961.01,22,1463,2.68,0.39,5.0,56.62,70.99,55.93
202002,13845.03,13707.27,13776.15,13647.01,14234.0,20,1436,2.98,0.28,4.75,49.67,59.56,48.94
202003,15270.55,15118.6,15194.57,14168.0,16608.0,21,1370,2.96,0.1,4.5,26.35,53.69,25.3
202004,15946.77,15788.09,15867.43,15157.01,16741.0,21,1248,2.67,0.08,4.5,26.48,38.31,19.99
202005,14980.72,14831.66,14906.19,14733.01,15127.01,16,1327,2.19,0.07,4.5,37.84,38.17,27.14
202006,14266.93,14124.98,14195.96,13956.0,14502.0,21,1411,1.96,0.18,4.25,41.27,43.97,37.29
202007,14655.32,14509.5,14582.41,14341.0,14832.0,22,1407,1.54,-0.1,4.0,43.52,45.07,41.1
202008,14798.12,14650.88,14724.5,14554.0,14917.01,18,1394,1.32,-0.05,4.0,45.66,46.9,43.26
202009,14922.2,14773.72,14847.96,14615.01,14979.01,22,1295,1.42,-0.05,4.0,42.3,46.57,39.88
202010,14822.88,14675.39,14749.14,14658.0,14890.0,22,1291,1.44,0.07,4.0,37.94,43.99,37.26
202011,14308.0,14165.63,14236.81,14015.01,14718.0,21,1317,1.59,0.28,3.75,47.88,49.0,36.29
202012,14243.95,14102.22,14173.09,14102.0,14282.0,23,1376,1.68,0.45,3.75,51.82,52.46,46.81
202101,14132.21,13991.59,14061.9,13903.01,14231.01,20,1451,1.55,0.26,3.75,55.04,57.31,50.66
202102,14112.31,13971.89,14042.1,13875.0,14229.01,20,1350,1.38,0.1,3.5,64.42,66.82,54.4
202103,14489.48,14345.31,14417.39,14299.01,14572.0,23,1459,1.37,0.08,3.5,62.74,70.67,60.33
202104,14630.98,14485.39,14558.18,14468.0,14648.0,22,1465,1.42,0.13,3.5,66.76,68.44,60.93
202105,14394.81,14251.58,14323.19,14198.0,14467.01,21,1469,1.68,0.32,3.5,68.95,69.9,64.5
202106,14409.92,14266.54,14338.23,14206.0,14496.0,22,1305,1.33,-0.16,3.5,74.62,75.77,68.98
202107,14583.75,14438.64,14511.19,14468.0,14564.0,21,1316,1.52,0.08,3.5,75.41,76.8,66.91
202108,14469.69,14325.71,14397.7,14324.0,14464.0,20,1390,1.59,0.03,3.5,71.63,74.52,64.2
202109,14328.24,14185.67,14256.96,14195.01,14307.01,22,1304,1.6,-0.04,3.5,78.31,79.95,69.85
202110,14269.44,14127.46,14198.45,14080.0,14321.01,20,1432,1.66,0.12,3.5,83.72,85.77,76.78
202111,14334.82,14192.19,14263.5,14171.01,14374.0,22,1448,1.75,0.37,3.5,69.23,84.26,67.45
202112,14400.56,14257.27,14328.92,14219.01,14441.0,23,1496,1.87,0.57,3.5,77.35,80.03,65.48
202201,14406.92,14263.56,14335.24,14270.0,14396.0,21,1426,2.18,0.56,3.5,89.26,90.27,76.6
202202,14422.81,14279.3,14351.06,14278.0,14404.0,18,1393,2.06,-0.02,3.5,97.97,102.26,86.31
202203,14420.38,14276.9,14348.64,14290.0,14411.01,22,1362,2.64,0.66,3.5,104.71,134.91,94.61
202204,14440.58,14296.9,14368.74,14347.01,14452.0,19,1412,3.47,0.95,3.5,107.14,113.61,97.18
202205,14681.04,14534.96,14608.0,14480.0,14731.01,15,1499,3.55,0.4,3.5,115.6,120.8,100.14
202206,14762.02,14615.13,14688.57,14431.01,14860.0,21,1524,4.35,0.61,3.5,109.03,121.74,104.35
202207,15059.3,14909.46,14984.38,14882.0,15024.0,21,1635,4.94,0.64,3.5,103.97,110.72,91.22
202208,14924.89,14776.38,14850.64,14688.0,14929.0,22,1611,4.69,-0.21,3.75,95.64,103.48,90.95
202209,15046.63,14896.91,14971.77,14839.0,15247.0,22,1597,5.95,1.17,4.25,85.14,95.54,82.44
202210,15494.56,15340.39,15417.48,15196.0,15616.0,21,1564,5.71,-0.11,4.75,92.81,96.75,84.21
202211,15737.02,15580.43,15658.73,15493.0,15737.0,22,1648,5.42,0.09,5.25,86.97,97.85,80.81
202212,15693.07,15536.93,15615.0,15409.0,15742.0,22,1574,5.51,0.66,5.5,85.65,89.18,75.64
202301,15371.71,15218.76,15295.24,14930.0,15635.0,21,1651,5.28,0.34,5.75,85.46,89.0,77.77
202302,15201.63,15050.37,15126.0,14868.0,15274.0,20,1602,5.47,0.16,5.75,83.45,86.55,78.84
202303,15377.22,15224.21,15300.71,15062.0,15468.0,21,1599,4.97,0.18,5.75,79.89,86.17,70.06
202304,14941.05,14792.38,14866.71,14666.0,14990.0,14,1612,4.33,0.33,5.75,80.33,86.9,77.36
202305,14884.91,14736.8,14810.86,14632.0,14973.0,21,1788,4.0,0.09,5.75,72.6,79.82,71.2
202306,15006.66,14857.34,14932.0,14839.0,15040.0,17,1602,3.52,0.14,5.75,75.41,78.47,71.57
202307,15114.95,14964.55,15039.75,14945.0,15192.0,20,1662,3.08,0.21,5.75,85.43,85.58,74.4
202308,15321.36,15168.91,15245.14,15092.0,15346.0,22,1635,3.27,-0.02,5.75,86.83,87.37,81.61
202309,15430.97,15277.43,15354.2,15237.0,15526.0,20,1676,2.28,0.19,5.75,92.2,95.35,86.15
202310,15819.93,15662.52,15741.23,15487.0,15943.0,22,1674,2.56,0.17,6.0,85.02,92.32,82.2
202311,15695.5,15539.32,15617.41,15384.0,15946.0,22,1705,2.86,0.38,6.0,80.86,87.12,76.71
202312,15590.94,15435.8,15513.37,15414.0,15631.0,19,1782,2.61,0.41,6.0,77.04,81.72,72.29
202401,15688.87,15532.77,15610.82,15439.0,15829.0,22,1567,2.57,0.04,6.0,81.71,84.8,74.79
202402,15743.66,15587.01,15665.33,15585.0,15803.0,18,1676,2.75,0.37,6.0,81.91,83.13,76.41
202403,15781.12,15624.1,15702.61,15576.0,15853.0,18,1681,3.05,0.52,6.0,87.0,87.07,80.62
202404,16180.5,16019.5,16100.0,15873.0,16280.0,16,1719,3.0,0.25,6.25,86.33,91.18,85.03
202405,16164.36,16003.52,16083.94,15944.0,16276.0,18,1666,2.84,-0.03,6.25,81.11,85.2,80.44
202406,16411.04,16247.74,16329.39,16218.0,16458.0,18,1645,2.51,-0.08,6.25,85.0,86.18,76.66
202407,16342.96,16180.34,16261.65,16129.0,16394.0,23,1677,2.13,-0.18,6.25,80.84,87.05,77.95
202408,15872.15,15714.22,15793.18,15380.0,16294.0,22,1630,2.12,-0.03,6.25,76.93,81.46,74.62
202409,15417.95,15264.55,15341.25,15092.0,15557.0,20,1683,1.84,-0.12,6.0,71.77,77.63,68.68
202410,15619.06,15463.64,15541.35,15144.0,15760.0,23,1635,1.71,0.08,6.0,72.81,80.55,69.68
202411,15891.41,15733.29,15812.35,15671.0,15942.0,20,1696,1.55,0.3,6.0,71.84,75.79,70.45
