maskapai_id,nama_maskapai,kategori_maskapai,jenis_kegiatan,negara_asal
1,AERO DILI,ASING,PENUMPANG & KARGO,TIMOR LESTE
2,AEROFLOT RUSSIAN AIRLINES,ASING,PENUMPANG & KARGO,RUSIA
3,AIR BUSAN,ASING,PENUMPANG & KARGO,KOREA SELATAN
4,AIR CHINA,ASING,PENUMPANG,CHINA
5,AIR INDIA,ASING,PENUMPANG & KARGO,INDIA
6,AIR MACAU,ASING,PENUMPANG & KARGO,JEPANG
7,AIR NEW ZEALAND,ASING,PENUMPANG,SELANDIA BARU
8,AIRASIA,ASING,PENUMPANG,MALAYSIA
9,AIRASIA X,ASING,PENUMPANG,MALAYSIA
10,ALL NIPPON AIRWAYS,ASING,PENUMPANG,JEPANG
11,ASIANA AIRLINES,ASING,PENUMPANG,KOREA SELATAN
12,CARGOLUX AIRLINES INTERNATIONAL,ASING,KARGO,LUXEMBOURG
13,CATHAY DRAGON,ASING,PENUMPANG,HONGKONG
14,CATHAY PACIFIC AIRWAYS,ASING,PENUMPANG & KARGO,HONGKONG
15,CEBU PACIFIC AIR,ASING,PENUMPANG,FILIPINA
16,CHINA AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK TIONGKOK (ROC)
17,CHINA EASTERN AIRLINES,ASING,PENUMPANG,REPUBLIK RAKYAT TIONGKOK
18,CHINA SOUTHERN AIRLINES,ASING,PENUMPANG,CHINA
19,EGYPTAIR,ASING,PENUMPANG & KARGO,MESIR
20,EMIRATES,ASING,PENUMPANG,UAE
21,ETHIOPIAN AIRLINES,ASING,PENUMPANG,ETHIOPIA
22,ETIHAD AIRWAYS,ASING,PENUMPANG,UAE
23,EVA AIR,ASING,PENUMPANG,TAIWAN
24,FEDERAL EXPRESS,ASING,KARGO,USA
25,FIREFLY,ASING,PENUMPANG,MALAYSIA
26,FLYNAS,ASING,PENUMPANG & KARGO,ARAB SAUDI
27,HAINAN AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK RAKYAT TIONGKOK
28,HONGKONG AIRLINES,ASING,PENUMPANG,HONGKONG
29,INTERGLOBE AVIATION (INDIGO),ASING,PENUMPANG & KARGO,INDIA
30,JAPAN AIRLINES,ASING,PENUMPANG,JEPANG
31,JEJU AIR,ASING,PENUMPANG & KARGO,KOREA SELATAN
32,JETSTAR AIRWAYS,ASING,PENUMPANG,AUSTRALIA
33,JETSTAR ASIA AIRWAYS,ASING,PENUMPANG,SINGAPURA
34,JORDAN AVIATION,ASING,PENUMPANG & KARGO,YORDANIA
35,JUNEYAO AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK RAKYAT TIONGKOK
36,K-MILE AIR,ASING,KARGO,THAILAND
37,KLM ROYAL DUTCH AIRLINES,ASING,PENUMPANG,BELANDA
38,KOREAN AIR,ASING,PENUMPANG & KARGO,KOREA SELATAN
39,LANMEI AIRLINES,ASING,PENUMPANG,TIONGKOK
40,LUFTHANSA CARGO,ASING,KARGO,JERMAN
41,MALAYSIA AIRLINES,ASING,PENUMPANG,MALAYSIA
42,MALINDO AIR,ASING,PENUMPANG,MALAYSIA
43,MASWINGS,ASING,PENUMPANG,MALAYSIA
44,MY JET XPRESS AIRLINES,ASING,PENUMPANG & KARGO,MALAYSIA
45,MYAIRLINES,ASING,PENUMPANG & KARGO,MALAYSIA
46,OMAN AIR,ASING,PENUMPANG,OMAN
47,PHILIPPINE AIRLINES,ASING,PENUMPANG,FILIPINA
48,PHILIPPINES AIRASIA,ASING,PENUMPANG,FILIPINA
49,PT ASI PUDJIASTUTI AVIATION,NASIONAL,PENUMPANG,INDONESIA
50,PT BATIK AIR INDONESIA,NASIONAL,PENUMPANG,INDONESIA
51,PT BBN AIRLINES INDONESIA,NASIONAL,PENUMPANG & KARGO,INDONESIA
52,PT CARDIG AIR,NASIONAL,KARGO,INDONESIA
53,PT CITILINK INDONESIA,NASIONAL,PENUMPANG & KARGO,INDONESIA
54,PT DARAPATI ANTAR BUANA,NASIONAL,PENUMPANG & KARGO,INDONESIA
55,PT FLYINDO AVIASI NUSANTARA,NASIONAL,PENUMPANG & KARGO,INDONESIA
56,PT GARUDA INDONESIA,NASIONAL,PENUMPANG & KARGO,INDONESIA
57,PT INDONESIA AIRASIA,NASIONAL,PENUMPANG,INDONESIA
58,PT LINKAVIASI ASIA INDONESIA,NASIONAL,PENUMPANG & KARGO,INDONESIA
59,PT LION MENTARI AIRLINES,NASIONAL,PENUMPANG,INDONESIA
60,PT MY INDO AIRLINES,NASIONAL,KARGO,INDONESIA
61,PT NAM AIR,NASIONAL,PENUMPANG,INDONESIA
62,PT PELITA AIR SERVICE,NASIONAL,PENUMPANG & KARGO,INDONESIA
63,PT RUSKY AERO INTERNASIONAL,NASIONAL,KARGO,INDONESIA
64,PT SRIWIJAYA AIR,NASIONAL,PENUMPANG,INDONESIA
65,PT SUPER AIR JET,NASIONAL,PENUMPANG & KARGO,INDONESIA
66,PT SURYA MATARAM AVIASI,NASIONAL,PENUMPANG & KARGO,INDONESIA
67,PT TRANSNUSA AVIATION MANDIRI,NASIONAL,PENUMPANG & KARGO,INDONESIA
68,PT TRAVEL EXPRESS AVIATION SERVICES,NASIONAL,PENUMPANG,INDONESIA
69,PT TRI-MG INTRA ASIA AIRLINES,NASIONAL,KARGO,INDONESIA
70,PT TRIGANA AIR SERVICE,NASIONAL,PENUMPANG & KARGO,INDONESIA
71,PT WINGS ABADI,NASIONAL,PENUMPANG,INDONESIA
72,QANTAS AIRWAYS,ASING,PENUMPANG,AUSTRALIA
73,QATAR AIRWAYS,ASING,PENUMPANG,QATAR
74,RAYA AIRWAYS,ASING,KARGO,MALAYSIA
75,ROSSIYA AIRLINES,ASING,PENUMPANG,RUSIA
76,ROYAL BRUNEI AIRLINES,ASING,PENUMPANG,BRUNEI DARUSSALAM
77,SAUDI ARABIAN AIRLINES,ASING,PENUMPANG,ARAB SAUDI
78,SCOOT,ASING,PENUMPANG,SINGAPURA
79,SHANDONG AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK RAKYAT TIONGKOK
80,SHENZHEN AIRLINES,ASING,PENUMPANG,TIONGKOK
81,SICHUAN AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK RAKYAT TIONGKOK
82,SILKAIR,ASING,PENUMPANG,SINGAPURA
83,SINGAPORE AIRLINES,ASING,PENUMPANG,SINGAPURA
84,SRILANKAN AIRLINES,ASING,PENUMPANG,SRILANKA
85,STARLUX AIRLINES,ASING,PENUMPANG & KARGO,REPUBLIK TIONGKOK (ROC)
86,THAI AIRASIA,ASING,PENUMPANG,THAILAND
87,THAI AIRWAYS INTERNATIONAL,ASING,PENUMPANG,THAILAND
88,THAI LION AIR,ASING,PENUMPANG,THAILAND
89,THAI SMILE AIRWAYS,ASING,PENUMPANG,THAILAND
90,THAI VIETJET AIR,ASING,PENUMPANG & KARGO,THAILAND
91,TURKISH AIRLINES,ASING,PENUMPANG,TURKI
92,UZBEKISTAN AIRWAYS,ASING,PENUMPANG,UZBEKISTAN
93,VALUAIR,ASING,PENUMPANG & KARGO,SINGAPURA
94,VIETJET AIR,ASING,PENUMPANG,VIETNAM
95,VIETNAM AIRLINES,ASING,PENUMPANG,VIETNAM
96,VIRGIN AUSTRALIA,ASING,PENUMPANG,AUSTRALIA
97,VISTARA AIRLINES,ASING,PENUMPANG & KARGO,INDIA
98,WORLD CARGO AIRLINES,ASING,KARGO,MALAYSIA
99,XIAMEN AIRLINES,ASING,PENUMPANG,CHINA
100,YTO CARGO AIRLINES,ASING,KARGO,REPUBLIK RAKYAT TIONGKOK
101,ZHEJIANG LOONG AIRLINES,ASING,PENUMPANG,TIONGKOK
