waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2020,26,DOMESTIK,1809,1813,3622,157995,165534,323529,532,904353,832514,1736867,4553460,778885,5332345,0,134,134
2021,26,DOMESTIK,1951,1955,3906,154921,163993,318914,986,1152615,1149999,2302614,6444538,968474,7413012,0,0,0
2022,26,DOMESTIK,3.14,3147,6287,205223,209629,414852,17,1832037,1676924,3508961,5821631,1191904,7013535,0,0,0
2023,26,DOMESTIK,2472,2466,4938,265205,279654,544859,56,2200202,1957936,4158138,3539344,1122310,4661654,0,213,213
2024,26,DOMESTIK,3446,3504,6.95,291961,327289,619.25,54,2624464,2394260,5018724,6526733,1551219,8077952,239,4932,5171
2020,26,INTERNASIONAL,293,289,582,27505,26096,53601,3727,290995,195384,486379,1.57,9243,10813,0,0,0
2021,26,INTERNASIONAL,35,34,69,0,6,6,1379,0,0,0,0,24537,24537,0,0,0
2022,26,INTERNASIONAL,107,91,198,8295,8926,17221,0,128516,103887,232403,68,0,68,0,0,0
2023,26,INTERNASIONAL,645,647,1292,66208,76846,143054,0,698721,549654,1248375,2.6,11868,14468,0,0,0
2024,26,INTERNASIONAL,889,880,1769,99542,109063,208605,0,1256834,840309,2097143,8.51,27788,36298,0,0,0
2020,128,DOMESTIK,123,123,246,5557,5055,10612,0,20548,12117,32665,3.3,574,3874,0,0,0
2021,128,DOMESTIK,18,18,36,847,855,1702,0,4638,3868,8506,0,0,0,0,0,0
2022,128,DOMESTIK,126,126,252,6537,7079,13616,0,40987,38073,79.06,0,0,0,0,0,0
2023,128,DOMESTIK,163,166,329,7316,7872,15188,0,42123,44857,86.98,0,0,0,0,0,0
2024,128,DOMESTIK,58,59,117,2257,2046,4303,105,10967,10287,21254,0,0,0,0,0,0
2020,189,DOMESTIK,266,266,532,6747,6901,13648,0,25071,20362,45433,3623,6.08,9703,5,8,13
2021,189,DOMESTIK,314,315,629,4383,4654,9037,0,20835,13538,34373,56257,26674,82931,0,0,0
2022,189,DOMESTIK,437,437,874,6.72,7227,13947,0,39875,17292,57167,49642,40.59,90232,0,0,0
2023,189,DOMESTIK,257,240,497,7089,6959,14048,0,60454,45.77,106224,27949,39889,67838,0,0,0
2024,189,DOMESTIK,301,301,602,6107,6449,12556,0,43681,41953,85634,22202,26.48,48682,0,0,0
2020,224,DOMESTIK,92,92,184,2565,2782,5347,349,4791,8.21,13001,0,0,0,0,0,0
2021,224,DOMESTIK,70,70,140,478,972,1.45,0,1884,2886,4.77,369,8763,9132,0,0,0
2022,224,DOMESTIK,139,139,278,3169,3042,6211,1423,16645,19684,36329,0,0,0,0,0,0
2023,224,DOMESTIK,6,6,12,98,122,220,0,0,0,0,0,1.38,1.38,0,0,0
2024,224,DOMESTIK,83,83,166,201,394,595,0,212,647,859,0,0,0,0,0,0
