waktu_id,maskapai_id,otp_percentage
2020,49,0.289
2021,49,0.3532
2022,49,0.3992
2023,49,0.5677
2024,49,0.4703
2020,50,0.8732
2021,50,0.8475
2022,50,0.8203
2023,50,0.7489
2024,50,0.7462
2020,53,0.9073
2021,53,0.659
2022,53,0.6969
2023,53,0.8612
2024,53,0.9127
2020,56,0.9411
2021,56,0.928
2022,56,0.8808
2023,56,0.8778
2024,56,0.8347
2020,57,0.8495
2021,57,0.7534
2022,57,0.6489
2023,57,0.6571
2024,57,0.9107
2020,59,0.7473
2021,59,0.7548
2022,59,0.7553
2023,59,0.6543
2024,59,0.6871
2020,61,0.8374
2021,61,0.7774
2022,61,0.6985
2023,61,0.7211
2024,61,0.7461
2020,64,0.8323
2021,64,0.7238
2022,64,0.7427
2023,64,0.7967
2024,64,0.8401
2020,67,0.7794
2022,67,0.4758
2023,67,0.5048
2024,67,0.6743
2020,70,0.5067
2021,70,0.4563
2022,70,0.4634
2023,70,0.7257
2024,70,0.8636
2020,71,0.7129
2021,71,0.7376
2022,71,0.7605
2023,71,0.6815
2024,71,0.7274
2021,65,0.8418
2022,65,0.8008
2023,65,0.7102
2024,65,0.6322
2022,62,0.9559
2023,62,0.903
2024,62,0.9433
2024,51,0.9014
