bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
1,ABU,A.A BERE TALLO,ATAMBUA,NUSA TENGGARA TIMUR,INDONESIA
2,MLG,ABDUL RAHMAN SALEH,MALANG,JAWA TIMUR,INDONESIA
3,,ABRESSO,,PAPUA BARAT,INDONESIA
4,SRG,ACHMAD YANI,SEMARANG,JAWA TENGAH,INDONESIA
5,SOC,ADI SUMARMO,SOLO,JAWA TENGAH,INDONESIA
6,JOG,ADI SUTJIPTO,YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,INDONESIA
7,AEG,AEK GODANG,PADANG SIDEMPUAN,SUMATERA UTARA,INDONESIA
8,,AKIMUGA,,PAPUA TENGAH,INDONESIA
9,,ALASLAUSER,KUTACANE,DAERAH ISTIMEWA ACEH,INDONESIA
10,,AMAHAI,PULAU SERAM,MALUKU,INDONESIA
11,,ANDI JEMMA,MASAMBA,SULAWESI SELATAN,INDONESIA
12,,ANGGI,,PAPUA BARAT,INDONESIA
13,AAP,APT. PRANOTO,SAMARINDA,KALIMANTAN TIMUR,INDONESIA
14,,ARUNG PALAKKA,BONE,SULAWESI SELATAN,INDONESIA
15,,ATUNG BUNGSU,PAGAR ALAM,SUMATERA SELATAN,INDONESIA
16,,AYAWASI,,PAPUA BARAT DAYA,INDONESIA
17,,BABO,,PAPUA BARAT,INDONESIA
18,,BADE,,PAPUA SELATAN,INDONESIA
19,,BANDANEIRA,PULAU BANDA,MALUKU,INDONESIA
20,,BANDARA ABDUL HARIS NASUTION,,KEPULAUAN RIAU,INDONESIA
21,LMU,BANDARA KHUSUS MATAK,ANAMBAS,KEPULAUAN RIAU,INDONESIA
22,,BANDARA LETUNG,KEPULAUAN ANAMBAS,KEPULAUAN RIAU,INDONESIA
23,,BANDARA TAMBELAN,,KEPULAUAN RIAU,INDONESIA
24,,BATOM,,PAPUA PEGUNUNGAN,INDONESIA
25,,BENETE,,NUSA TENGGARA TIMUR,INDONESIA
26,HMS,BERINGIN / HAJI MUHAMMAD SIDIK,MUARA TEWEH,KALIMANTAN TENGAH,INDONESIA
27,,BERSUJUD BATU LICIN,TANAH BUMBU,KALIMANTAN SELATAN,INDONESIA
28,BUW,BETO AMBARI,BAU-BAU,SULAWESI TENGGARA,INDONESIA
