rute_id,kode_rute,bandara_1_id,bandara_2_id,kategori
1,AAP-BDJ,13,339,DOMESTIK
2,AAP-BEJ,13,72,DOMESTIK
3,AAP-BPN,13,316,DOMESTIK
4,AAP-CGK,13,326,DOMESTIK
5,AAP-DPS,13,282,DOMESTIK
6,AAP-GHS,13,104,DOMESTIK
7,AAP-HLP,13,207,DOMESTIK
8,AAP-JOG,13,6,DOMESTIK
9,AAP-SOC,13,5,DOMESTIK
10,AAP-SUB,13,220,DOMESTIK
11,AAP-TJS,13,345,DOMESTIK
12,AAP-TRK,13,221,DOMESTIK
13,AAP-UPG,13,332,DOMESTIK
14,AAP-YIA,13,195,DOMESTIK
15,ABU-KOE,1,59,DOMESTIK
16,ADD-CGK,66,326,INTERNASIONAL
17,ADL-DPS,67,282,INTERNASIONAL
18,AEG-KNO,7,244,DOMESTIK
19,AKL-DPS,68,282,INTERNASIONAL
20,AMQ-BXB,294,82,DOMESTIK
21,AMQ-CGK,294,326,DOMESTIK
22,AMQ-DOB,294,97,DOMESTIK
23,AMQ-DPS,294,282,DOMESTIK
24,AMQ-FKQ,294,353,DOMESTIK
25,AMQ-HLP,294,207,DOMESTIK
26,AMQ-JIO,294,219,DOMESTIK
27,AMQ-KFR,294,118,DOMESTIK
28,AMQ-LUV,294,227,DOMESTIK
29,AMQ-MDC,294,308,DOMESTIK
30,AMQ-NAM,294,145,DOMESTIK
31,AMQ-NBX,294,146,DOMESTIK
32,AMQ-NRE,294,150,DOMESTIK
33,AMQ-SOQ,294,57,DOMESTIK
34,AMQ-SQN,294,172,DOMESTIK
35,AMQ-SUB,294,220,DOMESTIK
36,AMQ-SXK,294,259,DOMESTIK
37,AMQ-TTE,294,329,DOMESTIK
38,AMQ-UPG,294,332,DOMESTIK
39,AMS-CGK,69,326,INTERNASIONAL
40,AMS-DPS,69,282,INTERNASIONAL
41,AMS-KNO,69,244,INTERNASIONAL
42,ARD-DPS,252,282,DOMESTIK
43,ARD-KOE,252,59,DOMESTIK
44,AUH-CGK,70,326,INTERNASIONAL
45,AUH-DPS,70,282,INTERNASIONAL
46,AVV-DPS,71,282,INTERNASIONAL
47,BDJ-BDO,339,211,DOMESTIK
48,BDJ-BPN,339,316,DOMESTIK
49,BDJ-BTW,339,79,DOMESTIK
50,BDJ-CGK,339,326,DOMESTIK
51,BDJ-DHX,339,94,DOMESTIK
52,BDJ-DPS,339,282,DOMESTIK
53,BDJ-HMS,339,26,DOMESTIK
54,BDJ-JOG,339,6,DOMESTIK
55,BDJ-KBU,339,202,DOMESTIK
56,BDJ-KJT,339,232,DOMESTIK
57,BDJ-LOP,339,130,DOMESTIK
58,BDJ-PKN,339,215,DOMESTIK
59,BDJ-PKY,339,352,DOMESTIK
60,BDJ-SMQ,339,205,DOMESTIK
61,BDJ-SOC,339,5,DOMESTIK
62,BDJ-SRG,339,4,DOMESTIK
63,BDJ-SUB,339,220,DOMESTIK
64,BDJ-UPG,339,332,DOMESTIK
65,BDJ-YIA,339,195,DOMESTIK
66,BDO-BKS,211,75,DOMESTIK
67,BDO-BPN,211,316,DOMESTIK
68,BDO-BTH,211,209,DOMESTIK
69,BDO-BWX,211,35,DOMESTIK
70,BDO-CJN,211,87,DOMESTIK
71,BDO-DJB,211,337,DOMESTIK
72,BDO-DPS,211,282,DOMESTIK
73,BDO-HLP,211,207,DOMESTIK
74,BDO-JOG,211,6,DOMESTIK
75,BDO-KNO,211,244,DOMESTIK
76,BDO-KUL,211,122,INTERNASIONAL
77,BDO-LOP,211,130,DOMESTIK
78,BDO-PGK,211,50,DOMESTIK
79,BDO-PKU,211,336,DOMESTIK
80,BDO-PLM,211,323,DOMESTIK
81,BDO-SIN,211,171,INTERNASIONAL
82,BDO-SOC,211,5,DOMESTIK
83,BDO-SRG,211,4,DOMESTIK
84,BDO-SUB,211,220,DOMESTIK
85,BDO-TJQ,211,204,DOMESTIK
86,BDO-TKG,211,182,DOMESTIK
87,BDO-UPG,211,332,DOMESTIK
88,BEJ-BPN,72,316,DOMESTIK
89,BEJ-CGK,72,326,DOMESTIK
90,BEJ-DPS,72,282,DOMESTIK
91,BEJ-RTU,72,168,DOMESTIK
92,BEJ-SUB,72,220,DOMESTIK
93,BEJ-TRK,72,221,DOMESTIK
94,BEJ-YIA,72,195,DOMESTIK
95,BIK-DJJ,196,315,DOMESTIK
96,BIK-MKW,196,305,DOMESTIK
97,BIK-NBX,196,146,DOMESTIK
98,BIK-SOQ,196,57,DOMESTIK
99,BIK-UPG,196,332,DOMESTIK
100,BIK-ZRI,196,327,DOMESTIK
101,BJW-KOE,324,59,DOMESTIK
102,BJW-LBJ,324,125,DOMESTIK
103,BKI-BTH,73,209,INTERNASIONAL
104,BKI-CGK,73,326,INTERNASIONAL
105,BKI-DPS,73,282,INTERNASIONAL
106,BKI-MDC,73,308,INTERNASIONAL
107,BKK-CGK,74,326,INTERNASIONAL
108,BKK-DPS,74,282,INTERNASIONAL
109,BKS-BTH,75,209,DOMESTIK
110,BKS-CGK,75,326,DOMESTIK
111,BKS-HLP,75,207,DOMESTIK
112,BKS-PDG,75,264,DOMESTIK
113,BKS-PLM,75,323,DOMESTIK
114,BKS-TKG,75,182,DOMESTIK
115,BLR-DPS,76,282,INTERNASIONAL
116,BMU-DPS,334,282,DOMESTIK
117,BMU-ENE,334,206,DOMESTIK
118,BMU-LBJ,334,125,DOMESTIK
119,BMU-LOP,334,130,DOMESTIK
120,BMU-UPG,334,332,DOMESTIK
121,BNE-DPS,77,282,INTERNASIONAL
122,BOM-CGK,78,326,INTERNASIONAL
123,BPN-BTH,316,209,DOMESTIK
124,BPN-BWN,316,81,INTERNASIONAL
125,BPN-CGK,316,326,DOMESTIK
126,BPN-DHX,316,94,DOMESTIK
127,BPN-DPS,316,282,DOMESTIK
128,BPN-GHS,316,104,DOMESTIK
129,BPN-HLP,316,207,DOMESTIK
130,BPN-JED,316,114,INTERNASIONAL
131,BPN-JOG,316,6,DOMESTIK
132,BPN-KCH,316,116,INTERNASIONAL
133,BPN-KJT,316,232,DOMESTIK
134,BPN-KNO,316,244,DOMESTIK
135,BPN-KUL,316,122,INTERNASIONAL
136,BPN-LNU,316,312,DOMESTIK
137,BPN-LOP,316,130,DOMESTIK
138,BPN-MDC,316,308,DOMESTIK
139,BPN-MED,316,135,INTERNASIONAL
140,BPN-MJU,316,342,DOMESTIK
141,BPN-PDG,316,264,DOMESTIK
142,BPN-PKN,316,215,DOMESTIK
143,BPN-PKY,316,352,DOMESTIK
144,BPN-PLW,316,275,DOMESTIK
145,BPN-PNK,316,338,DOMESTIK
146,BPN-SIN,316,171,INTERNASIONAL
147,BPN-SOC,316,5,DOMESTIK
148,BPN-SRG,316,4,DOMESTIK
149,BPN-SUB,316,220,DOMESTIK
150,BPN-TJS,316,345,DOMESTIK
151,BPN-TRK,316,221,DOMESTIK
152,BPN-TRT,316,42,DOMESTIK
153,BPN-UPG,316,332,DOMESTIK
154,BPN-YIA,316,195,DOMESTIK
155,BTH-BTJ,209,333,DOMESTIK
156,BTH-CGK,209,326,DOMESTIK
157,BTH-DJB,209,337,DOMESTIK
158,BTH-DTB,209,319,DOMESTIK
159,BTH-DUM,209,295,DOMESTIK
160,BTH-HLP,209,207,DOMESTIK
