waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2020,333,DOMESTIK,1809,1813,3622,157995,165534,323529,532,904353,832514,1736867,4553460,778885,5332345,0,134,134
2021,333,DOMESTIK,1951,1955,3906,154921,163993,318914,986,1152615,1149999,2302614,6444538,968474,7413012,0,0,0
2022,333,DOMESTIK,3.14,3147,6287,205223,209629,414852,17,1832037,1676924,3508961,5821631,1191904,7013535,0,0,0
2023,333,DOMESTIK,2472,2466,4938,265205,279654,544859,56,2200202,1957936,4158138,3539344,1122310,4661654,0,213,213
2024,333,DOMESTIK,3446,3504,6.95,291961,327289,619.25,54,2624464,2394260,5018724,6526733,1551219,8077952,239,4932,5171
2020,333,INTERNASIONAL,293,289,582,27505,26096,53601,3727,290995,195384,486379,1.57,9243,10813,0,0,0
2021,333,INTERNASIONAL,35,34,69,0,6,6,1379,0,0,0,0,24537,24537,0,0,0
2022,333,INTERNASIONAL,107,91,198,8295,8926,17221,0,128516,103887,232403,68,0,68,0,0,0
2023,333,INTERNASIONAL,645,647,1292,66208,76846,143054,0,698721,549654,1248375,2.6,11868,14468,0,0,0
2024,333,INTERNASIONAL,889,880,1769,99542,109063,208605,0,1256834,840309,2097143,8.51,27788,36298,0,0,0
2020,44,DOMESTIK,123,123,246,5557,5055,10612,0,20548,12117,32665,3.3,574,3874,0,0,0
2021,44,DOMESTIK,18,18,36,847,855,1702,0,4638,3868,8506,0,0,0,0,0,0
2022,44,DOMESTIK,126,126,252,6537,7079,13616,0,40987,38073,79.06,0,0,0,0,0,0
2023,44,DOMESTIK,163,166,329,7316,7872,15188,0,42123,44857,86.98,0,0,0,0,0,0
2024,44,DOMESTIK,58,59,117,2257,2046,4303,105,10967,10287,21254,0,0,0,0,0,0
2020,253,DOMESTIK,221,216,437,9503,9092,18595,1901,49268,40.83,90098,6423,21436,27859,0,0,0
2021,253,DOMESTIK,125,124,249,6012,6418,12.43,0,39027,37423,76.45,17634,20894,38528,0,0,0
2022,253,DOMESTIK,266,265,531,15.18,14326,29506,3743,110127,106349,216476,11515,6882,18397,0,0,0
2023,253,DOMESTIK,335,329,664,18449,16.02,34469,2,129804,106.49,236294,6251,656,6907,0,3,3
2024,253,DOMESTIK,368,368,736,12844,10154,22998,0,85082,63033,148115,6.49,80,6.57,0,0,0
2020,246,DOMESTIK,266,266,532,6747,6901,13648,0,25071,20362,45433,3623,6.08,9703,5,8,13
2021,246,DOMESTIK,314,315,629,4383,4654,9037,0,20835,13538,34373,56257,26674,82931,0,0,0
2022,246,DOMESTIK,437,437,874,6.72,7227,13947,0,39875,17292,57167,49642,40.59,90232,0,0,0
2023,246,DOMESTIK,257,240,497,7089,6959,14048,0,60454,45.77,106224,27949,39889,67838,0,0,0
2024,246,DOMESTIK,301,301,602,6107,6449,12556,0,43681,41953,85634,22202,26.48,48682,0,0,0
2020,349,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,349,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,349,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,349,DOMESTIK,49,49,98,111,198,309,0,579,1147,1726,0,0,0,0,0,0
2024,349,DOMESTIK,89,89,178,236,373,609,0,875,951,1826,64,0,64,0,0,0
