waktu_id,maskapai_id,kategori_rute,aircraft_km,aircraft_departure,aircraft_hours,passenger_carried,freight_carried,passenger_km,available_seat_km,passenger_load_factor,ton_km_passenger,ton_km_freight,ton_km_mail,ton_km_total,available_ton_km,weight_load_factor
2020,49,DOMESTIK,289.0,1661.0,1221.4333333333334,3740.0,11.0,705.0,3474.0,20.28,54.0,2.0,0.0,56.0,318.0,17.68
2021,49,DOMESTIK,276.0,1768.0,1310.5166666666667,9463.0,39.0,1528.0,3314.0,46.11,119.0,7.0,0.0,126.0,304.0,41.45
2022,49,DOMESTIK,383.0,2100.0,1707.6333333333334,12429.0,20.0,2342.0,4740.0,49.41,184.0,1.0,0.0,185.0,420.0,44.05
2023,49,DOMESTIK,528.0,2920.0,2456.9,15592.0,24.0,2808.0,6345.0,44.26,217.0,5.0,0.0,222.0,581.0,38.21
2024,49,DOMESTIK,641.0,3605.0,2938.0833333333335,8498.0,93.0,1488.0,8425.0,17.66,87.0,1.0,0.0,88.0,706.0,12.46
2020,50,DOMESTIK,67540.0,58027.0,91226.86666666667,6123017.0,45149.0,7192288.0,10794070.0,66.63,565589.0,59891.0,728.0,626207.0,1178205.0,53.15
2021,50,DOMESTIK,71032.0,59326.0,108214.15,7260547.0,52852.0,8681206.0,11358612.0,76.43,692400.0,71785.0,5389.0,769574.0,1240985.0,62.01
2022,50,DOMESTIK,86155.0,77432.0,150339.5,9882953.0,50980.0,10920223.0,13646381.0,80.02,854735.0,69654.0,1479.0,925868.0,1481387.0,62.5
2023,50,DOMESTIK,101341.0,85507.0,167383.35,10735964.0,66670.0,12739641.0,16060453.0,79.32,993078.0,99420.0,0.0,1092498.0,1740759.0,62.76
2024,50,DOMESTIK,84310.0,74619.0,140325.06666666668,9692694.0,67714.0,11033261.0,13306839.0,82.91,859818.0,97119.0,0.0,956937.0,1426098.0,67.1
2024,51,DOMESTIK,209.0,367.0,670.15,34423.0,204.0,19839.0,39921.0,49.7,1405.0,112.0,0.0,1517.0,3899.0,39.0
2020,52,DOMESTIK,345.0,241.0,473.56666666666666,0.0,2162.0,0.0,0.0,0.0,0.0,3028.0,0.0,3028.0,6255.0,48.4
2021,52,DOMESTIK,1045.0,910.0,1607.0666666666666,0.0,7819.0,0.0,0.0,0.0,0.0,8247.0,0.0,8247.0,19338.0,42.65
2022,52,DOMESTIK,1466.0,976.0,2104.516666666667,0.0,8674.0,0.0,0.0,0.0,0.0,13511.0,0.0,13511.0,27458.0,49.21
2023,52,DOMESTIK,49.0,32.0,68.91666666666667,0.0,219.0,0.0,0.0,0.0,0.0,364.0,0.0,364.0,907.0,40.13
2020,53,DOMESTIK,54602.0,65467.0,104860.1,5421720.0,57849.0,4670571.0,9805988.0,47.63,431031.0,58330.0,0.0,489361.0,1195305.0,40.94
2021,53,DOMESTIK,70260.0,79502.0,137001.85,7524408.0,87858.0,6933346.0,10973158.0,63.18,624001.0,89482.0,0.0,713483.0,1503666.0,47.45
2022,53,DOMESTIK,60170.0,68596.0,121235.5,9159775.0,69224.0,8158958.0,10419270.0,78.31,734307.0,69512.0,0.0,803819.0,1287441.0,62.44
2023,53,DOMESTIK,69056.0,83171.0,143364.1,11228261.0,63719.0,9706456.0,12116734.0,80.11,935716.0,63009.0,0.0,998725.0,1466953.0,68.08
2024,53,DOMESTIK,72006.0,84779.0,148048.23333333334,11778454.0,83622.0,10283456.0,12730027.0,80.78,997495.0,85994.0,0.0,1083489.0,1550218.0,69.89
2020,56,DOMESTIK,61804.0,65485.0,114282.81666666667,4619487.0,115598.0,4379314.0,10006693.0,43.76,398518.0,132107.0,7988.0,538612.0,1235813.0,43.58
2021,56,DOMESTIK,81668.0,43098.0,85859.16666666667,3490812.0,95726.0,7057706.0,14789319.0,47.72,635193.0,191366.0,0.0,826559.0,1871121.0,44.17
2022,56,DOMESTIK,69002.0,33955.0,67334.41666666667,4646651.0,69293.0,9692687.0,12121203.0,79.96,872341.0,143549.0,0.0,1015890.0,1494386.0,67.98
2023,56,DOMESTIK,95822.0,47166.0,92971.66666666667,6314490.0,71634.0,13029095.0,16643724.0,78.28,925066.0,147162.0,0.0,1072228.0,1974871.0,54.29
2024,56,DOMESTIK,124278.0,60736.0,121060.03333333334,8665055.0,100226.0,18085561.0,21476363.0,84.21,1288466.0,214967.0,0.0,1503433.0,2480801.0,60.6
2020,57,DOMESTIK,8127.0,9674.0,15552.116666666667,1113480.0,7060.0,937058.0,1462864.0,64.06,84335.0,7445.0,0.0,91780.0,134909.0,68.03
2021,57,DOMESTIK,5838.0,5596.0,10267.416666666666,637453.0,6197.0,683196.0,1050831.0,65.01,61488.0,7126.0,0.0,68614.0,96910.0,70.8
2022,57,DOMESTIK,12419.0,12676.0,22154.083333333332,1676437.0,10704.0,1652465.0,2235372.0,73.92,148719.0,12863.0,0.0,161582.0,206153.0,78.38
2023,57,DOMESTIK,11555.0,13246.0,21125.083333333332,2017452.0,6990.0,1753342.0,2079894.0,84.3,131459.0,7969.0,0.0,139429.0,196477.0,70.96
2024,57,DOMESTIK,9803.0,11314.0,17704.666666666668,1796152.0,6118.0,1563540.0,1764542.0,88.61,117250.0,6494.0,0.0,123744.0,164749.0,75.0
2020,59,DOMESTIK,82071.0,88742.0,154305.9,12516590.0,75941.0,11362683.0,16870559.0,67.35,806751.0,77627.0,1367.0,885745.0,1738787.0,50.94
2021,59,DOMESTIK,63146.0,66371.0,108375.46666666666,9893130.0,55080.0,9371102.0,12998517.0,72.09,665348.0,56063.0,481.0,721892.0,1323362.0,54.55
2022,59,DOMESTIK,113102.0,115448.0,195594.83333333334,18731962.0,80391.0,18296150.0,23270598.0,78.62,1299025.0,83925.0,698.0,1383648.0,2382187.0,58.08
2023,59,DOMESTIK,106266.0,109769.0,186152.86666666667,18287883.0,87441.0,17640978.0,21995634.0,80.2,1252512.0,93203.0,692.0,1346407.0,2258612.0,59.61
2024,59,DOMESTIK,91685.0,92749.0,157652.06666666668,15684878.0,94419.0,15461262.0,19212177.0,80.48,1091315.0,103246.0,608.0,1195169.0,1977847.0,60.43
2020,60,DOMESTIK,589.0,2071.0,937.05,0.0,20319.0,0.0,0.0,0.0,0.0,5413.0,0.0,5413.0,8333.0,64.96
2021,60,DOMESTIK,899.0,3149.0,2121.616666666667,0.0,20271.0,0.0,0.0,0.0,0.0,5767.0,0.0,5767.0,12234.0,47.14
2022,60,DOMESTIK,690.0,2738.0,66.0,0.0,19196.0,0.0,0.0,0.0,0.0,4794.0,0.0,4794.0,9485.0,50.54
2023,60,DOMESTIK,738.0,2708.0,1960.4666666666667,0.0,21321.0,0.0,0.0,0.0,0.0,5794.0,0.0,5794.0,11267.0,51.42
2024,60,DOMESTIK,728.0,2449.0,2221.0666666666666,0.0,20687.0,0.0,0.0,0.0,0.0,5739.0,0.0,5739.0,12333.0,46.53
2020,61,DOMESTIK,5662.0,10156.0,11365.85,688220.0,4266.0,385601.0,629601.0,61.25,34719.0,2918.0,0.0,37637.0,77099.0,48.82
2021,61,DOMESTIK,2691.0,4497.0,5335.983333333334,292413.0,2295.0,173972.0,267028.0,65.15,15657.0,1412.0,0.0,17069.0,26707.0,63.91
2022,61,DOMESTIK,4554.0,5964.0,7011.866666666667,577044.0,3035.0,440609.0,540441.0,81.53,40214.0,2249.0,0.0,42463.0,57547.0,73.79
2023,61,DOMESTIK,3756.0,4563.0,5765.75,490262.0,1485.0,395917.0,450864.0,87.81,35660.0,1179.0,0.0,36839.0,47575.0,77.43
2024,61,DOMESTIK,3847.0,5144.0,6623.416666666667,527271.0,1573.0,391970.0,465100.0,84.28,35279.0,1197.0,0.0,36476.0,49187.0,74.0
2021,62,DOMESTIK,1558.0,1796.0,0.0,167188.0,0.0,148620.0,280648.0,52.96,9020.0,0.0,0.0,9020.0,27586.0,32.7
2022,62,DOMESTIK,8062.0,9543.0,3083.0833333333335,1324243.0,703.0,1115962.0,1418015.0,78.7,87155.0,679.0,0.0,87834.0,142791.0,61.51
2023,62,DOMESTIK,18003.0,18795.0,16042.0,2675846.0,8334.0,2527001.0,3174003.0,79.62,186302.0,8914.0,0.0,195216.0,318900.0,61.22
2023,63,DOMESTIK,23.0,16.0,37.666666666666664,0.0,16.0,0.0,0.0,-0.0,0.0,23.0,0.0,23.0,506.0,4.55
2024,63,DOMESTIK,6.0,4.0,9.583333333333334,0.0,44.0,0.0,0.0,-0.0,0.0,64.0,0.0,64.0,128.0,50.0
2020,64,DOMESTIK,13685.0,15155.0,23609.1,1590429.0,19747.0,1473604.0,2435339.0,60.51,132624.0,19184.0,0.0,151809.0,246751.0,61.52
2021,64,DOMESTIK,8910.0,9319.0,15376.05,1115978.0,15074.0,1080770.0,1699438.0,63.6,97269.0,14771.0,0.0,112040.0,169835.0,65.97
2022,64,DOMESTIK,10570.0,11773.0,18030.65,1597953.0,16057.0,1477317.0,1982424.0,74.52,133198.0,15163.0,0.0,148361.0,206979.0,71.68
2023,64,DOMESTIK,5298.0,6910.0,9676.683333333332,916301.0,5986.0,747026.0,930196.0,80.31,67233.0,4853.0,0.0,72086.0,97400.0,74.01
2024,64,DOMESTIK,4775.0,5272.0,8326.75,718756.0,4436.0,687634.0,816453.0,84.22,61883.0,4327.0,0.0,66.21,85934.0,77.0
