waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,1,35,1399,5600,2043.0,0.0,24.98
2020,2,205,9916,14064,629.0,0.0,70.51
2020,4,1980,185676,323748,411880.0,5406.0,57.35
2020,5,153,9675,23868,0.0,0.0,40.54
2020,6,127,4669,6096,180.0,0.0,76.59
2020,7,179,18922,27924,0.0,0.0,67.76
2020,8,264,33866,44140,59901.0,991.0,76.72
2020,10,1778,220999,318042,202254.0,6021.0,69.49
2020,11,48,1337,2304,239.0,0.0,58.03
2020,13,502,45498,78378,12709.0,40.0,58.05
2020,14,190,11254,31760,0.0,2.0,35.43
2020,15,916,34403,62402,60530.0,0.0,55.13
2020,16,108,7163,29430,408030.0,207354.0,24.34
2020,17,470,64011,84772,2544.0,0.0,75.51
2020,18,184,6435,13196,4087.0,0.0,48.76
2020,19,167,18665,59118,31228.0,15382.0,31.57
2020,21,912,80802,147588,2165767.0,83254.0,54.75
2020,22,203,9175,14616,42919.0,0.0,62.77
2020,23,56,2787,5376,13348.0,50.0,51.84
2020,25,184,19284,28704,79475.0,1095.0,67.18
2020,26,288,8546,14400,2999.0,0.0,59.35
2020,28,1126,47499,81072,179106.0,0.0,58.59
2020,29,88,2730,6336,1870.0,0.0,43.09
2020,30,620,25258,44640,17339.0,0.0,56.58
2020,31,98,4325,7056,3715.0,0.0,61.3
2020,32,304,7154,15200,543.0,0.0,47.07
2020,33,309,18780,27864,5187.0,0.0,67.4
2020,34,74,1865,3700,553.0,0.0,50.41
2020,35,188,23092,36416,122505.0,20.0,63.41
2020,36,567,24035,40824,45888.0,0.0,58.87
2020,37,232,17802,36732,11549.0,1054.0,48.46
2020,38,1696,216419,337454,1772306.0,134696.0,64.13
2020,39,319,32358,113013,3327856.0,38907.0,28.63
2020,40,10,1453,3200,325.0,0.0,45.41
2020,41,78,15155,29576,609971.0,7703.0,51.24
2020,42,24,774,1728,0.0,0.0,44.79
2020,43,1214,56264,86404,229616.0,0.0,65.12
2020,44,670,91340,198691,8702589.0,70501.0,45.97
2020,46,52,2013,9360,0.0,0.0,21.51
2020,47,98,8480,18522,67437.0,0.0,45.78
2020,48,1817,111234,181318,218469.0,7475.0,61.35
2020,49,188,9249,13536,77.0,0.0,68.33
2020,50,5220,516629,925249,10188322.0,226844.0,55.84
2020,52,171,16050,36765,12921.0,2.0,43.66
2020,54,249,39957,46727,100968.0,643.0,85.51
2020,55,584,27650,42048,43069.0,0.0,65.76
2020,56,152,13177,28754,55791.0,1.0,45.83
2020,62,1218,130068,239845,514584.0,410.0,54.23
2020,63,3921,490201,769688,3695630.0,32869.0,63.69
2020,64,370,45921,77351,45211.0,0.0,59.37
2020,65,744,59226,130219,264183.0,200.0,45.48
2020,66,68,1476,4896,2288.0,0.0,30.15
2020,67,293,18765,52983,424672.0,0.0,35.42
2020,69,32,484,2304,51.0,0.0,21.01
2020,71,64,1647,4608,17.0,0.0,35.74
2020,72,693,62588,124326,361110.0,351.0,50.34
2020,73,1128,39324,79920,69819.0,0.0,49.2
2020,74,924,37867,65634,81624.0,0.0,57.69
2020,75,576,40937,104091,673891.0,0.0,39.33
2020,76,591,72959,103698,2182.0,0.0,70.36
2020,79,279,18938,50337,516221.0,0.0,37.62
2020,80,658,26016,68994,75952.0,0.0,37.71
2020,81,340,33287,58440,17828.0,0.0,56.96
2020,82,150,4307,10800,580.0,0.0,39.88
2020,83,797,27477,57140,72894.0,0.0,48.09
2020,84,1583,59426,113366,323007.0,0.0,52.42
2020,85,4,99,288,0.0,0.0,34.38
2020,86,644,25533,46136,62983.0,0.0,55.34
2020,87,68,5354,12852,84409.0,0.0,41.66
2020,88,2965,200366,304911,1166636.0,16213.0,65.71
2020,89,43,2196,6714,5843.0,5.0,32.71
2020,93,30,1000,1440,910.0,0.0,69.44
2020,95,607,75831,109840,809797.0,24615.0,69.04
2020,97,198,8073,13860,22307.0,162.0,58.25
2020,99,672,72736,121676,929356.0,37155.0,59.78
2020,101,1303,58372,92194,195422.0,0.0,63.31
2020,102,655,24944,47160,22090.0,0.0,52.89
2020,106,5,876,1075,0.0,1080.0,81.49
2020,107,754,75243,141884,5357237.0,49378.0,53.03
2020,108,166,40287,59126,495561.0,12815.0,68.14
2020,109,158,4655,11376,3785.0,0.0,40.92
2020,110,2770,316274,532623,1874021.0,12873.0,59.38
2020,111,204,20093,31824,78446.0,0.0,63.14
2020,112,164,5000,11808,514.0,0.0,42.34
2020,113,183,8525,13172,363.0,0.0,64.72
2020,114,157,4529,11304,2516.0,0.0,40.07
2020,116,1067,48422,85988,41823.0,0.0,56.31
2020,119,1845,96362,141720,43201.0,0.0,67.99
2020,120,626,21942,45072,14270.0,0.0,48.68
2020,121,540,101938,130378,119319.0,0.0,78.19
2020,125,6576,604488,1175937,13518772.0,355023.0,51.4
2020,127,194,17206,34920,75987.0,0.0,49.27
2020,128,198,6916,9504,398.0,0.0,72.77
2020,129,1044,78792,123246,4736569.0,2751.0,63.93
2020,130,6,2583,2632,0.0,0.0,98.14
2020,131,740,97386,138630,538751.0,2523.0,70.25
2020,133,147,9988,27809,75776.0,11.0,35.92
2020,136,205,8096,14760,3052.0,0.0,54.85
2020,138,202,19255,38698,79996.0,251.0,49.76
2020,139,3,1283,1320,0.0,5020.0,97.2
2020,140,153,5370,11016,81.0,0.0,48.75
2020,143,333,12387,23682,69028.0,0.0,52.31
2020,144,716,97634,141958,522202.0,75.0,68.78
2020,145,100,11317,18900,17776.0,140.0,59.88
2020,146,357,6069,10200,2278167.0,0.0,59.5
2020,148,483,58681,93211,459615.0,101.0,62.96
2020,149,4754,569223,917020,5126412.0,68523.0,62.07
2020,150,308,11819,22176,25078.0,0.0,53.3
2020,151,2287,295371,429782,4750459.0,3274.0,68.73
2020,153,2457,310041,460813,1294377.0,1962.0,67.28
2020,154,1318,144689,243498,1021913.0,1028.0,59.42
2020,156,6312,620767,1132035,13600327.0,1167519.0,54.84
2020,157,343,42461,68891,88222.0,217.0,61.64
